Transcript_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENST00000678909.1,1.990528119,6.608853255,0,0.826538217,3.911920183,1.709776022,2.565332695,19.30406098,21.44376104,19.87547264,27.65571328,28.12155212,8.8612935,24.33868449,29.40930983
ENST00000678910.1,9.952640594,5.287082604,1.857607984,2.479614652,2.933940137,4.274440054,6.413331739,3.048009629,4.548676585,4.216009349,4.067016659,3.013023442,4.43064675,2.808309749,2.450775819
ENST00000678911.1,3.981056238,6.608853255,1.857607984,4.132691087,0.977980046,0.854888011,2.565332695,4.064012838,1.299621881,4.818296398,4.880419991,3.013023442,4.43064675,7.488825998,6.126939548
ENST00000678912.1,0,3.965311953,3.715215967,0,0,3.419552043,6.413331739,3.048009629,0.649810941,1.806861149,4.067016659,5.021705736,0,1.872206499,0
ENST00000678913.1,2.985792178,2.643541302,1.857607984,0,0,2.564664033,0,0,0,0,1.626806664,0,0,0,2.450775819
ENST00000678914.1,9.952640594,9.252394557,3.715215967,8.265382175,4.889900229,5.984216076,3.847999043,5.080016048,5.198487526,7.227444598,5.693823323,5.021705736,4.43064675,4.680516249,15.93004283
ENST00000678916.1,0,2.643541302,3.715215967,2.479614652,1.955960092,4.274440054,1.282666348,0,0,1.2045741,4.880419991,9.039070325,0,10.29713575,3.676163729
ENST00000678917.1,9.952640594,10.57416521,13.00325588,22.31653187,12.7137406,11.11354414,20.52266156,22.35207061,8.44754223,13.85260215,13.82785664,8.034729178,22.15323375,14.977652,4.901551639
ENST00000678920.1,0,2.643541302,3.715215967,4.132691087,3.911920183,6.839104087,3.847999043,6.096019257,4.548676585,5.420583448,0.813403332,5.021705736,4.43064675,1.872206499,1.22538791
ENST00000678921.2,106.4932544,103.0981108,79.87714329,109.1030447,92.90810435,133.3625297,82.09064625,96.5203049,92.27315359,94.55906682,83.78054318,83.36031522,79.7516415,79.56877623,111.5102998
ENST00000678925.1,10.94790465,10.57416521,3.715215967,13.22461148,6.845860321,9.403768119,8.978664434,9.144028886,11.04678599,6.022870498,5.693823323,6.026046883,13.29194025,10.29713575,2.450775819
ENST00000678929.1,8.957376534,11.89593586,13.00325588,4.132691087,10.7577805,7.693992098,7.695998086,5.080016048,7.797731289,7.829731647,5.693823323,1.004341147,0,7.488825998,9.803103277
ENST00000678930.1,0,1.321770651,1.857607984,0,1.955960092,0.854888011,0,1.01600321,0,0,0,3.013023442,0,0.93610325,0
ENST00000678935.1,1.990528119,6.608853255,5.572823951,8.265382175,4.889900229,11.11354414,1.282666348,9.144028886,5.848298467,5.420583448,8.134033318,8.034729178,13.29194025,3.744412999,9.803103277
ENST00000678937.1,46.77741079,29.07895432,29.72172774,33.88806692,21.51556101,29.06619237,39.76265678,45.72014443,35.73960174,27.70520429,43.11037659,37.16062245,31.01452725,35.57192349,29.40930983
ENST00000678938.1,8.957376534,3.965311953,16.71847185,4.132691087,7.823840367,5.984216076,7.695998086,7.112022467,11.04678599,6.022870498,4.880419991,11.04775262,4.43064675,7.488825998,3.676163729
ENST00000678939.1,3.981056238,1.321770651,1.857607984,1.653076435,3.911920183,2.564664033,3.847999043,2.032006419,1.299621881,4.216009349,4.880419991,2.008682294,0,6.552722748,3.676163729
ENST00000678943.1,16.91948901,13.21770651,35.29455169,35.54114335,26.40546124,22.22708828,20.52266156,41.65613159,38.98865644,24.69376904,34.97634327,34.14759901,31.01452725,27.14699424,39.21241311
