Sample,Group
HUVEC_low1,HUVEC.64kPa
HUVEC_low2,HUVEC.64kPa
HUVEC_low3,HUVEC.64kPa
HUVEC_high1,HUVEC.4GPa
HUVEC_high2,HUVEC.4GPa
HUVEC_high3,HUVEC.4GPa
HUVEC_high4,HUVEC.4GPa
HUAEC_low1,HUAEC.64kPa
HUAEC_low2,HUAEC.64kPa
HUAEC_low3,HUAEC.64kPa
HUAEC_low4,HUAEC.64kPa
HUAEC_high1,HUAEC.4GPa
HUAEC_high2,HUAEC.4GPa
HUAEC_high3,HUAEC.4GPa
HUAEC_high4,HUAEC.4GPa
