Ensayo de Compresion - Specimen_RawData_1
C10: 1.2462, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.96817650 0.07640224
0.96803916 0.07652113
0.96790181 0.07714353
0.96776447 0.07649178
0.96767387 0.07685076
0.96753653 0.07887621
0.96739918 0.07793467
0.96726184 0.08068372
0.96717124 0.07944109
0.96703390 0.07940694
0.96689655 0.08223857
0.96680596 0.08042468
0.96666861 0.07967412
0.96657802 0.08303436
0.96644068 0.08207029
0.96635009 0.08143035
0.96621274 0.08411496
0.96607539 0.08422485
0.96593805 0.08466973
0.96584746 0.08456281
0.96571011 0.08409404
0.96557276 0.08523139
0.96543542 0.08467133
0.96529807 0.08710943
0.96520748 0.08606651
0.96507013 0.08654113
0.96493279 0.08658206
0.96479544 0.08758883
0.96465809 0.08885385
0.96456750 0.08811558
0.96443016 0.08960829
0.96429281 0.08865297
0.96415546 0.08857955
0.96402104 0.09036818
0.96392753 0.09032902
0.96379310 0.09077985
0.96365576 0.09250645
0.96351841 0.08947041
0.96342490 0.09011484
0.96329047 0.09133238
0.96319696 0.09152092
0.96306254 0.09486360
0.96296902 0.09419399
0.96283168 0.09554670
0.96274109 0.09352663
0.96260374 0.09336153
0.96251315 0.09443771
0.96237580 0.09644214
0.96228521 0.09411952
0.96214787 0.09552435
0.96205728 0.09513618
0.96191993 0.09763999
0.96182934 0.09678163
0.96169199 0.09619168
0.96160140 0.09876740
0.96150789 0.09583220
0.96137054 0.09712953
0.96127995 0.09882531
0.96114261 0.09882634
0.96100526 0.09966065
0.96086791 0.09916166
0.96073349 0.10146518
0.96059614 0.10056474
0.96050263 0.10047923
0.96036821 0.10166885
0.96027469 0.10145457
0.96014027 0.10287838
0.96000292 0.10272745
0.95986558 0.10309863
0.95977206 0.10360305
0.95963764 0.10412562
0.95950029 0.10511665
0.95940678 0.10437283
0.95927236 0.10518998
0.95917884 0.10434803
0.95904150 0.10603405
0.95890707 0.10585289
0.95881356 0.10672686
0.95867914 0.10778498
0.95854179 0.10707440
0.95840444 0.10808651
0.95831093 0.10925440
0.95817650 0.10834027
0.95803916 0.10915545
0.95790181 0.10735780
0.95776447 0.10975833
0.95767387 0.11155217
0.95753653 0.11108329
0.95739918 0.11225222
0.95726184 0.11246249
0.95712449 0.11096005
0.95698714 0.11189462
0.95684980 0.11139584
0.95671537 0.11138773
0.95662186 0.11614260
0.95648451 0.11372077
0.95639392 0.11462975
0.95625658 0.11365598
0.95611923 0.11357936
0.95602864 0.11555058
0.95589129 0.11432839
0.95575687 0.11704712
0.95561952 0.11645781
0.95552601 0.11403614
0.95539158 0.11495394
0.95529807 0.11722438
0.95516072 0.11697412
0.95502338 0.11714550
0.95493279 0.11827856
0.95479544 0.11917223
0.95465809 0.11907984
0.95452367 0.11720459
0.95443016 0.12097742
0.95429573 0.11996742
0.95415839 0.11919802
0.95406487 0.12017154
0.95392753 0.12113177
0.95383694 0.11890974
0.95374635 0.12041710
0.95365576 0.12075898
0.95351841 0.11899029
0.95342782 0.11988837
0.95333431 0.12237905
0.95319988 0.12149771
0.95306254 0.12070640
0.95296902 0.12224202
0.95283168 0.12569442
0.95274109 0.12259580
0.95265050 0.12412358
0.95251315 0.12365518
0.95242256 0.12401880
0.95228521 0.12375320
0.95214787 0.12479363
0.95201052 0.12530093
0.95187317 0.12431493
