Ensayo de Compresion - Specimen_RawData_1
C10: 1.6284, C20: 3.0468, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
1.00000000 0.00013884
1.00000000 0.00043286
1.00000000 0.00050636
1.00000000 0.00089021
0.99991509 0.00071864
0.99991509 0.00003267
0.99987127 0.00004083
0.99987127 0.00151072
0.99983018 0.00081657
0.99978636 0.00288237
0.99970145 0.00484164
0.99965763 0.00413930
0.99957272 0.00396751
0.99948781 0.00607321
0.99935908 0.00697023
0.99927143 0.00899359
0.99910162 0.01143999
0.99892906 0.01466872
0.99875924 0.01424206
0.99854560 0.01626967
0.99833196 0.01916067
0.99811832 0.02252323
0.99790194 0.02418094
0.99764722 0.02467994
0.99743084 0.02804708
0.99726102 0.02963867
0.99704738 0.02982775
0.99691865 0.03415541
0.99674610 0.03536244
0.99662010 0.03658703
0.99649137 0.03849484
0.99640646 0.04046090
0.99631882 0.03906590
0.99623391 0.04055152
0.99610518 0.04391429
0.99602027 0.04268223
0.99589154 0.04257911
0.99576280 0.04554196
0.99563407 0.04579628
0.99550534 0.04573345
0.99537661 0.04786555
0.99525062 0.04814398
0.99512188 0.05179502
0.99499315 0.05243842
0.99490824 0.05185703
0.99477951 0.05385707
0.99469187 0.05585076
0.99456587 0.05476337
0.99443714 0.05626691
0.99434949 0.05748821
0.99422350 0.05981135
0.99413585 0.06148675
0.99400712 0.06040719
0.99392221 0.06371395
0.99379348 0.06242331
0.99366475 0.06316995
0.99357984 0.06434929
0.99345111 0.06692109
0.99336620 0.06968999
0.99323747 0.06826138
0.99310874 0.07060467
0.99298274 0.07045784
0.99289510 0.07002995
0.99276637 0.07317489
0.99263763 0.07507865
0.99251164 0.07515829
0.99238291 0.07568346
0.99225418 0.07668662
0.99216927 0.07708522
0.99204054 0.07997576
0.99191180 0.07994918
0.99182690 0.07962643
0.99169816 0.08187580
0.99156943 0.08405169
0.99148452 0.08498381
0.99135579 0.08378259
0.99122706 0.08263026
0.99109833 0.08388225
0.99096960 0.08735959
0.99084087 0.08780950
0.99071213 0.08865576
0.99058340 0.08819119
0.99045741 0.09067144
0.99036976 0.09152079
0.99024103 0.09316681
0.99015612 0.09436374
0.99002739 0.09570986
0.98994248 0.09608165
0.98985757 0.09602490
0.98972884 0.09699856
0.98964393 0.09577786
0.98951520 0.09793124
0.98943029 0.09894909
0.98930156 0.10015626
0.98921665 0.10054354
0.98908792 0.10200872
0.98900027 0.10171698
0.98887428 0.10507181
0.98874555 0.10620481
0.98865790 0.10510534
0.98852917 0.10482523
0.98844426 0.10822292
0.98831553 0.10990387
0.98818954 0.10783992
0.98806081 0.10897982
0.98793207 0.11265295
0.98780334 0.11487296
0.98771843 0.11474208
0.98758970 0.11471906
0.98746097 0.11755901
0.98733224 0.11861615
0.98724733 0.11839631
0.98711860 0.11776817
0.98698987 0.12048544
0.98690496 0.12091032
0.98677623 0.12065278
0.98669132 0.12552579
0.98656259 0.12603314
0.98643385 0.12342256
0.98630512 0.12523500
0.98622021 0.12689957
0.98609148 0.12735011
0.98596275 0.12857356
0.98583402 0.13051326
0.98574911 0.13005923
0.98562038 0.13212711
0.98549165 0.13060476
0.98540674 0.13287107
0.98527801 0.13446308
0.98514927 0.13518573
0.98502054 0.13605299
0.98489181 0.13679132
0.98476308 0.13937122
0.98463709 0.14004497
0.98450835 0.13964071
0.98442071 0.14047246
0.98429471 0.14428097
0.98416598 0.14241341
0.98407833 0.14115498
0.98395234 0.14243071
0.98386469 0.14503754
0.98373870 0.14621607
0.98360997 0.14574708
0.98352232 0.14852138
0.98339633 0.15107243
0.98326760 0.14955899
0.98313887 0.15181976
0.98301013 0.15100507
0.98288140 0.15179605
0.98279649 0.15325181
0.98266776 0.15505353
0.98258285 0.15565002
0.98249521 0.15558799
0.98236647 0.15565586
0.98228157 0.15619595
0.98215283 0.15829312
0.98206793 0.15785434
0.98193919 0.15906064
0.98181046 0.16090811
0.98168173 0.16235422
0.98159682 0.16176296
0.98146809 0.16269562
0.98133936 0.16144803
0.98125445 0.16645885
0.98112572 0.16504275
0.98104081 0.16836958
0.98091208 0.16761046
0.98082717 0.16731558
0.98074226 0.16856665
0.98065735 0.16882437
0.98056971 0.17025880
0.98048480 0.17214989
0.98035607 0.17326424
0.98022733 0.17288123
0.98009860 0.17468357
0.97996987 0.17602122
0.97984388 0.17639071
0.97971515 0.17841590
0.97958641 0.17766443
0.97945768 0.17884098
0.97937277 0.17960134
0.97924404 0.18353654
0.97915913 0.18328072
0.97903040 0.18276088
0.97894276 0.18383185
0.97881676 0.18421589
0.97872912 0.18439124
0.97860312 0.18519871
0.97847439 0.18698038
0.97834566 0.18778676
0.97826075 0.18813799
0.97813202 0.18758599
0.97800329 0.18923068
0.97787455 0.19044366
0.97778965 0.19469948
0.97766091 0.19318870
0.97753218 0.19287585
0.97744727 0.19707407
0.97731854 0.19623397
0.97723090 0.19626426
0.97710490 0.19654220
0.97697617 0.19748177
0.97684744 0.20015231
0.97671871 0.19900119
0.97658998 0.20130392
0.97646124 0.20144486
0.97633251 0.20423305
0.97620652 0.20320213
0.97607779 0.20576614
0.97594906 0.20464702
0.97586141 0.20839843
0.97573541 0.20773401
0.97564777 0.20730897
0.97556286 0.21057355
0.97543413 0.21119901
0.97530540 0.21152162
0.97517940 0.21225091
0.97509176 0.21248667
0.97496302 0.21543664
0.97483429 0.21743043
0.97474938 0.21736373
0.97462065 0.21553610
0.97453574 0.21808812
0.97440701 0.21790811
0.97427828 0.22147590
0.97415229 0.22116084
0.97406464 0.22271609
0.97393591 0.22436500
0.97385100 0.22413069
0.97372227 0.22389430
0.97359354 0.22528006
0.97350863 0.22608729
0.97342372 0.22689437
0.97329499 0.22659410
0.97321008 0.22798913
0.97308135 0.22729935
0.97299644 0.22820927
0.97286771 0.23067396
0.97278006 0.23132849
0.97269515 0.23234103
0.97256642 0.23323167
0.97243769 0.23597256
0.97231170 0.23333735
0.97218296 0.23476740
0.97205423 0.23559371
0.97192550 0.23621341
0.97184059 0.23666900
0.97171186 0.23897085
0.97158313 0.23680468
0.97145440 0.23956606
0.97136949 0.24052091
0.97124076 0.24198822
0.97115585 0.24299817
0.97106820 0.24254797
0.97094221 0.24228654
0.97085456 0.24262148
0.97072583 0.24691800
0.97059984 0.24645790
0.97051219 0.24833794
0.97038346 0.24695772
0.97025746 0.24884331
0.97012873 0.25108423
0.97004108 0.25038022
0.96991509 0.25094180
0.96978636 0.25380734
0.96970145 0.25294564
0.96957272 0.25495506
0.96944399 0.25369398
0.96935908 0.25766186
0.96923035 0.25739808
0.96910162 0.25881229
0.96897288 0.26017073
0.96884415 0.25987504
0.96871542 0.26262539
0.96858669 0.26272497
0.96850178 0.26400707
0.96837305 0.26428833
0.96824432 0.26718697
0.96811558 0.26764166
0.96803068 0.26734148
0.96790194 0.26793042
0.96777321 0.27157010
0.96764722 0.27055478
0.96751849 0.27141170
