"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098796","membrane protein complex","125/787","400/3933",0.3125,1.56170584498094,5.92764084102288,1.15212973767124e-08,3.23316407633993e-07,2.82726573783798e-07,"B2M/DAD1/NDUFC2/NDUFV2/ATP6V0E1/NDUFB11/COX6A1/S100A10/NDUFB9/CAV1/FKBP1A/ATP5PD/COX7C/ATP5PO/ATP5F1C/COX4I1/CALM3/UQCRH/RNASEK/NDUFB8/ATP5MC1/SEC61B/NDUFAB1/NDUFS4/HMGB1/COX5A/ANXA2/SEC11A/UQCRB/COX6B1/ATP5MG/ATP5PB/OSTC/NDUFA6/LAMTOR4/SPCS1/ITGAE/NDUFB4/NDUFA12/PHB1/CTTN/COX5B/NDUFB6/NDUFB10/COPZ1/NDUFS8/LAMTOR5/ATP6V1G1/COX7A2/MICOS10/TIMM9/CALCRL/LAMTOR2/CALM2/SAR1A/VPS29/SSR4/NDUFV3/TOMM22/CHMP3/CLIC1/COX7A2L/COX6C/ATP5ME/UBXN1/NDUFS3/SDHB/GRPEL1/UFD1/SUMO1/ACVRL1/NDUFB1/NECAP2/CALR/NDUFA7/STX8/NDUFB5/SEC11C/KRTCAP2/ATP5PF/TOMM7/UQCR11/SPCS2/ATP5MF/NDUFB2/UQCRQ/GNG5/GNAI2/NDUFS7/TIMM17B/TIMM17A/ATP6V0B/TIMM10/HLA-A/VDAC2/MPC2/CALM1/NDUFA11/DNAJC19/PSENEN/EMC4/ATP6V1F/PHB2/SMDT1/LY96/VCP/SEC13/PDZD11/ATP5MJ/CHMP2A/CHMP5/LAMTOR1/MTX1/NDUFB3/EMC3/NDUFA9/TOMM5/ITGB1/BLOC1S6/HM13/PAM16/NDUFA13/DCTN1/ATP5F1A/ATP5F1B",125
"GO:0005839","proteasome core complex","14/787","17/3933",0.823529411764706,4.1155542267733,6.4380329542118,5.55548721506444e-08,1.46730221150819e-06,1.28309395121922e-06,"PSMB4/PSMA3/PSMB2/PSMB3/PSMA7/PSMB6/PSMA2/PSMA6/PSMB7/PSMA4/PSMB5/PSMA1/PSMA5/PSMF1",14
"GO:0034703","cation channel complex","19/787","29/3933",0.655172413793103,3.27419708189107,6.14733603743663,1.13490153368494e-07,2.83094882569189e-06,2.4755454506695e-06,"FKBP1A/ATP5PD/ATP5PO/ATP5F1C/CALM3/ATP5MC1/ATP5MG/ATP5PB/CTTN/CALM2/ATP5ME/SUMO1/ATP5PF/ATP5MF/CALM1/SMDT1/ATP5MJ/ATP5F1A/ATP5F1B",19
"GO:1990204","oxidoreductase complex","43/787","101/3933",0.425742574257426,2.12763093336017,5.74155698165848,1.37870236436387e-07,3.25809137683882e-06,2.84906361167713e-06,"NDUFC2/NDUFV2/NDUFB11/COX6A1/NDUFB9/COX7C/COX4I1/UQCRH/NDUFB8/NDUFAB1/NDUFS4/COX5A/UQCRB/COX6B1/NDUFA6/NDUFB4/NDUFA12/COX5B/NDUFB6/NDUFB10/NDUFS8/COX7A2/NDUFV3/COX7A2L/COX6C/NDUFS3/SDHB/KGD4/NDUFB1/NDUFA7/NDUFB5/LDHB/UQCR11/NDUFB2/UQCRQ/NDUFS7/NDUFA11/LDHA/NDUFB3/NDUFA9/P4HB/NDUFA13/GCSH",43
"GO:0030964","NADH dehydrogenase complex","24/787","44/3933",0.545454545454545,2.72588656578491,5.75750569898925,3.57611798113999e-07,7.64608082634217e-06,6.68617547350986e-06,"NDUFC2/NDUFV2/NDUFB11/NDUFB9/NDUFB8/NDUFAB1/NDUFS4/NDUFA6/NDUFB4/NDUFA12/NDUFB6/NDUFB10/NDUFS8/NDUFV3/NDUFS3/NDUFB1/NDUFA7/NDUFB5/NDUFB2/NDUFS7/NDUFA11/NDUFB3/NDUFA9/NDUFA13",24
"GO:0045271","respiratory chain complex I","24/787","44/3933",0.545454545454545,2.72588656578491,5.75750569898925,3.57611798113999e-07,7.64608082634217e-06,6.68617547350986e-06,"NDUFC2/NDUFV2/NDUFB11/NDUFB9/NDUFB8/NDUFAB1/NDUFS4/NDUFA6/NDUFB4/NDUFA12/NDUFB6/NDUFB10/NDUFS8/NDUFV3/NDUFS3/NDUFB1/NDUFA7/NDUFB5/NDUFB2/NDUFS7/NDUFA11/NDUFB3/NDUFA9/NDUFA13",24
"GO:1905369","endopeptidase complex","30/787","64/3933",0.46875,2.34255876747141,5.41550160387997,9.65514702394214e-07,1.97052773352274e-05,1.72314346408154e-05,"PSMB4/PSMA3/PSMB2/PSMB3/PSMA7/PSMB6/PSMA2/SEM1/PSMA6/PSMB7/PSMA4/PSMB5/PSMD8/SEC11A/SPCS1/PSME2/HSPB1/PSME1/PSMD9/SEC11C/PSMA1/PSMA5/SPCS2/PSMC5/PSMD7/VCP/TXNL1/PSMD4/PSMF1/PSMC6",30
"GO:0000502","proteasome complex","26/787","52/3933",0.5,2.4987293519695,5.44086343025214,1.09901880194198e-06,2.14547583509542e-05,1.8761282065188e-05,"PSMB4/PSMA3/PSMB2/PSMB3/PSMA7/PSMB6/PSMA2/SEM1/PSMA6/PSMB7/PSMA4/PSMB5/PSMD8/PSME2/HSPB1/PSME1/PSMD9/PSMA1/PSMA5/PSMC5/PSMD7/VCP/TXNL1/PSMD4/PSMF1/PSMC6",26
"GO:0034702","monoatomic ion channel complex","20/787","35/3933",0.571428571428571,2.85569068796515,5.51484683029787,1.28614712064567e-06,2.4061669048746e-05,2.10409156140717e-05,"FKBP1A/ATP5PD/ATP5PO/ATP5F1C/CALM3/ATP5MC1/ATP5MG/ATP5PB/CTTN/CALM2/CLIC1/ATP5ME/SUMO1/ATP5PF/ATP5MF/CALM1/SMDT1/ATP5MJ/ATP5F1A/ATP5F1B",20
"GO:1905368","peptidase complex","32/787","73/3933",0.438356164383562,2.19066682912395,5.13538246794284,2.64917984210202e-06,4.75792699641523e-05,4.16060665728023e-05,"PSMB4/PSMA3/PSMB2/PSMB3/PSMA7/PSMB6/PSMA2/SEM1/ENY2/PSMA6/PSMB7/PSMA4/PSMB5/PSMD8/SEC11A/SPCS1/PSME2/HSPB1/PSME1/PSMD9/SEC11C/PSMA1/PSMA5/SPCS2/PSMC5/TAF9/PSMD7/VCP/TXNL1/PSMD4/PSMF1/PSMC6",32
