transcript_id,q_value
ENST00000646768.1,2.34E-20
ENST00000578069.1,2.54E-20
ENST00000564648.1,2.73E-20
ENST00000584583.2,3.14E-20
ENST00000601048.6,3.34E-20
ENST00000665270.1,4.50E-20
ENST00000554482.1,4.77E-20
ENST00000527046.5,5.04E-20
ENST00000651485.1,5.06E-20
ENST00000373116.6,5.09E-20
ENST00000366815.10,5.71E-20
ENST00000528957.6,5.96E-20
ENST00000465271.6,7.51E-20
ENST00000302386.10,9.73E-20
ENST00000577035.5,9.73E-20
ENST00000486310.5,1.16E-19
ENST00000427417.1,1.16E-19
ENST00000607564.1,1.25E-19
ENST00000489532.6,1.40E-19
ENST00000567815.5,1.58E-19
ENST00000599874.5,1.58E-19
ENST00000661429.1,1.61E-19
ENST00000445623.1,1.85E-19
ENST00000521619.1,2.08E-19
ENST00000406022.6,2.80E-19
ENST00000225655.6,3.04E-19
ENST00000574872.1,3.04E-19
ENST00000511175.1,3.65E-19
ENST00000476258.5,3.68E-19
ENST00000417181.5,3.72E-19
ENST00000265729.7,3.80E-19
ENST00000349264.10,3.94E-19
ENST00000537918.1,4.39E-19
ENST00000520361.5,5.09E-19
ENST00000460490.2,5.65E-19
ENST00000519911.5,6.04E-19
ENST00000429064.1,6.70E-19
ENST00000265462.9,7.45E-19
ENST00000528987.1,7.97E-19
ENST00000578379.5,9.86E-19
ENST00000602676.6,1.04E-18
ENST00000490277.1,1.14E-18
ENST00000678416.1,1.32E-18
ENST00000587481.1,1.33E-18
ENST00000472441.1,1.38E-18
ENST00000484604.5,1.47E-18
ENST00000301821.11,1.52E-18
ENST00000616577.4,1.71E-18
ENST00000697816.1,2.09E-18
ENST00000709238.1,2.74E-18
ENST00000532359.5,2.90E-18
ENST00000644684.1,3.43E-18
ENST00000368809.1,3.91E-18
ENST00000502453.1,4.32E-18
ENST00000549017.5,5.04E-18
ENST00000581373.5,5.09E-18
ENST00000676873.1,5.25E-18
ENST00000545199.5,6.69E-18
ENST00000504789.5,7.87E-18
ENST00000217652.8,8.01E-18
ENST00000370913.5,8.11E-18
