Gene name	fold change	p-value
NPEPPSP1	8.33053984337421	4.59646532948964E-79
PNPT1	4.68011902218376	1.16744558562189E-47
0	4.45969103781665	1.31023782269522E-37
H19	7.43769888330428	1.0441269246282E-32
SNHG5	-2.25534764223016	1.23506374119801E-24
CD44	2.30920541362909	2.73339492614571E-24
SFTA1P	3.26709114397122	2.73339492614571E-24
RGS5	-5.65976661221373	5.13722062856379E-23
SAT1	2.41136519506312	2.19233304942925E-22
BST2	2.33591041904904	1.46500385150692E-20
IFITM1	3.50566638150036	2.04350816928199E-19
0	9.83954695308059	3.38626169952861E-18
0	9.72869033818922	1.80736839706376E-17
0	9.76781433327298	1.80736839706376E-17
H19	7.17373993911381	6.04563338811421E-17
EFEMP1	-1.3763429180839	5.44443148975922E-16
POLR1H	4.53621820472334	5.44443148975922E-16
CASP4LP	2.54050109791378	3.68433647597812E-15
RPS4Y1	-9.65107703215688	6.45948846285545E-15
SNORA31B	-3.48025959378706	1.00784827406254E-14
NNAT	-9.42479961446084	2.95152737668898E-14
HEY2	8.96263172479763	5.88466525410953E-14
IFI27	2.40286363818676	6.56104342632083E-14
IFI27	2.34376812315978	9.49980453271437E-14
NPEPPSP1	8.74907211060767	1.04390204437268E-13
CASP4LP	2.82458195878931	1.04390204437268E-13
AK5	2.69489151573978	6.28729649475504E-13
NPEPPSP1	8.55389125178241	2.36504791153683E-12
HLA-A	1.43170009774215	2.46911807518553E-12
HLA-A	1.3975128139501	6.65208270153584E-12
MT1E	-1.44342139864463	6.66655919664547E-12
MX1	3.12695227285632	1.54361727124529E-11
MT1L	-3.78277487815217	2.31847108182639E-11
0	6.31021168057048	3.42087751283082E-11
RPP21	2.43659394802814	4.62793652064876E-11
ALDH1A2	-8.15922397187946	2.99468766809737E-10
MIR4435-2HG	1.47683685947274	7.39321768026969E-10
PLAC8	-8.24113892337327	7.68666677266047E-10
S100A4	3.43138926690972	1.77451096451998E-9
0	-2.42313575824591	3.05083650421229E-9
CLEC2B	2.56348284326716	4.11475792418385E-9
MT2A	-1.1136894905491	4.98555904163328E-9
XG	7.94310569726319	7.26461602900341E-9
HLA-B	2.41138169699419	3.25003864895802E-8
HEY1	6.75008768245202	4.55555505258234E-8
CFAP221	7.28273709374843	6.26377485753331E-8
XGY2	-7.35539182669831	6.43334058315334E-8
IER3	1.50628100312786	2.27954814060539E-7
HLA-C	-7.31270845549948	2.32605678368863E-7
CCL15-CCL14	1.59713761539391	2.32605678368863E-7
PRSS2	6.55811230354804	2.38273099166609E-7
HLA-C	1.52931991118657	3.18097968804047E-7
IER3	1.5561058488294	3.42291289004902E-7
0	1.2584702944001	3.42934225773273E-7
IFI6	1.90952035831739	3.47396520836914E-7
PALD1	-6.72774578451016	3.85775345562454E-7
GJA5	4.99783077707888	4.52086067839966E-7
NPEPPSP2	6.95579350674592	4.80846415703685E-7
TSTD1	1.68164512801855	5.42443974940882E-7
CCL15-CCL14	1.59966788901807	6.02468292695465E-7
ELP5	1.54039160193872	9.3532909166689E-7
CCL14	1.6847067201251	9.3532909166689E-7
CCL14	1.68045333456157	0.00000117571100549552
GGT5	-4.14069898143495	0.00000123123941998431
MGST2	1.65450092518744	0.00000136411015194844
0	1.27811918211074	0.00000144727781189041
PTGR1	-1.67007397079294	0.00000256007818479424
NR2F2	-3.72823964925212	0.00000256007818479424
IER3	1.31805220780733	0.00000306728373693947
ELP5	1.6303687110145	0.00000309931449930908
B2M	1.10892509641432	0.00000324874794819276
