"gene_id","a.value","m.value","p.value","q.value","rank","estimatedDEG"
"ENSG00000000003",4.62766285696676,-0.369793719773551,0.46912477307941,0.766791696515657,8252,0
"ENSG00000000419",6.31450395870516,0.495558908013484,0.0870547046175953,0.305404658149998,3845,0
"ENSG00000000457",2.93156313018782,1.48414745349267,0.0863169974718252,0.303685440505334,3834,0
"ENSG00000000460",4.02363836781016,-0.819047564099197,0.541115214277162,0.812703241057481,8981,0
"ENSG00000000971",5.66118168708107,-0.0211307055815615,0.997355069723022,0.999558531439454,13458,0
"ENSG00000001036",4.49216231083297,0.250172028320942,0.664466540273637,0.882618332028665,10155,0
"ENSG00000001084",1.98200046573708,-1.59087605907635,0.338903766830699,0.657104055020742,6957,0
"ENSG00000001167",2.4404425400544,0.443616882768286,0.685791749120293,0.890426884578269,10389,0
"ENSG00000001460",3.03278042718423,2.00447618858924,0.0142542463329598,0.082427542557365,2332,0
"ENSG00000001461",2.21241031405651,0.28825814963013,0.828849175713016,0.948886848429,11782,0
"ENSG00000001497",5.40078988742398,0.951217163280742,0.0740065196801704,0.274930857605568,3631,0
"ENSG00000001561",0.9049266249626,0.401688615514324,0.823198159904381,0.94679687475598,11726,0
"ENSG00000001617",4.61529720302021,0.635760957243103,0.329279297644218,0.647935917580569,6855,0
"ENSG00000001629",2.91284929036706,0.113261598436159,0.921180779108487,0.981272480875556,12661,0
"ENSG00000001630",6.32890655129517,-0.128313537662589,0.753896228715565,0.918047837905514,11075,0
"ENSG00000001631",3.25664048315335,-2.80328016567673,0.0372791187319012,0.170402586436671,2951,0
"ENSG00000002330",5.12820227669312,0.614167290977952,0.0770272028289476,0.28214729292495,3682,0
"ENSG00000002549",7.40465580748857,1.19870712596251,3.45708228371739e-06,4.85596882337798e-05,960,1
"ENSG00000002586",9.52755535774665,1.25369439668903,9.14335529101194e-14,3.75019180986478e-12,328,1
"ENSG00000002822",4.35149202311371,-1.61327360250593,0.104334352585271,0.343009037782774,4103,0
"ENSG00000002834",7.02780533240675,0.280087453098655,0.182234214553504,0.478491369283764,5137,0
"ENSG00000002919",3.34967848471562,-0.722014069807599,0.317195380978843,0.637557516618032,6711,0
"ENSG00000003056",6.13209248668404,-0.373265737048587,0.301310052660112,0.623077222936513,6523,0
"ENSG00000003096",3.38157002633128,-0.948140651850369,0.4596719708688,0.760782622399948,8148,0
"ENSG00000003147",4.1359329208408,1.22699104529883,0.142982879575569,0.415130448255456,4646,0
"ENSG00000003249",5.4129316967713,-0.48386760956238,0.463918016656841,0.763814120467654,8190,0
"ENSG00000003393",4.42181674751605,-0.877588044751679,0.100650680199171,0.334843519762547,4054,0
"ENSG00000003400",5.41548147327605,-0.391529200668238,0.432232275898057,0.738958323141811,7890,0
"ENSG00000003402",6.75928953855301,1.13095158795504,8.59442970124808e-05,0.000952658954372304,1216,1
"ENSG00000003436",7.59980827074056,0.290003120696687,0.171058532627529,0.462036152705794,4994,0
"ENSG00000003509",3.09255078482849,-0.644442898357672,0.596519832855182,0.846780312387825,9501,0
"ENSG00000003756",4.6128932346819,-0.545381419273822,0.483338697897372,0.776346236715605,8398,0
"ENSG00000003989",0.180015599168652,2.4852981202281,0.244613575345066,0.560678422740797,5885,0
"ENSG00000004059",6.84458677079276,0.286059391619329,0.197432132192022,0.499186884936867,5335,0
"ENSG00000004139",2.41682351511769,1.1520663945648,0.382115797185187,0.696829421963153,7396,0
"ENSG00000004142",4.74972152872099,-0.0564730757244227,0.854266690849674,0.958567924935527,12016,0
"ENSG00000004399",7.37413914068481,0.048124672756745,0.8353234787653,0.950945539854023,11848,0
"ENSG00000004455",8.29076021542139,1.62806211700714,8.82077443395157e-22,1.33689243078172e-19,89,1
"ENSG00000004478",5.0197982705817,-0.715732925270658,0.0676034853474514,0.259548476566802,3513,0
"ENSG00000004487",6.9166075337406,-1.15476668916072,0.0097240013609518,0.0611024978166982,2146,0
"ENSG00000004534",4.4857690314964,-0.350712707704092,0.735655504767697,0.910931805990696,10891,0
"ENSG00000004660",1.31181085684017,0.748888635571141,0.764613401953703,0.923215774705976,11171,0
"ENSG00000004700",3.6755807685415,0.393228960786848,0.671635939126631,0.886137164674079,10223,0
"ENSG00000004766",3.96634629060972,-0.952956867445594,0.19146578089105,0.49009952317853,5268,0
"ENSG00000004776",1.71155917461563,-1.08454214350917,0.381570013211241,0.696213962364107,7392,0
"ENSG00000004779",9.00659514659487,1.79170546732341,2.0218399332978e-10,5.07869624958176e-09,537,1
"ENSG00000004864",2.9297390280041,1.31812235293758,0.135240591223939,0.402011006852115,4536,0
"ENSG00000004866",3.60785005151181,-1.11742767591748,0.126178197563405,0.385268361528622,4417,0
"ENSG00000004897",4.58887739287835,-1.19175359985128,0.0117472058583414,0.0709775649828477,2232,0
"ENSG00000004961",5.08506314714961,-1.03317641943985,0.00996457956171983,0.0619982535553684,2168,0
"ENSG00000004975",2.48269218909534,-0.43475500449024,0.674191201919308,0.88677342858918,10253,0
"ENSG00000005007",6.18916782774104,0.481695481242789,0.0700710385839347,0.266025398102644,3553,0
"ENSG00000005020",2.20046579404043,-0.656569032232262,0.52641409979294,0.802215872435121,8851,0
"ENSG00000005022",7.05146589656942,1.02275617959817,1.70987926475659e-05,0.000213994592955037,1077,1
"ENSG00000005059",4.6467723340135,-0.145651805268395,0.769012550433074,0.925391531420352,11209,0
"ENSG00000005073",2.82825124096822,1.02347377410259,0.321105874578639,0.640171023084727,6766,0
"ENSG00000005075",8.75213365701082,1.95934581422105,4.14372090824269e-12,1.3029056254379e-10,429,1
"ENSG00000005100",1.12565248576285,-0.152842604572406,0.945259131447281,0.986505184432077,12924,0
"ENSG00000005108",1.02633113483723,0.750796680676208,0.666658305998385,0.88363181422769,10176,0
"ENSG00000005156",3.13902139209679,-1.11107957857084,0.362652531445657,0.679808384095534,7194,0
"ENSG00000005175",3.54103769802861,0.0108172864658842,0.973679554253713,0.993792638266369,13216,0
"ENSG00000005187",2.10086391781667,-0.0526169489943098,0.922302800199946,0.981272480875556,12670,0
"ENSG00000005194",5.82213322061935,0.849577970939622,0.264462794993405,0.583849966840687,6107,0
"ENSG00000005206",2.80972324169735,1.06677457258858,0.38714878135826,0.701161373756923,7448,0
"ENSG00000005238",5.09478775253404,1.14555538900776,0.188815961995257,0.485900357231598,5240,0
"ENSG00000005243",3.26766794142052,-0.599264572666623,0.663704289225493,0.882323892685466,10145,0
"ENSG00000005249",5.54610542320394,0.576462041303111,0.394703097597711,0.708180822054896,7517,0
"ENSG00000005302",6.27301148927067,0.211989325125398,0.597273417868545,0.84708328098134,9509,0
"ENSG00000005339",3.28044814351125,-0.699036955786547,0.522666518732732,0.799801324014274,8815,0
"ENSG00000005436",3.722154562036,-0.573143221244935,0.576267367131813,0.835133001081,9307,0
"ENSG00000005448",5.24557287086091,0.0570295530100848,0.925196348019796,0.981398534151226,12716,0
"ENSG00000005469",2.46732361947844,1.34476389165755,0.167468298726634,0.45713315361752,4939,0
"ENSG00000005483",3.96336927449625,0.19997531677609,0.873865195042244,0.964631893282172,12219,0
"ENSG00000005486",5.01546280561361,0.0254719460749255,0.951483408520442,0.987444452731222,12997,0
"ENSG00000005700",4.4940690382389,-0.553064796307847,0.437655033095954,0.742956045989343,7946,0
"ENSG00000005801",5.65874873187982,0.411827993951515,0.487410623839885,0.778990747035096,8440,0
"ENSG00000005810",4.25631727856798,1.83698658485944,0.0124056767439319,0.0740771020800784,2259,0
"ENSG00000005812",1.5263449078038,1.14952665081989,0.447110368796176,0.751641328961603,8023,0
"ENSG00000005882",2.16874348199386,4.23710505834055,0.00252154641716959,0.0198327344730032,1715,1
"ENSG00000005884",5.68378885005423,1.3678774421791,0.000178659464977696,0.00187689838246429,1284,1
"ENSG00000005889",4.43918457906681,-0.299480503377306,0.772949831054831,0.927826331930225,11237,0
"ENSG00000005893",5.17710329073851,1.01695578103942,0.00405234652717866,0.0296983563165736,1840,1
"ENSG00000006007",4.39077394241952,0.221207690199741,0.638005412530935,0.868070910795822,9914,0
"ENSG00000006015",6.30335498830221,-0.06433469612581,0.836212076925926,0.951148048372866,11859,0
"ENSG00000006025",-1.36275625246671,3.37212906304404,0.10847447649711,0.351902889242309,4158,0
"ENSG00000006042",5.96610718874659,0.00554599722663518,0.972301435336177,0.99336317967505,13203,0
"ENSG00000006118",3.94383587692142,2.04177040932387,0.0442893383914576,0.192653623206182,3101,0
"ENSG00000006125",6.24174091932566,-0.125888091295357,0.768230742466927,0.92480261561366,11205,0
"ENSG00000006194",1.92687806863553,1.60132818511658,0.493578744503982,0.782244143956827,8511,0
"ENSG00000006282",4.83907940133752,0.0851178130225883,0.856199227703631,0.959241809177265,12040,0
"ENSG00000006327",7.35365450210291,0.535007485676989,0.037682044906186,0.171720643155251,2960,0
"ENSG00000006451",8.53457852902981,-0.023417633059557,0.913943054086992,0.979203960014252,12590,0
"ENSG00000006468",0.702380398471382,2.3222578462306,0.327863252744584,0.647056056181964,6834,0
"ENSG00000006530",3.6188672345913,0.421067679257943,0.755847060765773,0.918405828262656,11097,0
"ENSG00000006576",4.89194696530627,-0.281377555231924,0.620623105498107,0.857832264582843,9759,0
"ENSG00000006607",2.67300027552494,-1.31199857183622,0.244737355775523,0.560690382426007,5887,0
"ENSG00000006625",5.90158116079278,0.828725616088154,0.0145146070311606,0.0835444364890561,2343,0
"ENSG00000006634",4.07168152971353,-0.342673064361995,0.569051337546136,0.830890807010048,9238,0
"ENSG00000006652",5.1716397357113,-1.01015458889693,0.127488035423844,0.387531247176339,4437,0
"ENSG00000006695",2.52288532438416,-0.945354276816919,0.411072502819474,0.721285038208011,7687,0
"ENSG00000006704",3.23852918807827,1.02885831579381,0.294083066423703,0.615759353240807,6442,0
"ENSG00000006712",4.78768539965574,-0.350239882645115,0.454424077228225,0.758244071021822,8082,0
"ENSG00000006715",3.78560002740295,1.2370289838074,0.0924477559661726,0.317598651816787,3926,0
"ENSG00000006744",6.42260544228905,-0.382781780761033,0.4218197531716,0.72929077807379,7802,0
"ENSG00000006756",4.04716609497479,0.824225711833782,0.201267975338457,0.503879680649675,5388,0
