gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000004399	ENST00000504524.5	0.020712387	1	0.885565232	1	0.214576815	0.215304322	0.004883081
ENSG00000004399	ENST00000504689.1	0.137875932	1	0.710401821	1	0.128423566	0.121028806	-0.085559498
ENSG00000004399	ENST00000512744.5	0.144972138	1	0.703387229	1	0.226660933	0.205377405	-0.142258279
ENSG00000004455	ENST00000354858.11	-9.12E-05	1	1	1	0.04325402	0.044663233	0.046253454
ENSG00000004455	ENST00000373449.7	0.098377109	1	0.753785927	1	0.032843416	0.034759301	0.081794879
ENSG00000004455	ENST00000469238.2	0.008824211	1	0.925158984	1	0.122685012	0.125341132	0.030900915
ENSG00000004455	ENST00000480134.5	0.497960587	1	0.480397596	1	0.049068427	0.039220837	-0.323174679
ENSG00000004455	ENST00000550338.6	-0.000119298	1	1	1	0.025440097	0.026288153	0.047308607
ENSG00000004455	ENST00000672308.1	0.063663219	1	0.800797044	1	0.131782478	0.134069408	0.024821512
ENSG00000004455	ENST00000672715.1	0.037082588	1	0.847296997	1	0.160269356	0.165477359	0.046135236
ENSG00000004455	ENST00000695598.1	0.021484454	1	0.883466885	1	0.038596761	0.043751408	0.180849656
ENSG00000004455	ENST00000695600.1	0.047254748	1	0.827910991	1	0.055204081	0.051886126	-0.089426103
ENSG00000004455	ENST00000695602.1	0.021358953	1	0.883805325	1	0.128749903	0.128272085	-0.005364104
ENSG00000004455	ENST00000695603.1	0.1280087	1	0.720505688	1	0.10858063	0.113198157	0.0600837
ENSG00000004455	ENST00000695604.1	0.394332519	1	0.530030792	1	0.103525818	0.093072802	-0.153559064
ENSG00000004779	ENST00000007516.8	1.680576853	1	0.19484782	1	0.63109687	0.678001443	0.103426876
ENSG00000004779	ENST00000484769.1	0.69388225	1	0.404847014	1	0.260631361	0.230902058	-0.174729657
ENSG00000004779	ENST00000562133.5	0.824826066	1	0.363772905	1	0.108271769	0.091096499	-0.249189608
ENSG00000005194	ENST00000394391.9	0.033231719	1	0.85535068	1	0.538961039	0.512794613	-0.07179988
ENSG00000005194	ENST00000567518.5	0.033231719	1	0.85535068	1	0.461038961	0.487205387	0.079641412
ENSG00000005893	ENST00000200639.9	0.008352825	1	0.927179694	1	0.566067019	0.536968732	-0.07613479
ENSG00000005893	ENST00000371335.4	0.008352825	1	0.927179694	1	0.433932981	0.463031268	0.09363738
ENSG00000006042	ENST00000394642.7	8.97E-06	1	0.99760989	1	0.445493134	0.445612166	0.000385425
ENSG00000006042	ENST00000579849.6	8.97E-06	1	0.99760989	1	0.554506866	0.554387834	-0.000309726
ENSG00000006327	ENST00000326577.9	0.037120883	1	0.847219138	1	0.290795187	0.292354614	0.00771597
ENSG00000006327	ENST00000341627.5	0.12270184	1	0.726122402	1	0.233209085	0.246276144	0.07865289
ENSG00000006327	ENST00000571351.1	0.028874364	1	0.865069447	1	0.243488499	0.241538241	-0.01160201
ENSG00000006327	ENST00000575124.1	0.154768879	1	0.694019077	1	0.232507229	0.219831001	-0.080880718
ENSG00000006451	ENST00000005257.7	1.121636558	1	0.289566333	1	0.541899108	0.601263333	0.149972709
ENSG00000006451	ENST00000434466.1	0.548445113	1	0.458953717	1	0.187892639	0.159981475	-0.232003693
ENSG00000006451	ENST00000466491.1	1.79659059	1	0.180125223	1	0.075279935	0.04509023	-0.739450527
ENSG00000006451	ENST00000468201.1	0.016003079	1	0.899333557	1	0.194928318	0.193664963	-0.009380721
ENSG00000006625	ENST00000005374.10	0.494516414	1	0.481919523	1	0.179616879	0.137461473	-0.385895603
ENSG00000006625	ENST00000275428.9	0.231645885	1	0.630306106	1	0.378184832	0.424332743	0.166104505
ENSG00000006625	ENST00000409144.5	0.347653825	1	0.555444257	1	0.167001138	0.130465932	-0.356184798
ENSG00000006625	ENST00000440082.5	0.232335662	1	0.629797352	1	0.275197152	0.307739852	0.161245745
ENSG00000006744	ENST00000338034.9	0.120814678	1	0.72815258	1	0.187746498	NA	NA
ENSG00000006744	ENST00000395962.6	0.030672285	1	0.860973521	1	0.172977016	NA	NA
ENSG00000006744	ENST00000465825.5	0.017329857	1	0.895266741	1	0.158941928	NA	NA
ENSG00000006744	ENST00000480891.5	0.017329857	1	0.895266741	1	0.158941928	NA	NA
ENSG00000006744	ENST00000484122.5	0.021551017	1	0.883287795	1	0.1624507	NA	NA
ENSG00000006744	ENST00000487229.6	0.017329869	1	0.895266704	1	0.158941928	NA	NA
ENSG00000007080	ENST00000445755.7	0.092071659	1	0.761559808	1	0.673846779	0.662451194	-0.024606418
ENSG00000007080	ENST00000597436.5	0.092071659	1	0.761559808	1	0.326153221	0.337548806	0.049546242
ENSG00000008130	ENST00000341426.9	0.00577194	1	0.939440354	1	0.333333333	0.337254902	0.016873819
ENSG00000008130	ENST00000341991.7	0.001450834	1	0.969616068	1	0.333333333	0.331372549	-0.0085115
ENSG00000008130	ENST00000378625.5	0.001450832	1	0.969616088	1	0.333333333	0.331372549	-0.0085115
ENSG00000008282	ENST00000011473.6	1.147156846	1	0.284145113	1	0.271752917	0.215070402	-0.337486531
ENSG00000008282	ENST00000455385.7	0.270932233	1	0.602707107	1	0.350202943	0.382046565	0.125557281
ENSG00000008282	ENST00000470347.1	2.290715691	1	0.130149897	1	0.182952816	0.272179682	0.573087756
ENSG00000008282	ENST00000706297.1	0.937229399	1	0.332991389	1	0.195091324	0.130703352	-0.577853485
ENSG00000008324	ENST00000011691.6	0.192523549	1	0.660824537	1	0.448759241	0.464938207	0.05109734
ENSG00000008324	ENST00000447630.5	0.15269936	1	0.695968986	1	0.452918488	0.467632206	0.046122862
ENSG00000008324	ENST00000474941.1	2.42691333	1	0.119267539	1	0.098322272	0.067429587	-0.544136488
ENSG00000008394	ENST00000396207.1	0.008358262	1	0.927156066	1	0.07466818	0.073075851	-0.03109884
ENSG00000008394	ENST00000396209.5	0.109025572	1	0.741256247	1	0.085751832	0.080691633	-0.087748413
ENSG00000008394	ENST00000396210.8	0.207275052	1	0.648911625	1	0.301668795	0.312949507	0.052964437
ENSG00000008394	ENST00000535624.1	0.323396232	1	0.569573747	1	0.038293942	0.038234883	-0.00222672
ENSG00000008394	ENST00000536371.5	0.906411569	1	0.341068331	1	0.08142545	0.05928544	-0.457801961
ENSG00000008394	ENST00000539708.5	0.226416611	1	0.634193682	1	0.261879888	0.274013375	0.065341048
ENSG00000008394	ENST00000540056.5	0.0032467	1	0.954561268	1	0.026158037	0.034143743	0.384366966
ENSG00000008394	ENST00000540126.5	0.003481544	1	0.952948433	1	0.075280276	0.077227064	0.036834607
ENSG00000008394	ENST00000543076.5	0.188056004	1	0.664539537	1	0.054873599	0.050378503	-0.123303957
ENSG00000008517	ENST00000008180.13	0.103267043	1	0.74794373	1	0.048142272	0.050283434	0.062778936
ENSG00000008517	ENST00000325568.9	0.469982963	1	0.492995006	1	0.114521824	0.105964712	-0.11203864
ENSG00000008517	ENST00000396887.7	1.133201437	1	0.287093495	1	0.042816173	0.036299937	-0.238188811
ENSG00000008517	ENST00000396890.6	0.498255075	1	0.480267832	1	0.063320054	0.069918011	0.143001651
ENSG00000008517	ENST00000440815.7	0.173024	1	0.677438149	1	0.084251287	0.082406512	-0.031940362
ENSG00000008517	ENST00000444393.7	0.278913249	1	0.597414398	1	0.074051442	0.080056966	0.112499121
ENSG00000008517	ENST00000525643.7	0.05720484	1	0.810969629	1	0.075220243	0.076027921	0.015408378
ENSG00000008517	ENST00000526464.6	0.129838809	1	0.718599225	1	0.121152192	0.12880359	0.088352295
ENSG00000008517	ENST00000528163.6	0.504035249	1	0.477732415	1	0.106246562	0.120460731	0.181146753
ENSG00000008517	ENST00000529550.5	0.597376327	1	0.439580831	1	0.028082557	0.034253896	0.286593805
ENSG00000008517	ENST00000530890.5	0.182314531	1	0.669391668	1	0.025561834	0.0259245	0.020324824
ENSG00000008517	ENST00000533097.6	0.645367563	1	0.421773782	1	0.044066952	0.035149604	-0.326188666
ENSG00000008517	ENST00000534507.5	0.035306646	1	0.850954551	1	0.086005251	0.085503336	-0.008444036
ENSG00000008517	ENST00000548652.5	0.049265734	1	0.824345912	1	0.024666579	0.0200962	-0.295634871
ENSG00000008517	ENST00000551122.5	0.577791656	1	0.447179225	1	0.030046995	0.025304578	-0.247822313
ENSG00000008517	ENST00000613483.4	1.086174195	1	0.297320441	1	0.031847785	0.023546072	-0.435706622
ENSG00000008952	ENST00000337002.9	0.460115827	1	0.497569846	1	0.22192914	0.252288704	0.184976507
ENSG00000008952	ENST00000460513.5	0.044081826	1	0.833701448	1	0.153165577	0.143819545	-0.090832347
ENSG00000008952	ENST00000469515.6	0.077099902	1	0.781266697	1	0.154882235	0.14293748	-0.115787415
ENSG00000008952	ENST00000480708.5	0.826681785	1	0.363233784	1	0.176662567	0.205705578	0.219584537
ENSG00000008952	ENST00000481435.5	0.235081955	1	0.627780973	1	0.149441183	0.135075532	-0.145811417
