gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC	neg_log10_pval	neg_log10_fdr	significance	transcript_label
ENSG00000000419	ENST00000371582.8	1.32691639009863e-07	1	0.999709355685958	1	0.334358894818218	0.335516288626888	0.00498531072929699	0.000126243568661728	0	Not significant	ENSG00000000419:ENST00000371582.8
ENSG00000000419	ENST00000371588.10	3.96066634493764e-05	1	0.994978640404575	1	0.329055926305764	0.327799289803898	-0.00552007631748454	0.002186242323619	0	Not significant	ENSG00000000419:ENST00000371588.10
ENSG00000000419	ENST00000466152.5	3.80298752133967e-05	1	0.995079607373805	1	0.336585178876018	0.336684421569214	0.000425318304168808	0.00214217386715285	0	Not significant	ENSG00000000419:ENST00000466152.5
ENSG00000002549	ENST00000226299.9	0.0535934834260843	1	0.816924316095994	1	0.20855668746216	0.212987382375578	0.030328392400594	0.0878181767899952	0	Not significant	ENSG00000002549:ENST00000226299.9
ENSG00000002549	ENST00000503467.1	0.00221920485091687	1	0.962426802930001	1	0.0943288846771434	0.089868249932449	-0.0698881019279459	0.0166322906946989	0	Not significant	ENSG00000002549:ENST00000503467.1
ENSG00000002549	ENST00000508497.5	0.160487111621478	1	0.68870844048909	1	0.097013872436758	0.0933715017546313	-0.0552087722303949	0.161964594471665	0	Not significant	ENSG00000002549:ENST00000508497.5
ENSG00000002549	ENST00000509583.1	0.137247275734808	1	0.711033074655646	1	0.0873837163389402	0.0850805879675201	-0.0385344600282422	0.148110197010952	0	Not significant	ENSG00000002549:ENST00000509583.1
ENSG00000002549	ENST00000512397.1	0.000124162586871535	1	0.991109494590584	1	0.103575245465793	0.103595631286981	0.000283925266801698	0.00387836340610049	0	Not significant	ENSG00000002549:ENST00000512397.1
ENSG00000002549	ENST00000606142.5	0.0131540756292452	1	0.908689874519669	1	0.200584906157045	0.202109264307262	0.0109224051871744	0.0415843112395852	0	Not significant	ENSG00000002549:ENST00000606142.5
ENSG00000002549	ENST00000618908.4	0.0535934663048465	1	0.816924344820436	1	0.20855668746216	0.212987382375578	0.030328392400594	0.0878181615194665	0	Not significant	ENSG00000002549:ENST00000618908.4
ENSG00000002586	ENST00000381184.6	0.10070985659695	1	0.750979435677742	1	0.0197325410676196	0.0206897392506376	0.0683387114818084	0.124371955264752	0	Not significant	ENSG00000002586:ENST00000381184.6
ENSG00000002586	ENST00000381192.10	0.0692285400800756	1	0.792463353511788	1	0.327188299433375	0.333119027232922	0.0259166037816586	0.101020812057339	0	Not significant	ENSG00000002586:ENST00000381192.10
ENSG00000002586	ENST00000482405.7	0.0109191868104972	1	0.916776605141734	1	0.0121727926265448	0.0123810391549677	0.0244722241641765	0.0377364778237691	0	Not significant	ENSG00000002586:ENST00000482405.7
ENSG00000002586	ENST00000611428.5	0.0580738417447719	1	0.80956662723707	1	0.333490935641272	0.339151541494106	0.0242825009219683	0.0917474030555575	0	Not significant	ENSG00000002586:ENST00000611428.5
ENSG00000002586	ENST00000624481.4	0.481186950622941	1	0.48788516814171	1	0.286074809840704	0.273476899550242	-0.0649734930655084	0.311682384372097	0	Not significant	ENSG00000002586:ENST00000624481.4
ENSG00000002586	ENST00000647297.1	0.00466219273221213	1	0.945562544528913	1	0.0213406213904843	0.021181753317125	-0.0107801715965092	0.0243097393251116	0	Not significant	ENSG00000002586:ENST00000647297.1
ENSG00000002834	ENST00000318008.11	0.00540371270426476	1	0.941400326785216	1	0.520459428715875	0.524994868008536	0.0125176142957456	0.0262256552741706	0	Not significant	ENSG00000002834:ENST00000318008.11
ENSG00000002834	ENST00000433206.6	0.00540371270426476	1	0.941400326785216	1	0.479540571284125	0.475005131991464	-0.0137097783667609	0.0262256552741706	0	Not significant	ENSG00000002834:ENST00000433206.6
ENSG00000003056	ENST00000000412.8	0.0381473787128925	1	0.845147498196495	1	0.345572455902979	0.289078374455733	-0.257527544178746	0.0730674897926549	0	Not significant	ENSG00000003056:ENST00000000412.8
ENSG00000003056	ENST00000536844.5	0.0829579248093069	1	0.773328234223326	1	0.323609438422766	0.472804789550073	0.546990964046505	0.111636133435625	0	Not significant	ENSG00000003056:ENST00000536844.5
ENSG00000003056	ENST00000541507.5	0.241456666495651	1	0.623156007447099	1	0.330818105674254	0.238116835994194	-0.474368565742723	0.205403213867827	0	Not significant	ENSG00000003056:ENST00000541507.5
ENSG00000003402	ENST00000309955.8	3.46701173752763	1	0.0626043113949439	1	0.264759880407362	0.182811512159338	-0.534327600395979	1.20339575703625	0	Not significant	ENSG00000003402:ENST00000309955.8
ENSG00000003402	ENST00000341222.10	2.12077470740542	1	0.145313024403972	1	0.169561493662213	0.140070014526536	-0.275660436185307	0.837695458150191	0	Not significant	ENSG00000003402:ENST00000341222.10
ENSG00000003402	ENST00000470178.6	0.00806777967409289	1	0.928429603234238	1	0.116111915662275	0.134116608029652	0.207971868847543	0.0322510203958839	0	Not significant	ENSG00000003402:ENST00000470178.6
ENSG00000003402	ENST00000490965.1	5.92424674534232	1	0.0149339210346555	1	0.449566710268149	0.543001865284474	0.272421943751658	1.82582614939882	0	Not significant	ENSG00000003402:ENST00000490965.1
ENSG00000003436	ENST00000233156.9	0.0427592549121982	1	0.836179246713789	1	0.501020153289608	0.492763556055558	-0.0239730755508928	0.0777006154863098	0	Not significant	ENSG00000003436:ENST00000233156.9
ENSG00000003436	ENST00000392365.5	0.760727934394254	1	0.38310081342313	1	0.388394481723774	0.343225530343192	-0.178365833563867	0.416686925895278	0	Not significant	ENSG00000003436:ENST00000392365.5
ENSG00000003436	ENST00000409676.5	2.10870642893951	1	0.146463079070125	1	0.110585364986618	0.16401091360125	0.568631347700311	0.834271839999055	0	Not significant	ENSG00000003436:ENST00000409676.5
ENSG00000004059	ENST00000000233.10	0.00258390870294534	1	0.959459262353414	1	0.5	0.498256122526348	-0.00504056200741407	0.0179734602309666	0	Not significant	ENSG00000004059:ENST00000000233.10
ENSG00000004059	ENST00000463733.5	0.00258390870203584	1	0.959459262360543	1	0.5	0.501743877473652	0.00502301233123986	0.0179734602277398	0	Not significant	ENSG00000004059:ENST00000463733.5
ENSG00000004399	ENST00000324093.9	0.327701896116196	1	0.567015438566283	1	0.228562296003018	0.249715343551387	0.127697035255791	0.246405116075586	0	Not significant	ENSG00000004399:ENST00000324093.9
ENSG00000004399	ENST00000501038.6	0.0566123879380029	1	0.811932611121596	1	0.201776390474731	0.20857412296845	0.0478028021089589	0.0904800148875637	0	Not significant	ENSG00000004399:ENST00000501038.6
ENSG00000004399	ENST00000504524.5	0.02071238708686	1	0.885565231693088	1	0.214576814903787	0.215304322247207	0.0048830811490017	0.0527794426942035	0	Not significant	ENSG00000004399:ENST00000504524.5
ENSG00000004399	ENST00000504689.1	0.137875932196039	1	0.710401820831227	1	0.128423565698356	0.121028805951961	-0.0855594981454796	0.148495934087646	0	Not significant	ENSG00000004399:ENST00000504689.1
ENSG00000004399	ENST00000512744.5	0.14497213757204	1	0.703387228778973	1	0.226660932920108	0.205377405280995	-0.14225827943009	0.152805521320714	0	Not significant	ENSG00000004399:ENST00000512744.5
ENSG00000004455	ENST00000354858.11	-9.12346949917264e-05	1	1	1	0.0432540202216734	0.0446632329117524	0.0462534537492398	0	0	Not significant	ENSG00000004455:ENST00000354858.11
ENSG00000004455	ENST00000373449.7	0.098377109363355	1	0.753785927059031	1	0.0328434164539455	0.0347593013892089	0.0817948787454999	0.122751974949109	0	Not significant	ENSG00000004455:ENST00000373449.7
ENSG00000004455	ENST00000469238.2	0.00882421147252899	1	0.925158984256561	1	0.122685011959501	0.125341131785486	0.0309009150482238	0.0337836293665038	0	Not significant	ENSG00000004455:ENST00000469238.2
ENSG00000004455	ENST00000480134.5	0.497960586701083	1	0.480397595911964	1	0.0490684269167768	0.039220837498512	-0.323174678516988	0.31839917463462	0	Not significant	ENSG00000004455:ENST00000480134.5
ENSG00000004455	ENST00000550338.6	-0.000119297896162607	1	1	1	0.0254400971726797	0.0262881531054396	0.047308606612299	0	0	Not significant	ENSG00000004455:ENST00000550338.6
ENSG00000004455	ENST00000672308.1	0.06366321893438	1	0.800797043885381	1	0.131782478429938	0.134069407716468	0.0248215122688267	0.0964775387088535	0	Not significant	ENSG00000004455:ENST00000672308.1
ENSG00000004455	ENST00000672715.1	0.037082587590703	1	0.847296997039467	1	0.160269355545023	0.165477358824511	0.0461352361090204	0.0719643328017799	0	Not significant	ENSG00000004455:ENST00000672715.1
ENSG00000004455	ENST00000695598.1	0.0214844543988875	1	0.883466885083292	1	0.0385967610954515	0.043751407890587	0.180849655963293	0.0538097244765427	0	Not significant	ENSG00000004455:ENST00000695598.1
ENSG00000004455	ENST00000695600.1	0.0472547478639171	1	0.827910991222062	1	0.055204080642792	0.0518861255602352	-0.0894261028403056	0.0820163517404591	0	Not significant	ENSG00000004455:ENST00000695600.1
ENSG00000004455	ENST00000695602.1	0.0213589526611031	1	0.883805325025099	1	0.128749902993617	0.128272085075513	-0.00536410398365174	0.0536433860934249	0	Not significant	ENSG00000004455:ENST00000695602.1
ENSG00000004455	ENST00000695603.1	0.128008699874044	1	0.720505687691864	1	0.108580630319761	0.113198156524564	0.0600836995473966	0.142362586503786	0	Not significant	ENSG00000004455:ENST00000695603.1
ENSG00000004455	ENST00000695604.1	0.394332519150339	1	0.530030791978728	1	0.103525818248841	0.0930728017177227	-0.153559063903353	0.275698899459594	0	Not significant	ENSG00000004455:ENST00000695604.1
ENSG00000004779	ENST00000007516.8	1.68057685274471	1	0.194847819991352	1	0.631096869694754	0.678001442812536	0.103426875981009	0.710304448844976	0	Not significant	ENSG00000004779:ENST00000007516.8
ENSG00000004779	ENST00000484769.1	0.693882249590388	1	0.404847014461992	1	0.260631361104077	0.230902058152929	-0.174729657471845	0.392709059073891	0	Not significant	ENSG00000004779:ENST00000484769.1
ENSG00000004779	ENST00000562133.5	0.824826066324022	1	0.36377290542946	1	0.108271769201169	0.0910964990345353	-0.24918960801412	0.439169651233724	0	Not significant	ENSG00000004779:ENST00000562133.5
ENSG00000005194	ENST00000394391.9	0.0332317191139282	1	0.855350679775323	1	0.538961038961039	0.512794612794613	-0.0717998798528592	0.0678557951347893	0	Not significant	ENSG00000005194:ENST00000394391.9
ENSG00000005194	ENST00000567518.5	0.0332317191139282	1	0.855350679775323	1	0.461038961038961	0.487205387205387	0.0796414120338157	0.0678557951347893	0	Not significant	ENSG00000005194:ENST00000567518.5
ENSG00000005893	ENST00000200639.9	0.00835282530783843	1	0.927179693974261	1	0.566067019400353	0.53696873175134	-0.0761347897612314	0.0328360883597069	0	Not significant	ENSG00000005893:ENST00000200639.9
ENSG00000005893	ENST00000371335.4	0.00835282530783843	1	0.927179693974261	1	0.433932980599647	0.46303126824866	0.0936373804093301	0.0328360883597069	0	Not significant	ENSG00000005893:ENST00000371335.4
ENSG00000006042	ENST00000394642.7	8.97339782568451e-06	1	0.997609890087482	1	0.445493133583021	0.445612165612166	0.00038542452688803	0.00103925400713202	0	Not significant	ENSG00000006042:ENST00000394642.7
ENSG00000006042	ENST00000579849.6	8.97339782568451e-06	1	0.997609890087482	1	0.554506866416979	0.554387834387834	-0.000309726286343619	0.00103925400713202	0	Not significant	ENSG00000006042:ENST00000579849.6
ENSG00000006327	ENST00000326577.9	0.0371208833103083	1	0.847219138426319	1	0.290795186970811	0.292354614107376	0.00771596991089771	0.0720042422076273	0	Not significant	ENSG00000006327:ENST00000326577.9
ENSG00000006327	ENST00000341627.5	0.122701840289665	1	0.726122401567999	1	0.233209085369144	0.246276143825436	0.078652890018843	0.138990164637524	0	Not significant	ENSG00000006327:ENST00000341627.5
ENSG00000006327	ENST00000571351.1	0.0288743643768612	1	0.865069446741295	1	0.243488498508103	0.241538240599629	-0.0116020101563231	0.0629490264937056	0	Not significant	ENSG00000006327:ENST00000571351.1
ENSG00000006327	ENST00000575124.1	0.154768879451694	1	0.694019077001269	1	0.232507229151942	0.219831001467558	-0.0808807180290143	0.158628591616452	0	Not significant	ENSG00000006327:ENST00000575124.1
ENSG00000006451	ENST00000005257.7	1.12163655813856	1	0.289566333396072	1	0.541899108022382	0.601263333119003	0.149972708832146	0.538251933048957	0	Not significant	ENSG00000006451:ENST00000005257.7
ENSG00000006451	ENST00000434466.1	0.548445112741319	1	0.458953717080032	1	0.187892638905041	0.159981474517557	-0.232003693152992	0.338231108428364	0	Not significant	ENSG00000006451:ENST00000434466.1
ENSG00000006451	ENST00000466491.1	1.79659058968718	1	0.180125223066693	1	0.0752799352818145	0.045090229729405	-0.739450527426255	0.744425468348259	0	Not significant	ENSG00000006451:ENST00000466491.1
ENSG00000006451	ENST00000468201.1	0.0160030786555581	1	0.899333556580813	1	0.194928317790763	0.193664962634035	-0.00938072134999012	0.0460792015759898	0	Not significant	ENSG00000006451:ENST00000468201.1
ENSG00000006625	ENST00000005374.10	0.494516414020836	1	0.481919523038873	1	0.179616878531073	0.137461472883468	-0.385895603097604	0.317025479641292	0	Not significant	ENSG00000006625:ENST00000005374.10
ENSG00000006625	ENST00000275428.9	0.231645885115086	1	0.630306105963717	1	0.378184832077841	0.424332743130697	0.166104504731102	0.200448485713502	0	Not significant	ENSG00000006625:ENST00000275428.9
ENSG00000006625	ENST00000409144.5	0.347653825057023	1	0.55544425692687	1	0.167001137790333	0.130465932192275	-0.356184798481126	0.255359519304209	0	Not significant	ENSG00000006625:ENST00000409144.5
ENSG00000006625	ENST00000440082.5	0.232335662167316	1	0.629797352433853	1	0.275197151600753	0.30773985179356	0.161245744698668	0.200799169399356	0	Not significant	ENSG00000006625:ENST00000440082.5
ENSG00000007080	ENST00000445755.7	0.0920716585440005	1	0.761559808282084	1	0.673846779109937	0.662451193587096	-0.0246064180311229	0.118295984137632	0	Not significant	ENSG00000007080:ENST00000445755.7
