Sample_ID,Group_ID
HUVEC_high1,Group1
HUVEC_high2,Group1
HUVEC_high3,Group1
HUVEC_high4,Group2
HUAEC_high1,Group2
HUAEC_high2,Group2
HUAEC_high3,Group2
HUAEC_high4,Group2
