"gene_id","a.value","m.value","p.value","q.value","rank","estimatedDEG"
"ENSG00000000003",4.52619226753277,-0.165275866750393,0.777819364051979,0.977674484704804,10412,0
"ENSG00000000419",6.13267556186966,0.538961121876286,0.203151885572276,0.723116257085763,3676,0
"ENSG00000000457",2.82027144648554,1.65194670693682,0.132357648054256,0.620778358623946,2790,0
"ENSG00000000460",3.61234794835255,-1.20868075464275,0.374963387759991,0.855008526538951,5736,0
"ENSG00000000971",5.07998151641542,-0.773434016833514,0.316310099417316,0.820817845825877,5043,0
"ENSG00000001036",4.06186910300087,-0.213765667000525,0.663136141835619,0.961270615802426,9028,0
"ENSG00000001084",1.51201081119277,-2.16990655797026,0.214422092763503,0.731965662516623,3834,0
"ENSG00000001167",2.18128450057596,0.309599045674196,0.813798774836841,0.982598530078081,10838,0
"ENSG00000001460",1.93446379002112,0.23113503574651,0.858214553586942,0.987466592500326,11369,0
"ENSG00000001461",1.87937279401637,0.0323474228503775,0.98034734019761,0.997030537610251,12869,0
"ENSG00000001497",4.77863128216996,0.101294113623396,0.88980447478465,0.991920303299967,11740,0
"ENSG00000001617",4.48860978744763,0.779270544613051,0.170984465174686,0.683102771735743,3276,0
"ENSG00000001629",2.27344634705363,-0.76794738308838,0.429459102304376,0.878275016520125,6398,0
"ENSG00000001630",6.08937852632421,-0.196908343126547,0.586991987875199,0.942181890766568,8154,0
"ENSG00000001631",3.70848878614547,-1.52070696354557,0.0955153064736585,0.552629829248803,2262,0
"ENSG00000002016",1.19282453358632,0.282750645393085,0.924303945032621,0.994781761699087,12144,0
"ENSG00000002330",4.81128324939412,0.388925950396614,0.469443007577861,0.895480890190933,6857,0
"ENSG00000002549",6.91222192529601,0.62484121189172,0.0627841029514954,0.463200867772927,1774,0
"ENSG00000002586",9.00287468912622,0.610922330956404,0.0799648429250033,0.510277847002654,2051,0
"ENSG00000002822",4.75627924902521,-0.419880318787918,0.397724496994558,0.866775678280082,6005,0
"ENSG00000002834",6.60254793967881,-0.169774566476729,0.528110107464551,0.919572121163082,7512,0
"ENSG00000002919",2.91918492714799,-1.16788844575952,0.266519202194088,0.783466256778238,4452,0
"ENSG00000003056",5.90185407337799,-0.437067205805877,0.167616620438546,0.678201444205279,3234,0
"ENSG00000003096",2.74045077400759,-1.85289616624541,0.309485239319369,0.820817845825877,4932,0
"ENSG00000003147",3.66308770256645,0.678210662050307,0.41829004283167,0.87501668000316,6241,0
"ENSG00000003249",4.82059692221183,-1.27394079760194,0.0273613299581882,0.302893879662817,1182,0
"ENSG00000003393",4.59009669827796,-0.143371371961758,0.869237253088965,0.989353610612086,11499,0
"ENSG00000003400",5.10352039197238,-0.601961775828845,0.259166893418674,0.778626788765878,4356,0
"ENSG00000003402",6.32693022448685,0.678345799457096,0.124280164711079,0.60528370201836,2686,0
"ENSG00000003436",7.02165545287921,-0.4655076080716,0.17880579311425,0.694756141629405,3367,0
"ENSG00000003509",3.30591421793415,0.208164480053387,0.844541185644385,0.986351923193338,11206,0
"ENSG00000003756",4.69527523402546,0.0217752689456789,0.962130892616099,0.99515065441303,12642,0
"ENSG00000003989",1.21447765043832,4.96991306887181,0.0032233664755122,0.116218789067503,363,0
"ENSG00000004059",6.40394813991694,-0.192638969887605,0.644173922348555,0.958062306329306,8800,0
"ENSG00000004139",1.145128582616,-1.02273688894845,0.680606363066236,0.964336439036684,9231,0
"ENSG00000004142",4.48640623719058,-0.18539060058301,0.669130717841719,0.962209382493369,9097,0
"ENSG00000004399",6.86557984001302,-0.568705332774122,0.0383795194992921,0.363204013887733,1383,0
"ENSG00000004455",7.85977942713082,1.16444175280905,0.00209298764174692,0.0966146530068258,283,0
"ENSG00000004478",5.05989626209558,-0.236161993245203,0.613045685431699,0.948786545864697,8455,0
"ENSG00000004487",6.69090105137476,-1.19159289983417,0.0388463193552473,0.365507280892507,1391,0
"ENSG00000004534",4.82977936898931,0.763420682005961,0.430061281415043,0.878633229206101,6405,0
"ENSG00000004660",0.797366280463166,0.135690328921499,0.967596216902349,0.995493310434721,12714,0
"ENSG00000004700",3.60497887688024,0.635992799016971,0.372638277835053,0.855008526538951,5703,0
"ENSG00000004766",4.02715387612632,-0.424519215312174,0.637019725443687,0.955745868792631,8723,0
"ENSG00000004776",0.956169295618466,-2.2054542162796,0.091776776257152,0.542614046813346,2212,0
"ENSG00000004779",8.46585181996769,1.12351477714098,0.0110542704063765,0.194460068654107,744,0
"ENSG00000004864",2.47009889990988,0.776325087001477,0.526371968445668,0.918799189519459,7498,0
"ENSG00000004866",3.52351817139888,-0.871251701436908,0.290444506152575,0.806051250323345,4716,0
"ENSG00000004897",4.80283409356396,-0.366367686337981,0.407355662379236,0.871440161690003,6118,0
"ENSG00000004961",5.15789173327419,-0.481042130104551,0.383142568650923,0.858391240265759,5841,0
"ENSG00000004975",2.55956460610028,0.125188598853718,0.862411999197267,0.988202437882493,11422,0
"ENSG00000005007",5.96152602699024,0.43310908746738,0.216473231540842,0.733665370156927,3860,0
"ENSG00000005020",2.17590651218138,-0.29266151986924,0.805889638810453,0.982536165318031,10728,0
"ENSG00000005022",6.72015849774769,0.767294738251444,0.0685476568469432,0.481562926898976,1863,0
"ENSG00000005059",4.18407208183899,-0.674077145317206,0.270146529229348,0.788855602492111,4480,0
"ENSG00000005073",2.33685899901716,0.416302241262921,0.777461227670046,0.977674484704804,10406,0
"ENSG00000005075",8.22878707236471,1.32672850438702,0.00362655644199982,0.121050432331936,392,0
"ENSG00000005100",1.39272462290387,0.8104832551704,0.509234489222367,0.910587127523452,7317,0
"ENSG00000005156",3.1446947093055,-0.72437241526751,0.535881340199524,0.924150721108151,7588,0
"ENSG00000005175",3.09571897443748,-0.453428525795205,0.69785670090184,0.96601728138217,9454,0
"ENSG00000005187",2.32480054544825,0.781017206578426,0.453764905347223,0.889559581289703,6675,0
"ENSG00000005194",5.00441710846059,-0.375096974501052,0.676290522939103,0.963261814568632,9186,0
"ENSG00000005206",2.06798421326682,-0.0579149490699251,0.918167904567059,0.994781761699087,12064,0
"ENSG00000005238",4.93372723455501,1.20600215723211,0.313363287065104,0.820817845825877,4988,0
