Gene name	fold change	p-value
SNU13	1.97139766344989	5.33269230522176E-17
DNAJC15	2.29236334224356	6.05927467659226E-17
DNAJC19	2.00416249353727	6.75842634384729E-17
RBM8A	1.95829220687295	6.97201570709376E-17
ETFB	2.02000957080631	8.31911907866617E-17
TXN	1.77365774363414	8.67506555553047E-17
RWDD3	3.0395675788896	9.11012996108268E-17
RPS9	1.59727252730266	1.00193867976502E-16
CUTA	1.91230329279957	1.09231691231294E-16
LETM2	2.90631032955312	1.25785834349363E-16
ELP5	2.27959408101926	1.50794692508494E-16
LAMTOR5	2.31222315958745	1.54320924567759E-16
RNY1	-1.8902835986161	1.57417518888663E-16
RPL17	2.02090653357785	1.57417518888663E-16
NUDT5	2.63780037323682	1.64535716524576E-16
TPT1	0.744533146629649	1.76235617107868E-16
RPS7	2.11931867378018	2.16143659481079E-16
Y_RNA	-1.82679140218056	2.28893021869399E-16
CHCHD1	1.81899198869343	2.46135692938112E-16
Y_RNA	-1.81003351840191	2.46135692938112E-16
SF3B6	2.65010865151523	2.74371984277013E-16
BCYRN1	1.10885053812588	2.74371984277013E-16
PPIA	2.14287281290945	2.77237778465365E-16
0	2.1134204454907	2.84024108201685E-16
SSBP1	2.06226488974872	2.86342296009471E-16
RPL13A	1.83490760175127	3.15096170714856E-16
EIF3K	1.59532590961765	3.28535264638888E-16
CUTA	1.83932212322495	3.78820490610265E-16
C14orf119	2.8375554780768	5.06589360455069E-16
RPL7A	1.17169100369586	5.6553026729655E-16
RPS10	1.81810680964315	5.67913556968726E-16
RPL7A	1.17129417026729	6.53706461923985E-16
MRPS16	1.68568160259004	1.06797116734837E-15
TXNDC17	1.87454287679675	1.15297758241869E-15
RPL23A	1.97813389258774	1.2571592505965E-15
MT1L	-4.12001001754743	1.29770457655054E-15
PSMB3	1.60239570358407	1.31237210938675E-15
GPX4	2.17142484408157	1.4936386690811E-15
SUMO2	1.73059507028674	1.49905101990297E-15
COX17	1.753033820269	1.6992909993468E-15
ATP5PD	1.78840064887199	1.70117732260718E-15
DPY30	1.87411146080947	1.70749757820233E-15
ZFAS1	1.89679342984386	1.70749757820233E-15
PSMB5	1.42530447623471	1.8133949958818E-15
ZNF706	1.36291556938336	1.92705789306212E-15
SRP14	1.48872329813135	2.05310708151558E-15
TOMM20	1.86394328911428	2.35445856300938E-15
RPS18	1.87459560854109	3.45163010956681E-15
SF3B5	1.68155194608496	3.64121397950324E-15
HOPX	3.34839313735725	3.71261787216017E-15
HSBP1	2.01474275328851	3.94479136609246E-15
TOMM7	1.48373737451663	4.03324905399399E-15
MICOS10	1.73649712242959	4.72262001901302E-15
RNF7	2.83357439258652	4.73487096982627E-15
COX4I1	2.1977597005369	4.79996041867415E-15
EIF3K	1.57332449806017	4.96996037974067E-15
MRPL21	2.15438056743221	5.02867298358269E-15
COX6A1	1.6926148470836	5.51274358812157E-15
GSTP1	1.4208844191557	5.74458950130241E-15
RPL29	1.99558150279059	5.93807408239408E-15
RNASEH2C	1.23282382414687	7.67910729675373E-15
RPS18	1.86266217353251	8.95953079951636E-15
