0	0
0.00171599999999998	0.000014
0.0035	0.000018
0.00528000000000001	0.000016
0.00687399999999999	1.19999999999999E-05
0.008438	0.000018
0.01003	0.000082
0.011656	0.00008
0.01331	0.000102
0.014998	0.000116
0.016748	0.000116
0.01853	0.000114
0.020186	0.00016
0.02181	0.00017
0.023404	0.000182
0.024968	0.000242
0.02675	0.000222
0.028562	0.000262
0.030342	0.000278
0.031938	0.000326
0.033404	0.000316
0.035	0.000304
0.036622	0.000268
0.038312	0.000326
0.040062	0.000358
0.041718	0.000376
0.0435	0.000364
0.045216	0.000452
0.046874	0.00045
0.04856	0.000494
0.050248	0.000538
0.052	0.000436
0.05375	0.000528
0.05509	0.00048
0.05656	0.000556
0.05831	0.000518
0.06003	0.000546
0.061686	0.000598
0.063216	0.000598
0.064874	0.000652
0.066436	0.000648
0.068216	0.000636
0.069966	0.000598
0.071718	0.000642
0.073498	0.000694
0.075312	0.000698
0.07703	0.000742
0.078656	0.000744
0.080218	0.000734
0.081746	0.000744
0.083436	0.000774
0.085248	0.00082
0.086968	0.00082
0.08856	0.00078
0.090062	0.000836
0.091624	0.000814
0.09325	0.00087
0.094904	0.001044
0.096592	0.000684
0.098186	0.000472
0.099936	0.001406
0.101624	0.000846
0.103342	0.00099
0.105092	0.00144
0.10678	0.000616
0.108438	0.001318
0.110218	0.000836
0.11172	0.001348
0.113216	0.001208
0.114968	0.001246
0.11678	0.001312
0.11847	0.001134
0.120062	0.001298
0.121652	0.001182
0.123342	0.001274
0.12503	0.001254
0.126748	0.001316
0.128434	0.001372
0.130218	0.001318
0.131998	0.001482
0.133622	0.001426
0.135248	0.00145
0.13675	0.00147
0.138374	0.001422
0.140092	0.001484
0.141872	0.001484
0.1435	0.00154
0.145092	0.001538
0.146592	0.001592
0.148216	0.00164
0.149874	0.001638
0.15156	0.001664
0.15328	0.00165
0.154936	0.001708
0.156686	0.001744
0.158468	0.001732
0.160154	0.001746
0.161906	0.001742
0.163562	0.001826
0.16547	0.00191
0.167186	0.001922
0.168498	0.001908
0.17	0.00191
0.171748	0.00191
0.173594	0.001948
0.17528	0.001954
0.176874	0.00202
0.178406	0.00201
0.18003	0.002014
0.181718	0.002042
0.183404	0.0021
0.185122	0.002156
0.186842	0.002162
0.18853	0.002218
0.190312	0.002228
0.191968	0.002232
0.193562	0.002294
0.195062	0.002328
0.196686	0.002336
0.1985	0.002322
0.20028	0.00233
0.201904	0.002378
0.203466	0.002404
0.205092	0.002434
0.206686	0.002564
0.208406	0.002938
0.210028	0.00186
0.211624	0.002934
0.21331	0.002734
0.215	0.002692
0.21675	0.003008
0.218374	0.002752
0.220094	0.0034
0.221872	0.002664
0.223622	0.003008
0.225028	0.003368
0.226498	0.002878
0.228248	0.002842
0.22997	0.003194
0.231622	0.00277
0.23325	0.003278
0.234844	0.002662
0.236496	0.003572
0.238216	0.003106
0.239874	0.002832
0.241592	0.003634
0.243406	0.003166
0.245186	0.00288
0.24706	0.003404
0.248778	0.002996
0.250374	0.002774
0.251748	0.003442
0.25331	0.003422
0.255154	0.002792
0.256968	0.00275
0.258594	0.003538
0.260154	0.002432
0.261686	0.003516
0.263312	0.003146
0.264936	0.003508
0.266562	0.00356
0.26822	0.003774
0.269906	0.003946
0.271688	0.003564
0.273342	0.00398
0.27506	0.003638
0.27675	0.00362
0.278528	0.003676
0.280374	0.00354
0.281812	0.003706
0.283282	0.003636
0.284968	0.003858
0.28678	0.00387
0.288594	0.00401
0.29028	0.004118
0.291778	0.004082
0.29331	0.004102
0.294968	0.004148
0.296656	0.004194
0.298466	0.004082
0.300214	0.00403
0.301906	0.003744
0.303592	0.004236
0.30528	0.004654
0.306936	0.004114
0.308404	0.004934
0.309968	0.00417
0.311654	0.00423
0.313404	0.004452
0.315122	0.004038
0.316716	0.004746
0.318342	0.004046
0.319936	0.00494
0.32159	0.004298
0.323248	0.004806
0.324908	0.00476
0.326592	0.00478
0.328404	0.005046
0.330154	0.004802
0.331936	0.005164
0.33381	0.004854
0.33553	0.005014
0.337186	0.005046
0.338654	0.004952
0.340028	0.005154
0.341748	0.005066
0.34353	0.00522
0.34525	0.005206
0.346844	0.005268
0.348404	0.005294
0.350062	0.005304
0.351684	0.005422
0.35334	0.005382
0.35506	0.005492
0.356812	0.005546
0.358624	0.005584
0.360312	0.005664
0.362032	0.005692
0.363592	0.005748
0.365124	0.005678
0.366778	0.005828
0.36853	0.005818
0.370342	0.005896
0.371938	0.005882
0.373532	0.005884
0.375154	0.006336
0.376716	0.006166
0.378342	0.00621
0.38006	0.006244
0.381654	0.006118
0.38331	0.006256
0.384998	0.006128
0.38675	0.006256
0.388438	0.00629
0.39025	0.006354
0.391998	0.006426
0.393654	0.006394
0.395186	0.006504
0.396592	0.006476
0.398156	0.006582
0.399936	0.00665
0.401716	0.00667
0.403374	0.006756
0.404938	0.006724
0.40656	0.006796
0.40828	0.006858
0.409968	0.006938
0.411718	0.006982
0.413436	0.007072
0.415218	0.007126
0.416904	0.007152
0.418624	0.007216
0.420218	0.007182
0.421716	0.007194
0.423374	0.007256
0.425122	0.007286
0.42681	0.007374
0.428498	0.0074
0.430062	0.00746
0.431716	0.007516
0.43331	0.007562
0.434936	0.00764
0.436562	0.007678
0.438216	0.007704
0.439876	0.00775
0.441624	0.007858
0.443434	0.007914
0.445186	0.007984
0.446874	0.008064
0.448592	0.00809
0.45034	0.008098
0.451998	0.008002
0.453376	0.008156
0.455	0.008166
0.456716	0.008306
0.45853	0.00841
0.460248	0.008196
0.461842	0.008512
0.463406	0.008254
0.46503	0.008898
0.466686	0.008406
0.468374	0.00883
0.47006	0.008632
0.471748	0.009198
0.473436	0.009074
0.475092	0.009096
0.476718	0.008956
0.478188	0.009092
0.479876	0.009064
0.481652	0.00911
0.483468	0.009208
0.485124	0.009426
0.486716	0.009402
0.488312	0.009754
