"gene_id","a.value","m.value","p.value","q.value","rank","estimatedDEG"
"ENSG00000000003",4.62661812465247,0.221478327502232,0.657207299476614,0.884959622320956,9915,0
"ENSG00000000419",6.87533351138193,0.834296309721072,0.0730311681905901,0.345037345668631,2825,0
"ENSG00000000457",3.66147450910059,-0.129772200144627,0.933567506137997,0.983091139433678,12676,0
"ENSG00000000460",3.07581568143681,0.061965214375693,0.870310106509434,0.965877824772024,12030,0
"ENSG00000000971",4.43176517793758,-0.691366572558734,0.459533290003146,0.786616592010807,7797,0
"ENSG00000001036",4.1152742356067,0.159658814551537,0.780437277314369,0.934494895912479,11150,0
"ENSG00000001084",1.08215616249484,1.11091946275727,0.489601492032252,0.803658871922204,8131,0
"ENSG00000001167",1.92211977004975,-1.02662243862873,0.467695180919445,0.792100486230658,7880,0
"ENSG00000001460",2.01659142497596,-0.250163910690952,0.902295613958484,0.974446637507785,12360,0
"ENSG00000001461",1.86114946328278,-0.142288505339522,0.82425754965306,0.948651680813852,11598,0
"ENSG00000001497",4.86779190618636,-0.141817364579063,0.901880890559302,0.974446637507785,12353,0
"ENSG00000001617",4.24938717351986,-1.43043573085574,0.00813078935064138,0.103780275927737,1046,0
"ENSG00000001629",1.73939041845596,-0.496582266842088,0.754442368854743,0.92510654542429,10888,0
"ENSG00000001630",5.78926404113794,-0.584788159830799,0.150208932435889,0.490081617274624,4090,0
"ENSG00000001631",2.57847593260547,-0.85960047827401,0.536816814275737,0.830314529530394,8631,0
"ENSG00000002016",-0.348285042930391,-3.22111166730888,0.402444411625784,0.748437852015021,7178.5,0
"ENSG00000002330",5.03450930340341,-0.0381658745942159,0.949587483317546,0.987889338438316,12830,0
"ENSG00000002549",7.69461468402534,0.756806993229188,0.00285494751240395,0.0542196361850713,703,0
"ENSG00000002586",9.64553330408429,0.574286298750263,0.0232044647628539,0.188447327774887,1643,0
"ENSG00000002822",4.21359639126011,-0.834785372727458,0.214366767566197,0.576437203177502,4965,0
"ENSG00000002834",6.49499012184694,-0.228358125844434,0.530683075299718,0.826078663412716,8576,0
"ENSG00000002919",2.7024071217513,0.597570339821985,0.509590287933221,0.815247123378382,8344,0
"ENSG00000003056",5.32781997173437,-0.885990225861938,0.0975642163695986,0.402566104057926,3235,0
"ENSG00000003096",1.77840146484535,-0.304559681418047,0.911378258229029,0.976760163964941,12456,0
"ENSG00000003147",3.06858939195714,-1.99639280520358,0.0643379647672275,0.324170622282741,2649,0
