Ensayo de Compresion - Specimen_RawData_1
C10: 3.7811, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
0.99980599 0.00055688
0.99965373 0.00169776
0.99953831 0.00063887
0.99942289 0.00363201
0.99934676 0.00041062
0.99930747 0.00298375
0.99923134 0.00023722
0.99919450 0.00119519
0.99911591 0.00089404
0.99903978 0.00073890
0.99892436 0.00223467
0.99880894 0.00160513
0.99869352 0.00136785
0.99857809 0.00227037
0.99846513 0.00270772
0.99838654 0.00276221
0.99827358 0.00537795
0.99815815 0.00330842
0.99807957 0.00494857
0.99796415 0.00603237
0.99788802 0.00404557
0.99777259 0.00684205
0.99769646 0.00590321
0.99758104 0.00663124
0.99746562 0.00786913
0.99738949 0.00866995
0.99727407 0.00916978
0.99719794 0.00852260
0.99708251 0.00597241
0.99696709 0.00872090
0.99689096 0.00993087
0.99677554 0.00962027
0.99666012 0.01252220
0.99658399 0.00980042
0.99650786 0.01124642
0.99642927 0.00969881
0.99635314 0.01115369
0.99627701 0.01271751
0.99616159 0.01375297
0.99604617 0.01195970
0.99593075 0.01624148
0.99581532 0.01459381
0.99570236 0.01440123
0.99558694 0.01293597
0.99547151 0.01482510
0.99535609 0.01436896
0.99527996 0.01801208
0.99516454 0.01771921
0.99504912 0.02029750
0.99493369 0.01987726
0.99481827 0.01626875
0.99470285 0.01719329
0.99462672 0.01754617
0.99451130 0.01844313
0.99439587 0.02111952
0.99431974 0.01815813
0.99420432 0.02071602
0.99412819 0.02251174
0.99405206 0.02271878
0.99397593 0.02194558
0.99386051 0.02360374
0.99378193 0.02165093
0.99370580 0.02330064
0.99359037 0.02460436
0.99347495 0.02586242
0.99339882 0.02664051
0.99328340 0.02782553
0.99316798 0.02803995
0.99305255 0.02699392
0.99293959 0.02474237
0.99282417 0.02612650
0.99270874 0.02936850
0.99259332 0.03103274
0.99251719 0.03107567
0.99240177 0.02983062
0.99232564 0.03049884
0.99221022 0.03143751
0.99209479 0.03340866
0.99201866 0.03079738
0.99190324 0.02888277
0.99178782 0.03455748
0.99167240 0.03323145
0.99155697 0.03168843
0.99148084 0.03599529
0.99136542 0.03810929
0.99125000 0.03351598
0.99113458 0.03311388
0.99101916 0.03520937
0.99090373 0.03638149
0.99082760 0.03780815
0.99071218 0.04019192
0.99063605 0.03747521
0.99055992 0.03898280
0.99044450 0.03953896
0.99036837 0.03569266
0.99025295 0.03899784
0.99017682 0.04160776
0.99009823 0.03969691
0.98998281 0.04088549
0.98990668 0.04240990
0.98979126 0.04372446
0.98967583 0.04346633
0.98959971 0.04331841
0.98952358 0.04321569
0.98940815 0.04460192
0.98929273 0.04490385
0.98921660 0.04448490
0.98910118 0.04531963
0.98898576 0.04828533
0.98887033 0.04799076
0.98875491 0.04740735
0.98864194 0.04599368
0.98856336 0.04728082
0.98844794 0.04994683
0.98837181 0.04996103
0.98825639 0.05015372
0.98818026 0.05096193
0.98806483 0.04907941
0.98794941 0.05087785
0.98783399 0.05225195
0.98772102 0.05294944
0.98764244 0.05369373
0.98752947 0.05390399
0.98741405 0.05181500
0.98733546 0.05299188
0.98722004 0.05502290
0.98710707 0.05470114
0.98702849 0.05537272
0.98691552 0.05443820
0.98680010 0.05670246
0.98672151 0.05664388
0.98660855 0.05763736
0.98649312 0.05970236
0.98637770 0.05871367
