--- DATOS FILTRADOS Y DESPLAZADOS ---
Origen: Specimen_RawData_1_procesado.txt
Eje X: Lambda (Stretch) | Eje Y: Stress (kPa)

Lambda Stress
1.00000000 0.00000000
0.99988458 0.00490956
0.99980845 0.00851939
0.99969302 0.01250124
0.99961689 0.01521261
0.99954076 0.01488073
0.99946218 0.01551271
0.99938605 0.01753815
0.99927063 0.02166416
0.99919450 0.02540303
0.99907907 0.02911033
0.99896365 0.03623065
0.99884823 0.04065437
0.99873281 0.04506252
0.99861984 0.05069942
0.99850442 0.05770595
0.99838900 0.05878202
0.99831287 0.06445053
0.99819744 0.07014808
0.99808202 0.07182040
0.99800589 0.07618874
0.99789047 0.07873300
0.99781434 0.07883089
0.99769892 0.08427548
0.99758350 0.08813393
0.99750491 0.09195178
0.99739194 0.09383313
0.99727652 0.09800497
0.99719794 0.10167926
0.99708497 0.10564104
0.99696955 0.11138513
0.99689342 0.11474330
0.99677799 0.11719933
0.99666257 0.12227084
0.99654715 0.12611005
0.99647102 0.12983021
0.99631630 0.13516246
0.99620088 0.14145773
0.99608546 0.14713952
0.99597249 0.15105237
0.99585707 0.15545202
0.99577849 0.15928104
0.99566306 0.16183778
0.99558693 0.16497344
0.99547151 0.16989498
0.99539538 0.17018512
0.99527996 0.17141856
0.99520383 0.17787883
0.99508841 0.18076701
0.99497298 0.18639113
0.99485756 0.19117841
0.99474214 0.19750053
0.99462917 0.19978405
0.99455059 0.20381175
0.99443762 0.20812026
0.99432220 0.20874918
0.99424361 0.21158918
0.99416748 0.21577148
0.99405206 0.21817206
0.99393664 0.22115345
0.99386051 0.22420462
0.99374509 0.22762552
0.99366896 0.23402395
0.99355353 0.23720410
0.99343811 0.23960571
0.99336198 0.24311483
0.99324656 0.24622190
0.99313114 0.25219130
0.99301572 0.25721374
0.99293959 0.25905298
0.99282416 0.26377195
0.99274803 0.26780013
0.99263261 0.27271225
0.99255648 0.27344335
0.99248035 0.27465690
0.99236493 0.27809716
0.99228634 0.27991398
0.99217338 0.28438439
0.99209479 0.28900355
0.99197937 0.29406118
0.99186640 0.29879988
0.99175098 0.30341394
0.99167485 0.30847274
0.99155943 0.31084818
0.99144401 0.31540925
0.99136542 0.32054400
0.99125245 0.32391232
0.99113703 0.32622767
0.99105845 0.33016503
0.99094548 0.33635747
0.99083006 0.34198510
0.99075393 0.34382962
0.99063850 0.34745167
0.99052308 0.35397499
0.99040766 0.35656860
0.99033153 0.36235139
0.99021611 0.36630282
0.99010069 0.37209386
0.98998526 0.37647459
0.98986984 0.37975236
0.98975442 0.38725292
0.98967829 0.39005112
0.98956287 0.39534594
0.98944744 0.40040210
0.98933202 0.40559589
0.98921660 0.40958296
0.98910363 0.41379621
0.98902505 0.41803942
0.98891208 0.42199945
0.98883350 0.42585070
0.98871807 0.42735336
0.98860265 0.43106161
0.98852652 0.43400323
0.98841110 0.43988014
0.98829568 0.44193578
0.98821955 0.44760860
0.98810412 0.45268080
0.98799116 0.45570471
0.98787573 0.45911901
0.98779715 0.46401692
0.98768173 0.47024406
0.98756876 0.47208850
0.98749017 0.47632260
0.98737475 0.47805621
0.98729862 0.48104974
0.98718320 0.48501876
0.98710707 0.49082379
0.98699165 0.49420666
0.98691552 0.49554397
0.98680010 0.50193834
0.98668467 0.50430416
0.98656925 0.50832800
0.98649312 0.51416706
0.98637770 0.51557198
0.98626228 0.52061890
0.98618615 0.52557993
0.98607072 0.52781447
0.98595530 0.53192075
0.98587917 0.53457598
0.98576375 0.53680780
0.98572691 0.53858115
0.98564833 0.53930220
0.98557220 0.53911320
0.98549607 0.54154420
0.98538065 0.54375246
0.98530452 0.54774827
0.98518909 0.55411877
0.98507367 0.55703036
0.98495825 0.56172098
0.98488212 0.56708363
0.98476670 0.56980464
0.98465128 0.57604183
0.98453585 0.57961178
0.98442043 0.58461320
0.98434430 0.58677873
0.98422888 0.59251792
0.98411346 0.59597203
0.98403733 0.59909682
0.98392190 0.60284619
0.98380648 0.60646975
0.98373035 0.60908019
0.98361493 0.61461680
0.98349951 0.61682636
0.98338408 0.62128838
0.98330795 0.62692952
0.98319253 0.63135403
0.98307711 0.63432607
0.98300098 0.63856778
0.98288556 0.64155840
0.98277259 0.64418059
0.98265717 0.64929595
0.98257858 0.65379700
0.98246562 0.65663675
0.98235019 0.66333524
0.98223477 0.66650484
0.98211935 0.67074975
0.98204322 0.67573351
0.98192780 0.67938925
0.98181238 0.68202974
0.98169695 0.68800030
0.98158153 0.69139681
0.98150540 0.69476788
0.98138998 0.70083699
0.98127456 0.70303033
0.98115913 0.70827585
0.98104371 0.71362293
0.98092829 0.71836880
0.98081532 0.72067352
0.98069990 0.72635321
0.98062131 0.72984081
0.98050835 0.73305131
0.98042976 0.73600696
0.98031434 0.74011812
0.98023821 0.74119893
0.98012279 0.74537677
0.98004666 0.74775029
0.97993124 0.74941438
0.97981581 0.75560444
0.97973968 0.75961966
0.97962426 0.75923809
0.97954813 0.76307979
0.97943271 0.76830824
0.97931729 0.77184367
0.97924116 0.77753136
0.97912573 0.78065866
0.97901031 0.78228670
0.97889489 0.78676552
0.97881876 0.79130071
0.97874263 0.79209096
0.97862721 0.79219783
0.97855108 0.79813849
0.97847249 0.79958049
0.97835953 0.80220498
0.97824410 0.80579022
0.97816552 0.80993504
0.97805255 0.81574786
0.97793713 0.81825854
0.97785854 0.81804980
0.97774558 0.82451714
0.97766699 0.82704465
0.97755403 0.83270620
0.97743860 0.83528036
0.97732318 0.83776440
0.97724460 0.84249625
0.97713163 0.84703426
0.97701621 0.84893924
0.97693762 0.85267393
0.97682465 0.85646802
0.97674607 0.85964578
0.97663065 0.86226650
0.97651768 0.86555024
0.97643909 0.87108132
0.97632613 0.87473921
0.97621071 0.88050483
0.97609528 0.88351660
0.97597986 0.88715010
0.97590373 0.89268778
0.97578831 0.89577120
0.97567289 0.89936660
0.97555746 0.90427407
0.97544204 0.90947394
0.97532662 0.91184090
0.97521120 0.91629233
0.97509577 0.92062598
0.97501964 0.92382863
0.97490422 0.92890465
0.97479126 0.93331599
0.97471267 0.93566166
0.97459725 0.93817816
0.97452112 0.94026287
0.97440570 0.94185563
0.97432957 0.94592655
0.97421414 0.94983933
0.97409872 0.95138847
0.97398330 0.95966755
0.97390717 0.96094226
0.97379175 0.96572331
0.97367632 0.96772557
0.97360019 0.97376763
0.97348477 0.97477185
0.97340864 0.98074322
0.97329322 0.98266645
0.97317780 0.98613676
0.97310167 0.99147690
0.97298625 0.99455605
0.97287082 0.99834292
0.97275540 1.00216930
0.97267927 1.00764058
0.97256385 1.01211147
0.97244843 1.01286132
0.97237230 1.01903049
0.97225687 1.01898875
0.97218074 1.02232264
0.97206532 1.02728443
0.97198919 1.03259752
0.97187377 1.03388717
0.97175835 1.03678241
0.97168222 1.04154757
0.97156680 1.04552920
0.97149067 1.04691752
0.97141208 1.04701253
0.97133595 1.04893759
0.97125982 1.05320863
0.97114440 1.05732825
0.97102898 1.06299660
0.97091355 1.06550186
0.97079813 1.07130952
0.97068517 1.07734680
0.97056974 1.08200207
0.97049116 1.08676662
0.97037819 1.08973476
0.97026277 1.09502412
0.97018664 1.09687204
0.97007122 1.10208388
0.96995579 1.10431336
0.96987966 1.10826370
0.96976424 1.11288055
0.96964882 1.11802511
0.96953340 1.12134255
0.96941797 1.12719615
0.96934184 1.13212431
0.96922642 1.13296872
0.96911100 1.13903455
0.96903487 1.14168745
0.96891945 1.14486855
0.96884332 1.14865885
0.96872790 1.15126832
0.96861247 1.15660118
0.96849705 1.16208802
0.96838163 1.16785072
0.96826621 1.17155212
0.96815078 1.17816452
0.96803536 1.18384690
0.96792239 1.18642729
0.96784381 1.19081531
0.96772839 1.19383933
0.96765226 1.19704177
0.96753683 1.19931928
0.96746071 1.20268927
0.96734528 1.20662253
0.96722986 1.20894438
0.96715373 1.21557177
0.96703831 1.21787775
0.96692289 1.22470638
0.96680746 1.22890954
0.96669450 1.23555261
0.96657907 1.23829250
0.96646365 1.24232876
0.96638752 1.24439082
0.96627210 1.24703979
0.96619351 1.25107853
0.96608055 1.25043751
0.96600196 1.25611565
0.96588900 1.25795851
0.96581041 1.25992753
0.96569499 1.26509561
0.96561886 1.26777997
0.96550344 1.27009040
0.96538801 1.27331083
0.96531188 1.27954177
0.96519646 1.28053336
0.96512033 1.28293714
0.96500491 1.28743457
0.96492878 1.29177890
0.96485265 1.29226535
0.96473723 1.29407596
0.96466110 1.29555275
0.96458251 1.29832850
0.96446709 1.30211834
0.96439096 1.30792633
0.96427554 1.31003567
0.96416012 1.31562015
0.96404469 1.32023950
0.96393173 1.32625284
0.96381630 1.33002699
0.96370088 1.33748229
0.96358546 1.33970487
0.96350933 1.34474038
0.96339391 1.34743867
0.96327849 1.35105096
0.96320236 1.35506691
0.96308693 1.35832018
0.96301080 1.36339007
0.96289538 1.36616335
0.96277996 1.36891536
0.96270383 1.37416318
0.96258841 1.37599864
0.96250982 1.37847973
0.96239685 1.38350771
0.96228143 1.38592492
0.96216601 1.39101502
0.96208988 1.39447522
0.96197446 1.40079140
0.96185904 1.40624579
0.96174361 1.40992564
0.96162819 1.41522202
0.96151277 1.42077829
0.96139735 1.42655406
0.96128192 1.42997922
0.96116896 1.43222436
0.96109037 1.43739627
0.96097740 1.43900883
0.96089882 1.44290413
0.96078340 1.44361432
0.96070727 1.44764411
0.96059184 1.45501667
0.96047642 1.45744668
0.96036100 1.46342095
0.96024803 1.46814903
0.96013261 1.47058185
0.96005648 1.47390102
0.95994106 1.47837479
0.95982564 1.48344295
0.95974705 1.48555803
0.95967092 1.48876626
0.95955550 1.49016182
0.95947937 1.49303380
0.95936395 1.49808214
0.95928782 1.50097906
0.95917239 1.50621179
0.95905697 1.51005114
0.95894155 1.51269844
0.95882613 1.51743126
0.95875000 1.52470336
0.95863458 1.52765417
0.95852161 1.53120132
0.95844302 1.53598612
0.95832760 1.53734269
0.95825147 1.54136607
0.95817534 1.54238836
0.95805992 1.54543979
0.95798379 1.54842508
0.95786837 1.54940387
0.95779224 1.55594058
0.95767682 1.55807270
0.95759823 1.56053114
0.95752210 1.56387285
0.95744597 1.56457039
0.95733055 1.56209428
0.95725442 1.56731615
0.95713900 1.57288007
0.95702357 1.57535317
0.95690815 1.58254780
0.95679273 1.58656537
0.95667731 1.59355543
0.95656434 1.59834575
0.95648575 1.60362111
0.95637033 1.60823204
0.95625737 1.61188451
0.95614194 1.61296067
0.95606336 1.61846400
0.95595039 1.62204611
0.95587181 1.62520214
0.95575884 1.62833566
0.95564342 1.63183122
0.95552799 1.63754243
0.95544941 1.64062779
0.95533644 1.64335689
0.95525786 1.64500301
0.95514243 1.64905808
0.95502947 1.65139155
0.95495088 1.65640179
0.95483792 1.66243127
0.95472249 1.66465152
0.95460707 1.66893208
0.95452849 1.67463501
0.95441552 1.67515980
0.95430010 1.68035346
0.95422151 1.68296868
0.95410854 1.68516579
0.95399312 1.69076028
0.95391454 1.69536571
0.95380157 1.69557339
0.95372298 1.69806491
0.95360756 1.70119008
0.95349460 1.70524680
0.95341601 1.70944185
0.95330304 1.71451133
0.95318762 1.71844081
0.95307220 1.72447879
0.95295678 1.72924085
0.95284135 1.73427310
0.95272593 1.74035137
0.95261051 1.74653355
0.95249509 1.75055215
0.95237966 1.75229550
0.95226670 1.75652043
0.95218811 1.75837490
0.95211198 1.76065653
0.95199656 1.76121057
0.95192043 1.76571692
0.95184430 1.76637366
0.95172888 1.76972753
0.95165275 1.77443623
0.95153733 1.77723133
0.95145874 1.77776313
0.95134577 1.77963347
0.95126719 1.78508232
0.95115422 1.78672561
0.95107564 1.79102061
0.95096021 1.79404114
0.95088408 1.79839719
0.95076866 1.80232808
0.95065324 1.80421400
0.95054027 1.81007012
0.95046169 1.81508529
0.95034627 1.81846824
0.95023084 1.82240504
0.95011788 1.82565696
0.95003929 1.82857888
0.94992387 1.83193035
0.94981090 1.83479561
0.94973232 1.84100400
0.94961935 1.84265819
0.94950393 1.84798533
0.94942534 1.85264433
0.94931238 1.85500163
0.94919695 1.85831750
0.94911837 1.86070943
0.94900295 1.86439255
0.94888998 1.87045985
0.94881139 1.87245979
0.94869597 1.87617835
0.94858300 1.88052605
0.94850442 1.88585990
0.94839145 1.88940023
0.94827603 1.89360074
0.94816061 1.89695608
0.94804518 1.90154230
0.94796906 1.90644505
0.94785363 1.90985550
0.94773821 1.91441725
0.94762279 1.91925386
0.94747053 1.92493241
0.94735511 1.92992293
0.94723968 1.93391771
0.94716110 1.93968128
0.94704813 1.94141378
0.94693271 1.94525958
0.94685658 1.94810258
0.94677799 1.95097988
0.94666257 1.95139561
0.94658644 1.95622244
0.94647102 1.95689321
0.94635560 1.96229013
0.94627947 1.96499671
0.94616405 1.96616456
0.94604862 1.97277265
0.94593320 1.97519323
0.94585707 1.97974220
0.94574165 1.98205548
0.94562868 1.98454311
0.94555010 1.98792836
0.94543467 1.99120376
0.94531925 1.99290236
0.94524312 1.99808133
0.94512770 2.00217988
0.94505157 2.00473795
0.94493615 2.00710837
0.94482072 2.01061262
0.94474460 2.01237456
0.94462917 2.01531914
0.94455304 2.01973559
0.94443762 2.02041580
0.94436149 2.02235874
0.94428536 2.02546794
0.94416994 2.02780449
0.94409381 2.03013870
0.94401522 2.03135353
0.94389980 2.03480137
0.94378438 2.03862776
0.94367141 2.04254923
0.94359283 2.04611883
0.94351670 2.05007878
0.94344057 2.05147777
0.94332515 2.05535686
0.94320972 2.05797775
0.94309430 2.06553835
0.94297888 2.07144084
0.94286346 2.07601312
0.94275049 2.07902542
0.94267190 2.08193093
0.94255648 2.08827096
