sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	group_id	group
HUAEC_high1	-3.76109421438767	1.44125388691301	-5.68456250566213	6.54746594640649	-0.457346434394758	-0.60456133409068	1.27680901505196	6.48732369906702e-15	Group4	Group4
HUAEC_high2	62.3364734727314	1.78215174136447	0.935847177695173	-0.538854125766992	0.955210756896439	0.233833040554908	0.300909027331503	-6.47398801234544e-14	Group4	Group4
HUAEC_high3	-4.97726701006461	-1.71650190085925	-6.23048334067613	-6.22124702491831	-0.791281468802823	-0.567138322901005	-0.017288584125822	1.25351118374084e-14	Group4	Group4
HUAEC_high4	0.0827465206729738	-9.78399575380268	2.60910659383409	1.50210817256923	-0.02589890022097	-0.753277475982693	0.464056356728834	4.861562541425e-15	Group4	Group4
HUAEC_low1	-5.86379815456646	2.15283442505532	2.86690715367746	-0.037590188220487	-6.0830086597212	1.63608673039272	-0.956635548289625	6.37901190203571e-15	Group3	Group3
HUAEC_low2	-17.6055282334425	0.829864499885626	0.862866975853678	-0.374662745431495	3.09434990741411	5.67820256759905	0.75193915050764	5.09228076372992e-15	Group3	Group3
HUAEC_low3	-18.6466396427543	3.5221792538058	3.56935779399745	-1.43542096498335	1.14892071370156	-3.51887184216072	3.88276496662088	2.73947531326257e-14	Group3	Group3
HUAEC_low4	-11.5648927381888	1.77221384763769	1.07096015128041	0.558200930344914	2.15905408512765	-2.10427336341157	-5.70255438382536	1.57430492253585e-14	Group3	Group3
