Sample_ID,Group_ID
HUAEC_low1,Group3
HUAEC_low2,Group3
HUAEC_low3,Group3
HUAEC_low4,Group3
HUAEC_high1,Group4
HUAEC_high2,Group4
HUAEC_high3,Group4
HUAEC_high4,Group4
