gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000170315	ENST00000302182.8	16.01314773	1	6.29E-05	0.015465096	0.461838628	0.533602636	0.208376948
ENSG00000106211	ENST00000675134.1	15.90083273	1	6.67E-05	0.015546742	0.019622398	0.012638031	-0.634729573
ENSG00000169908	ENST00000305366.8	15.940749	1	6.54E-05	0.015546742	0.655162977	0.727211383	0.15052095
ENSG00000177600	ENST00000525722.1	15.90861016	1	6.65E-05	0.015546742	0.011562681	0.008251525	-0.486743373
ENSG00000105974	ENST00000451122.5	15.76112828	1	7.19E-05	0.016170609	0.136687467	0.164828628	0.270085873
ENSG00000198830	ENST00000466194.1	15.79044578	1	7.08E-05	0.016170609	0.029152549	0.020426825	-0.513157027
ENSG00000283391	ENST00000637516.1	15.7245601	1	7.33E-05	0.016211469	0.025486132	0.015442971	-0.722762071
ENSG00000168028	ENST00000495394.2	15.62313512	1	7.73E-05	0.016824173	0.010301708	0.005321412	-0.953002487
ENSG00000100097	ENST00000472321.1	15.51423834	1	8.19E-05	0.017255877	0.025794155	0.021237114	-0.280456459
ENSG00000196262	ENST00000677521.1	15.53984579	1	8.08E-05	0.017255877	0.005787136	0.004291678	-0.431307693
ENSG00000166741	ENST00000545255.1	15.45060988	1	8.47E-05	0.017297527	0.044820193	0.024960558	-0.844498669
ENSG00000182899	ENST00000442341.5	15.46773906	1	8.39E-05	0.017297527	0.007646212	0.005341169	-0.517589731
ENSG00000084207	ENST00000398603.6	15.3331412	1	9.01E-05	0.017804202	0.040787657	0.028763365	-0.503900166
ENSG00000087302	ENST00000261700.8	15.33127106	1	9.02E-05	0.017804202	0.611115694	0.700636472	0.19722056
ENSG00000133112	ENST00000379060.8	15.3108018	1	9.12E-05	0.017804202	0.215558065	0.233198606	0.113482626
ENSG00000156482	ENST00000520998.1	15.25724786	1	9.38E-05	0.018050752	0.035934286	0.027672416	-0.376912396
ENSG00000182899	ENST00000329092.12	15.22372699	1	9.55E-05	0.018111503	0.008088129	0.005733562	-0.496374373
ENSG00000117592	ENST00000340385.6	15.1506562	1	9.93E-05	0.018303143	0.789613294	0.853649505	0.112497564
ENSG00000117592	ENST00000470017.1	15.1506562	1	9.93E-05	0.018303143	0.210386706	0.146350495	-0.523615921
ENSG00000293320	ENST00000418824.3	15.02217471	1	0.000106255	0.019062775	0.053602203	0.040471307	-0.40539287
ENSG00000293320	ENST00000690968.2	15.02217471	1	0.000106255	0.019062775	0.946397797	0.959528693	0.019879234
ENSG00000105974	ENST00000614113.5	14.93279866	1	0.000111409	0.019298449	0.137380015	0.16504089	0.26465136
ENSG00000133112	ENST00000379056.5	14.87562836	1	0.000114837	0.019298449	0.057366474	0.047502521	-0.272203743
ENSG00000156482	ENST00000518164.5	14.89393383	1	0.000113728	0.019298449	0.03586899	0.027706045	-0.372536329
ENSG00000178980	ENST00000593892.5	14.97301757	1	0.00010906	0.019298449	0.033650715	0.020137249	-0.740770535
ENSG00000232112	ENST00000479126.1	14.92364925	1	0.000111951	0.019298449	0.001769508	0.000834242	-1.084809337
ENSG00000130066	ENST00000379270.5	14.75697351	1	0.000122294	0.020294753	0.336071785	0.413623226	0.299547772
ENSG00000034713	ENST00000037243.7	14.67818358	1	0.000127514	0.020899652	0.775993564	0.829593663	0.096360187
