"","HUVEC02","HUVEC03","HUVEC04","HUVEC09","HUVEC10","HUVEC11","HUVEC12","HUAEC13","HUAEC14","HUAEC15","HUAEC16","HUAEC17","HUAEC18","HUAEC19","HUAEC20"
"ENSG00000000003",24.2950522719256,14.7128003018044,39.2149681629423,20.7774794152965,24.980694333419,27.9796829824104,22.0857176201394,20.8606903552163,15.342150908356,17.9822425049633,23.4353186308278,30.8587267164117,40.9277513545507,33.6061967964814,20.5363624800727
"ENSG00000000419",47.5778106991877,77.5765834095143,61.6235213989094,111.367289665989,66.948260813563,139.050545730767,55.8638739803526,87.4162262504303,101.641749767858,71.3295619363544,76.7708713768496,111.489593298004,363.233793271638,107.353128655427,161.874857195867
"ENSG00000000457",7.08605691264497,0,5.60213830899176,27.4262728281913,11.9907332800411,13.5659069005626,2.5983197200164,11.920394488695,9.58884431772249,14.3857940039706,9.69737322654943,23.8906271352865,5.11596891931884,16.8030983982407,10.872191901215
"ENSG00000000460",4.04917537865427,0,56.0213830899176,3.32439670644743,1.99845554667352,16.9573836257033,12.991598600082,19.8673241478251,9.58884431772249,1.19881616699755,12.9298309687326,2.98632839191081,0,28.9386694636368,8.45614925650053
"ENSG00000000971",41.5040476312063,20.0629095024606,80.2973157622153,43.2171571838166,41.967566480144,25.4360754385549,3.8974795800246,21.8540565626076,54.9760407549423,37.7627092604229,64.6491548436629,13.9361991622505,0,43.8747569287397,21.7443838024299
"ENSG00000001036",23.282758427262,17.3878549021325,16.8064149269753,17.453082708849,20.983783240072,16.9573836257033,12.991598600082,27.8142538069551,28.1272766653193,22.7775071729535,8.88925879100364,21.8997415406793,25.5798445965942,19.6036147979475,19.3283411577155
"ENSG00000001084",17.2089953592806,0,1.86737943633059,4.15549588305929,0.999227773336762,0.847869181285163,0,0,2.55702515139266,4.79526466799021,0.808114435545786,0,0,3.73402186627572,10.872191901215
"ENSG00000001167",7.08605691264497,4.01258190049212,1.86737943633059,3.32439670644743,8.99304996003085,3.39147672514065,6.495799300041,7.94692965913002,6.39256287848166,4.19585658449143,4.04057217772893,0,0,2.80051639970679,9.66417057885775
"ENSG00000001460",2.02458768932713,0,9.33689718165294,14.1286860024016,0.999227773336762,3.39147672514065,0,12.9137606960863,17.2599197719005,13.7863859204719,14.5460598398241,3.98177118921441,0,3.73402186627572,9.66417057885775
"ENSG00000001461",1.01229384466357,10.7002184013123,0,5.81769423628301,2.99768332001028,7.63082263156647,0,3.97346482956501,7.03181916632983,2.3976323339951,4.84868661327471,5.97265678382162,5.11596891931884,2.80051639970679,2.41604264471444
"ENSG00000001497",34.4179907185613,33.438182504101,16.8064149269753,34.906165417698,57.9552108535322,11.8701685379923,20.7865577601312,38.7412820882589,62.0078599212721,85.1159478568262,24.2434330663736,65.6992246220378,10.2319378386377,25.2046475973611,28.9925117365733
"ENSG00000001561",0,2.67505460032808,1.86737943633059,0.831099176611858,0,0,0,2.98009862217376,0.639256287848166,0,4.04057217772893,1.99088559460721,0,2.80051639970679,3.62406396707166
"ENSG00000001617",24.2950522719256,8.02516380098423,22.4085532359671,37.3994629475336,44.9652498001543,27.9796829824104,19.487397900123,35.7611834660851,21.0954574989895,10.789345502978,41.2138362128351,17.9179703514649,5.11596891931884,16.8030983982407,14.4962558682866
"ENSG00000001629",7.08605691264497,9.36269110114827,3.73475887266118,8.31099176611858,2.99768332001028,2.54360754385549,2.5983197200164,9.93366207391253,9.58884431772249,5.99408083498776,2.42434330663736,0.995442797303604,0,3.73402186627572,8.45614925650053
"ENSG00000001630",55.6761614564962,77.5765834095143,100.838489561852,65.6568349523368,68.9467163602366,55.9593659648208,89.6420303405657,48.6749441621714,73.5144731025391,88.7123963578189,63.8410404081171,55.7447966490018,25.5798445965942,60.6778553269804,70.0652366967187
"ENSG00000001631",47.5778106991877,4.01258190049212,18.6737943633059,4.15549588305929,13.9891888267147,11.8701685379923,3.8974795800246,0.993366207391253,0.639256287848166,11.3887535864767,0,16.9225275541613,0,3.73402186627572,0
"ENSG00000002016",0,6.6876365008202,0,0,0,11.0222993567071,0,0.993366207391253,0,0,0,0,0,0,1.20802132235722
"ENSG00000002330",20.2458768932713,26.7505460032808,31.74545041762,24.9329752983557,17.9860999200617,59.3508426899614,38.974795800246,33.7744510513026,36.4376084073455,45.555014345907,38.7894929061977,55.7447966490018,0,44.8082623953086,50.7368955390032
"ENSG00000002549",64.7868060584683,131.077675416076,115.777525052496,157.077744379641,200.844782440689,127.180377192775,174.087421241099,225.494129077814,214.150856429136,240.962049566508,235.969415179369,335.464222691314,327.422010836406,366.867648361589,239.188221826729
"ENSG00000002586",380.622485593501,423.996154152,526.601001045226,638.284167637907,529.590719868484,1129.36174947184,494.979906663124,1080.78243364168,1015.77824139074,873.337577657717,1096.61128903563,1028.29240961462,1335.26788794222,1136.07615281439,1111.37961656864
"ENSG00000002822",56.6884553011598,24.0754914029527,18.6737943633059,27.4262728281913,21.9830110134088,23.7403370759846,29.8806767801886,0.993366207391253,14.0636383326597,25.1751395069486,1.61622887109157,18.9134131487685,35.8117824352319,11.2020655988272,0
"ENSG00000002834",116.41379213631,107.002184013123,106.440627870843,108.873992136153,92.9281829203188,78.8518338595202,123.420186700779,122.184043509124,110.591337797733,138.463267288217,142.228140656058,128.412120852165,86.9714716284203,113.887666921409,62.8171087625754
"ENSG00000002919",7.08605691264497,10.7002184013123,18.6737943633059,11.635388472566,3.99691109334705,6.78295345028131,0,5.96019724434752,5.11405030278533,8.39171316898287,8.88925879100364,4.97721398651802,5.11596891931884,13.069076531965,14.4962558682866
"ENSG00000003056",90.0941521750575,66.876365008202,65.3582802715706,55.6836448329945,67.9474885868998,48.3285433332543,54.5647141203443,36.7545496734764,67.1219102240574,74.3266023538482,42.0219506483809,62.712896230127,5.11596891931884,31.7391858633436,38.656682315431
"ENSG00000003096",24.2950522719256,16.0503276019685,0,14.9597851790134,0,0.847869181285163,0,11.920394488695,7.67107545417799,7.19289700198531,0,0,0,0,14.4962558682866
"ENSG00000003147",10.1229384466357,20.0629095024606,1.86737943633059,9.9731901193423,11.9907332800411,23.7403370759846,24.6840373401558,7.94692965913002,26.848764089623,46.1544224294058,15.3541742753699,3.98177118921441,0,0,15.7042771906438
"ENSG00000003249",66.8113937477954,17.3878549021325,56.0213830899176,14.9597851790134,23.9814665600823,25.4360754385549,15.5899183200984,35.7611834660851,7.67107545417799,35.9644850099266,49.2949805682929,71.6718814058595,61.3916270318261,22.4041311976543,28.9925117365733
"ENSG00000003393",34.4179907185613,14.7128003018044,31.74545041762,39.8927604773692,3.99691109334705,45.7849357893988,11.6924387400738,19.8673241478251,14.7028946205078,13.7863859204719,8.08114435545786,2.98632839191081,0,19.6036147979475,26.5764690918588
"ENSG00000003400",30.368815339907,34.775709804265,70.9604185805623,35.7372645943099,28.9776054267661,41.545589882973,16.8890781801066,36.7545496734764,30.0450455288638,19.1810586719608,46.8706372616556,53.7539110543946,61.3916270318261,33.6061967964814,66.441172729647
"ENSG00000003402",46.5655168545241,60.1887285073817,97.1037306891906,84.7721160144095,91.9289551469821,188.226958245306,81.8470711805165,157.945226975209,124.015719842544,134.267410703726,155.966086060337,179.179703514649,148.363098660246,185.767587847217,181.203198353583
"ENSG00000003436",177.151422816124,137.765311916896,173.666287578745,89.7587110740807,147.885710453841,83.9390489472312,164.993302221041,204.633438722598,189.219861203057,156.445509793181,214.958439855179,256.82424170433,260.914414885261,233.376366642232,222.275923313728
"ENSG00000003509",4.04917537865427,1.33752730016404,24.2759326722976,9.9731901193423,9.99227773336762,0.847869181285163,25.983197200164,0.993366207391253,7.67107545417799,5.99408083498776,9.69737322654943,13.9361991622505,0,0.933505466568929,0
"ENSG00000003756",33.4056968738977,4.01258190049212,44.8171064719341,30.7506695346388,35.9721998401234,23.7403370759846,24.6840373401558,20.8606903552163,8.31033174202616,13.1869778369731,29.9002341151941,5.97265678382162,30.695813515913,31.7391858633436,15.7042771906438
"ENSG00000003989",0,1.33752730016404,0,9.9731901193423,0.999227773336762,30.5232905262659,15.5899183200984,0.993366207391253,0.639256287848166,7.19289700198531,0.808114435545786,0.995442797303604,0,16.8030983982407,0
"ENSG00000004059",100.217090621693,77.5765834095143,112.042766179835,88.096512720857,69.9459441335733,136.506938186911,54.5647141203443,123.177409716515,117.623156964063,107.89345502978,104.246762185406,109.498707703396,133.01519190229,107.353128655427,146.170580005223
"ENSG00000004139",8.09835075730854,0,1.86737943633059,0,0,6.78295345028131,0,7.94692965913002,1.27851257569633,11.9881616699755,7.27302991991207,11.9453135676432,0,6.5345382659825,6.0401066117861
"ENSG00000004142",28.3442276505799,29.4256006036089,18.6737943633059,27.4262728281913,25.9799221067558,21.1967295321291,18.1882380401148,23.8407889773901,19.8169449232931,28.7715880079413,21.8190897597362,27.8723983245009,5.11596891931884,17.7366038648097,19.3283411577155
