Reference	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
ENST00000459299.1	SNORD13	236294.0	234077.0	219672.0	103880.0	131691.0	61855.0	192520.0	96541.0	114007.0	150000.0	111081.0	99368.0	90763.0	91208.0	66296.0
ENST00000459492.1	SNORD13P3	117262.0	113772.0	106411.0	51216.0	66382.0	30869.0	96639.0	59790.0	70020.0	90408.0	67628.0	61698.0	56313.0	55148.0	39033.0
ENST00000580828.2	SNHG25	29412.0	31689.0	33532.0	45495.0	50982.0	39048.0	38186.0	53484.0	53787.0	50150.0	54989.0	66337.0	58020.0	61695.0	56387.0
ENST00000688233.1	SNHG25	19149.0	21069.0	21781.0	29549.0	32714.0	26194.0	25976.0	35025.0	36593.0	33735.0	36939.0	45187.0	40384.0	40439.0	36994.0
ENST00000611446.1	RNA5-8SN5	25931.0	23773.0	22528.0	17488.0	20707.0	13356.0	20573.0	12349.0	13455.0	14610.0	12749.0	10463.0	10253.0	10757.0	9822.0
ENST00000619471.1	RNA5-8SN1	26333.0	24361.0	22540.0	17247.0	21020.0	12869.0	20533.0	12513.0	13367.0	14335.0	12356.0	10611.0	10081.0	10721.0	10034.0
ENST00000610460.1	5_8S_rRNA	26232.0	24086.0	23427.0	18073.0	20707.0	13736.0	20439.0	12536.0	13229.0	14465.0	12727.0	10765.0	10321.0	10769.0	9928.0
ENST00000612463.1	RNA5-8SN2	25823.0	23820.0	23509.0	18272.0	21193.0	13113.0	20352.0	12655.0	13554.0	14430.0	12653.0	10685.0	10356.0	10911.0	10034.0
ENST00000619779.1	5_8S_rRNA	26071.0	23491.0	23332.0	17832.0	20847.0	13141.0	20305.0	12275.0	13436.0	14760.0	12340.0	10753.0	10218.0	10733.0	10025.0
ENST00000613359.1	RNA5-8SN3	25810.0	23718.0	22835.0	17605.0	20484.0	13106.0	20273.0	12476.0	13105.0	14280.0	12584.0	11044.0	11078.0	10466.0	9760.0
ENST00000673592.1	RNA5-8SN3	25770.0	24173.0	22883.0	17749.0	20245.0	13464.0	20155.0	12394.0	13199.0	14748.0	12468.0	10993.0	10631.0	10751.0	10096.0
ENST00000618998.1	5_8S_rRNA	25743.0	23804.0	22930.0	17309.0	20064.0	13299.0	19997.0	12267.0	13293.0	14453.0	12653.0	10987.0	9324.0	10822.0	10220.0
ENST00000673303.1	RNA5-8SN1	25649.0	24024.0	22835.0	17797.0	20344.0	12998.0	19966.0	12759.0	13569.0	14398.0	12563.0	10651.0	9496.0	10567.0	10123.0
ENST00000616292.1	RNA5-8SN4	25897.0	24000.0	22551.0	17873.0	21440.0	13220.0	19958.0	12446.0	13372.0	14858.0	12409.0	10583.0	9496.0	10674.0	9804.0
ENST00000365484.1	RNY3	12965.0	13518.0	12966.0	8253.0	9504.0	4603.0	16877.0	3358.0	4204.0	4923.0	3256.0	3387.0	4599.0	4197.0	3216.0
ENST00000384413.1	Y_RNA	10950.0	11600.0	10941.0	7013.0	7970.0	3980.0	14532.0	2932.0	3583.0	4262.0	2866.0	2942.0	4134.0	3538.0	2751.0
ENST00000365085.1	RNY3P1	10743.0	11407.0	10538.0	6994.0	7872.0	3957.0	14130.0	2783.0	3399.0	4118.0	2773.0	2892.0	3946.0	3444.0	2686.0
ENST00000363624.1	Y_RNA	9989.0	10836.0	9912.0	6472.0	7516.0	3749.0	13230.0	2669.0	3223.0	3956.0	2644.0	2709.0	3792.0	3304.0	2553.0
ENST00000418539.2	BCYRN1	10051.0	8833.0	8560.0	12046.0	13008.0	7163.0	12911.0	20006.0	21790.0	21384.0	21954.0	23440.0	19903.0	27413.0	21884.0
ENST00000245458.11	RPS29	6148.0	7851.0	9336.0	16488.0	13162.0	17869.0	10464.0	15428.0	14418.0	12125.0	15146.0	16455.0	15399.0	15986.0	17753.0
ENST00000363444.1	Y_RNA	7616.0	7988.0	8135.0	5123.0	5594.0	2732.0	10292.0	2194.0	2561.0	3081.0	1934.0	2164.0	2842.0	2539.0	1953.0
ENST00000503991.1	SCARNA22	9031.0	10228.0	8744.0	5610.0	9189.0	3953.0	10184.0	3772.0	4252.0	5140.0	4378.0	4559.0	4380.0	4206.0	3749.0
ENST00000408237.1	SNORA11F	5765.0	5326.0	6195.0	2836.0	5419.0	2270.0	7061.0	2603.0	2466.0	3237.0	3164.0	2081.0	1960.0	2167.0	1633.0
ENST00000233143.6	TMSB10	2707.0	4537.0	4985.0	12931.0	8613.0	18088.0	6434.0	13560.0	12632.0	10589.0	13286.0	14303.0	15246.0	14688.0	16439.0
ENST00000364228.1	RNY1	5029.0	3383.0	3855.0	1961.0	3189.0	1391.0	4884.0	1154.0	1031.0	1377.0	1152.0	1152.0	1869.0	1362.0	1189.0
ENST00000391162.1	SNORA12	4546.0	4970.0	4295.0	2882.0	4558.0	2026.0	4704.0	3352.0	2789.0	3013.0	3000.0	2207.0	2361.0	2455.0	2046.0
ENST00000365645.1	VTRNA1-3	1616.0	1656.0	2965.0	5151.0	4956.0	3803.0	4420.0	3567.0	4257.0	2957.0	3597.0	3575.0	3383.0	4405.0	4627.0
ENST00000384423.1	SNORA67	3115.0	2386.0	2494.0	2857.0	4222.0	1678.0	4107.0	1746.0	1716.0	2135.0	1603.0	1474.0	1466.0	1763.0	1423.0
ENST00000245185.6	MT2A	1634.0	2217.0	2331.0	7212.0	5241.0	8450.0	3891.0	2030.0	1797.0	1561.0	1839.0	2404.0	2517.0	2653.0	3189.0
ENST00000557367.2	RPS29	2274.0	2910.0	3461.0	6093.0	4861.0	6607.0	3871.0	5710.0	5345.0	4477.0	5603.0	6094.0	5692.0	5913.0	6573.0
ENST00000343986.9	RPS21	2351.0	3037.0	3528.0	6604.0	5119.0	7855.0	3829.0	6651.0	6442.0	5306.0	6184.0	6827.0	6827.0	6721.0	7614.0
ENST00000361575.4	RPL39	1964.0	2752.0	3127.0	6356.0	4835.0	7833.0	3552.0	6867.0	6256.0	5277.0	6435.0	7027.0	7079.0	7197.0	8059.0
ENST00000384384.1	SNORA25	7369.0	2623.0	4300.0	3597.0	3224.0	1078.0	3500.0	1425.0	1215.0	1168.0	2342.0	2167.0	784.0	1028.0	675.0
ENST00000546485.5	RPL41	1496.0	2439.0	2594.0	5673.0	4110.0	7623.0	3117.0	6773.0	6162.0	5270.0	6449.0	7466.0	7265.0	7088.0	8080.0
ENST00000582965.3	SNHG25	2309.0	2490.0	2684.0	3630.0	4029.0	3122.0	3046.0	4197.0	4225.0	3956.0	4316.0	5198.0	4514.0	4870.0	4467.0
ENST00000501597.3	RPL41	1445.0	2359.0	2507.0	5482.0	3971.0	7365.0	3009.0	6546.0	5952.0	5090.0	6232.0	7219.0	7014.0	6850.0	7804.0
MSTRG.5716.3	MSTRG.5716	1539.0	1994.0	2535.0	4027.0	3576.0	5134.0	2709.0	4500.0	4063.0	3524.0	4276.0	4706.0	4423.0	4460.0	5049.0
MSTRG.5716.2	MSTRG.5716	1527.0	1986.0	2499.0	3998.0	3526.0	5089.0	2672.0	4457.0	4046.0	3502.0	4265.0	4656.0	4368.0	4434.0	5045.0
MSTRG.6410.2	MSTRG.6410	1228.0	2005.0	2133.0	4673.0	3391.0	6287.0	2566.0	5600.0	5092.0	4353.0	5329.0	6176.0	6011.0	5865.0	6691.0
ENST00000546591.6	RPL41	1207.0	1973.0	2100.0	4589.0	3333.0	6183.0	2517.0	5491.0	4992.0	4272.0	5230.0	6053.0	5894.0	5748.0	6552.0
ENST00000358888.7	RPL41	1155.0	1886.0	2009.0	4397.0	3187.0	5915.0	2413.0	5272.0	4792.0	4099.0	5019.0	5813.0	5656.0	5520.0	6298.0
MSTRG.5716.1	MSTRG.5716	1320.0	1699.0	2178.0	3458.0	3070.0	4421.0	2292.0	3863.0	3495.0	3008.0	3666.0	4018.0	3745.0	3828.0	4344.0
ENST00000701490.1	ENSG00000289901	3537.0	3281.0	2839.0	2301.0	2413.0	1493.0	2214.0	2597.0	2430.0	2761.0	2746.0	2080.0	2136.0	2040.0	2124.0
ENST00000606420.1	SNORA51	1557.0	1083.0	1199.0	1031.0	1602.0	696.0	2121.0	849.0	516.0	962.0	715.0	467.0	951.0	736.0	682.0
ENST00000304312.5	ATP5ME	1099.0	1395.0	1597.0	2951.0	2315.0	3197.0	1778.0	3053.0	2905.0	2310.0	2991.0	3300.0	2977.0	3220.0	3465.0
ENST00000321153.9	RPLP2	883.0	1321.0	1455.0	3205.0	2329.0	4347.0	1739.0	3490.0	3442.0	2920.0	3255.0	3660.0	3820.0	3581.0	4056.0
ENST00000701956.1	ENSG00000289942	4029.0	1296.0	1472.0	1976.0	1894.0	1127.0	1661.0	275.0	377.0	268.0	275.0	249.0	282.0	349.0	339.0
ENST00000556230.2	RPS29	968.0	1236.0	1470.0	2597.0	2072.0	2814.0	1648.0	2430.0	2270.0	1909.0	2385.0	2591.0	2425.0	2517.0	2796.0
ENST00000230050.4	RPS12	776.0	1173.0	1389.0	3390.0	2325.0	4834.0	1645.0	4104.0	3702.0	3152.0	3815.0	4132.0	4561.0	4210.0	4698.0
ENST00000408778.1	SNORA11E	1545.0	1397.0	1743.0	834.0	1551.0	727.0	1572.0	563.0	567.0	613.0	538.0	437.0	980.0	352.0	230.0
ENST00000408548.1	SNORA11D	1545.0	1397.0	1743.0	834.0	1551.0	727.0	1572.0	563.0	567.0	613.0	538.0	437.0	980.0	352.0	230.0
ENST00000384744.1	SNORA80E	1227.0	901.0	1088.0	918.0	1375.0	478.0	1515.0	712.0	527.0	755.0	646.0	504.0	792.0	580.0	631.0
ENST00000473748.1	RPS28P7	870.0	1217.0	1334.0	2326.0	1962.0	2988.0	1496.0	2895.0	2712.0	2384.0	2716.0	3014.0	2758.0	2728.0	3070.0
ENST00000651669.1	RPS27	789.0	1021.0	1294.0	2075.0	1827.0	2656.0	1379.0	2321.0	2081.0	1809.0	2218.0	2398.0	2256.0	2325.0	2623.0
ENST00000348462.6	RPL35	643.0	967.0	1101.0	2417.0	1832.0	3200.0	1368.0	2523.0	2441.0	2074.0	2496.0	2748.0	2783.0	2728.0	3214.0
ENST00000563985.1	MT2A	537.0	729.0	767.0	2374.0	1725.0	2780.0	1279.0	667.0	591.0	514.0	605.0	791.0	829.0	872.0	1049.0
ENST00000287038.8	RPL30	702.0	1005.0	1061.0	1877.0	1500.0	2503.0	1250.0	2228.0	2072.0	1887.0	2093.0	2196.0	2367.0	2288.0	2474.0
ENST00000563390.5	RPS15A	563.0	875.0	1066.0	2390.0	1681.0	3517.0	1247.0	2915.0	2590.0	2237.0	2774.0	3017.0	3151.0	3085.0	3446.0
ENST00000569365.6	RPS15A	550.0	856.0	1046.0	2340.0	1646.0	3448.0	1222.0	2860.0	2539.0	2192.0	2720.0	2960.0	3094.0	3026.0	3379.0
ENST00000647841.1	RPS17	543.0	833.0	995.0	2343.0	1629.0	3417.0	1210.0	2766.0	2538.0	2179.0	2649.0	2901.0	3029.0	2884.0	3360.0
ENST00000527673.2	RPS25	518.0	851.0	1014.0	2417.0	1674.0	3509.0	1172.0	2954.0	2621.0	2287.0	2787.0	3129.0	3353.0	3145.0	3550.0
ENST00000628770.2	RPS25	517.0	851.0	1016.0	2419.0	1676.0	3510.0	1172.0	2956.0	2623.0	2286.0	2786.0	3127.0	3346.0	3146.0	3551.0
ENST00000484616.2	RPS12	505.0	764.0	905.0	2210.0	1516.0	3153.0	1071.0	2678.0	2417.0	2057.0	2490.0	2696.0	2982.0	2753.0	3068.0
ENST00000631368.2	RPS25	497.0	783.0	933.0	2193.0	1540.0	3169.0	1069.0	2647.0	2355.0	2057.0	2503.0	2811.0	2998.0	2819.0	3178.0
ENST00000532567.5	RPS25	498.0	783.0	932.0	2193.0	1540.0	3168.0	1069.0	2647.0	2354.0	2057.0	2503.0	2810.0	2997.0	2819.0	3177.0
ENST00000215909.10	LGALS1	528.0	785.0	909.0	2033.0	1547.0	3197.0	1057.0	2311.0	1998.0	1786.0	2152.0	2018.0	2099.0	2088.0	2593.0
MSTRG.1952.3	MSTRG.1952	592.0	774.0	971.0	1580.0	1400.0	2030.0	1045.0	1758.0	1590.0	1371.0	1697.0	1817.0	1723.0	1766.0	1996.0
ENST00000619178.1	SNORD3D	761.0	623.0	792.0	1078.0	1158.0	826.0	1042.0	1040.0	915.0	931.0	1122.0	798.0	640.0	811.0	827.0
ENST00000557342.6	SLIRP	467.0	733.0	814.0	1874.0	1302.0	2166.0	1032.0	1819.0	1651.0	1448.0	1789.0	2017.0	1839.0	2016.0	2360.0
ENST00000253788.12	RPL27	467.0	708.0	812.0	1937.0	1372.0	2694.0	1015.0	2357.0	2185.0	1803.0	2140.0	2349.0	2501.0	2440.0	2812.0
ENST00000373570.8	RPL35	468.0	705.0	802.0	1761.0	1334.0	2333.0	998.0	1840.0	1776.0	1511.0	1819.0	2002.0	2030.0	1988.0	2342.0
ENST00000387365.1	MT-TI	630.0	886.0	535.0	684.0	1221.0	599.0	963.0	598.0	753.0	507.0	569.0	663.0	661.0	557.0	420.0
ENST00000516507.1	RNY4	634.0	758.0	671.0	283.0	559.0	239.0	956.0	116.0	175.0	236.0	129.0	120.0	114.0	145.0	49.0
ENST00000363593.1	SNORD118	1719.0	1453.0	1562.0	447.0	1137.0	359.0	953.0	1242.0	1057.0	1363.0	1367.0	815.0	665.0	690.0	480.0
ENST00000648839.1	RPL26	412.0	572.0	779.0	1892.0	1284.0	2901.0	945.0	2462.0	2146.0	1812.0	2339.0	2561.0	2854.0	2704.0	3061.0
ENST00000643794.1	RPS27	540.0	703.0	885.0	1421.0	1261.0	1823.0	945.0	1595.0	1426.0	1241.0	1525.0	1645.0	1558.0	1600.0	1803.0
ENST00000576008.5	RPS15A	417.0	657.0	804.0	1809.0	1268.0	2674.0	941.0	2216.0	1968.0	1695.0	2107.0	2292.0	2390.0	2342.0	2619.0
ENST00000387347.2	MT-RNR2	934.0	1100.0	971.0	1221.0	1043.0	1092.0	938.0	1077.0	1231.0	1056.0	1018.0	916.0	1033.0	1038.0	1185.0
ENST00000374077.8	ROMO1	533.0	754.0	870.0	1692.0	1278.0	1988.0	922.0	1720.0	1600.0	1323.0	1623.0	1652.0	1724.0	1671.0	1820.0
ENST00000238688.9	SLIRP	409.0	642.0	714.0	1641.0	1143.0	1898.0	906.0	1592.0	1449.0	1269.0	1567.0	1768.0	1613.0	1768.0	2067.0
ENST00000583011.6	RPL26	391.0	541.0	739.0	1795.0	1218.0	2751.0	895.0	2334.0	2035.0	1719.0	2219.0	2428.0	2708.0	2564.0	2903.0
MSTRG.28532.5	MSTRG.28532	498.0	693.0	787.0	1595.0	1220.0	1962.0	894.0	1733.0	1580.0	1327.0	1627.0	1771.0	1784.0	1816.0	2028.0
MSTRG.21792.1	MSTRG.21792	710.0	1124.0	1203.0	826.0	1277.0	988.0	893.0	755.0	818.0	695.0	972.0	867.0	978.0	813.0	588.0
ENST00000347512.8	RPL36	444.0	672.0	762.0	1529.0	1214.0	1991.0	887.0	1755.0	1588.0	1402.0	1662.0	1876.0	1841.0	1844.0	2056.0
ENST00000526895.5	RPS13	358.0	585.0	720.0	1830.0	1243.0	2753.0	861.0	2281.0	2059.0	1748.0	2167.0	2296.0	2575.0	2425.0	2770.0
ENST00000518850.5	RPL30	481.0	689.0	726.0	1285.0	1028.0	1713.0	857.0	1526.0	1419.0	1293.0	1433.0	1504.0	1620.0	1567.0	1694.0
ENST00000525634.6	RPS13	354.0	578.0	710.0	1807.0	1229.0	2717.0	851.0	2254.0	2034.0	1726.0	2139.0	2266.0	2545.0	2394.0	2735.0
ENST00000617731.2	RPS17	378.0	580.0	689.0	1633.0	1136.0	2386.0	840.0	1930.0	1770.0	1521.0	1847.0	2024.0	2116.0	2012.0	2345.0
ENST00000521291.5	RPL30	443.0	640.0	689.0	1298.0	1003.0	1764.0	809.0	1560.0	1440.0	1294.0	1455.0	1529.0	1656.0	1605.0	1745.0
ENST00000492356.2	RPS21	541.0	616.0	742.0	1353.0	1067.0	1603.0	795.0	1331.0	1259.0	1071.0	1238.0	1354.0	1334.0	1367.0	1538.0
ENST00000613856.4	SLIRP	339.0	533.0	593.0	1360.0	947.0	1575.0	750.0	1320.0	1200.0	1053.0	1299.0	1465.0	1336.0	1465.0	1713.0
ENST00000309579.7	ATP5MK	401.0	524.0	636.0	1405.0	953.0	1624.0	737.0	1481.0	1348.0	1132.0	1447.0	1459.0	1416.0	1491.0	1726.0
ENST00000396070.6	RPL30	515.0	662.0	611.0	529.0	638.0	370.0	717.0	438.0	485.0	545.0	487.0	475.0	459.0	462.0	410.0
MSTRG.27836.1	MSTRG.27836	506.0	564.0	553.0	668.0	871.0	606.0	703.0	629.0	570.0	565.0	584.0	548.0	447.0	535.0	612.0
ENST00000384782.1	RNU1-3	519.0	458.0	351.0	451.0	630.0	315.0	702.0	221.0	270.0	272.0	257.0	189.0	185.0	112.0	199.0
ENST00000383869.1	RNU1-27P	549.0	394.0	361.0	569.0	511.0	328.0	688.0	248.0	275.0	300.0	238.0	179.0	247.0	176.0	135.0
ENST00000456793.2	OST4	344.0	574.0	613.0	1277.0	900.0	1763.0	682.0	1541.0	1373.0	1217.0	1485.0	1564.0	1587.0	1532.0	1653.0
MSTRG.3083.6	MSTRG.3083	567.0	591.0	666.0	461.0	747.0	268.0	665.0	405.0	418.0	317.0	332.0	298.0	319.0	290.0	375.0
ENST00000589037.5	RPL27	314.0	466.0	537.0	1249.0	889.0	1747.0	663.0	1526.0	1434.0	1169.0	1393.0	1535.0	1640.0	1593.0	1817.0
ENST00000707411.1	RNU1-4	627.0	324.0	415.0	581.0	556.0	277.0	660.0	174.0	279.0	226.0	162.0	169.0	123.0	122.0	127.0
ENST00000383861.1	RNU1-28P	531.0	373.0	404.0	507.0	630.0	199.0	660.0	254.0	239.0	279.0	186.0	112.0	247.0	181.0	183.0
ENST00000439602.7	RPS18	264.0	419.0	584.0	1255.0	980.0	2187.0	655.0	2197.0	1794.0	1668.0	2054.0	2090.0	2303.0	2160.0	2576.0
ENST00000615842.1	RNVU1-29	555.0	366.0	361.0	625.0	578.0	335.0	652.0	281.0	261.0	321.0	190.0	174.0	247.0	122.0	223.0
ENST00000311111.11	RPL38	374.0	521.0	567.0	1182.0	847.0	1342.0	649.0	1111.0	1081.0	928.0	1082.0	1188.0	1166.0	1199.0	1351.0
ENST00000619109.1	U1	585.0	352.0	404.0	538.0	548.0	341.0	645.0	140.0	301.0	272.0	229.0	179.0	278.0	149.0	238.0
ENST00000493018.5	RPL35	296.0	446.0	507.0	1114.0	843.0	1475.0	631.0	1164.0	1124.0	956.0	1151.0	1267.0	1285.0	1258.0	1482.0
ENST00000383858.1	RNVU1-7	537.0	373.0	372.0	495.0	393.0	251.0	624.0	140.0	164.0	279.0	166.0	102.0	185.0	149.0	119.0
ENST00000368719.9	S100A6	368.0	550.0	589.0	1247.0	878.0	1733.0	620.0	1492.0	1389.0	1187.0	1449.0	1347.0	1419.0	1423.0	1602.0
ENST00000447619.5	OST4	310.0	518.0	553.0	1151.0	811.0	1589.0	615.0	1388.0	1237.0	1097.0	1339.0	1410.0	1430.0	1381.0	1490.0
ENST00000707408.1	RNU1-3	543.0	486.0	436.0	519.0	615.0	309.0	610.0	194.0	279.0	258.0	219.0	184.0	61.0	128.0	159.0
ENST00000009589.8	RPS20	287.0	422.0	511.0	1282.0	897.0	1993.0	608.0	1547.0	1341.0	1186.0	1448.0	1540.0	1755.0	1573.0	1827.0
ENST00000592588.7	RPS15	68.0	258.0	543.0	391.0	749.0	1019.0	590.0	1065.0	1195.0	982.0	931.0	642.0	401.0	501.0	1078.0
ENST00000384010.1	RNVU1-18	579.0	430.0	383.0	606.0	548.0	309.0	589.0	154.0	270.0	272.0	200.0	179.0	185.0	192.0	103.0
ENST00000273223.10	RPL32	277.0	418.0	512.0	1136.0	870.0	1736.0	582.0	1491.0	1280.0	1154.0	1411.0	1444.0	1590.0	1500.0	1768.0
ENST00000525828.1	RPS13	240.0	391.0	479.0	1227.0	835.0	1850.0	580.0	1528.0	1382.0	1171.0	1451.0	1535.0	1725.0	1625.0	1856.0
ENST00000451311.7	TMSB4X	278.0	395.0	481.0	1435.0	873.0	2398.0	577.0	1713.0	1288.0	1030.0	1416.0	1582.0	2181.0	1965.0	2178.0
ENST00000572008.5	RPS15A	260.0	403.0	492.0	1101.0	775.0	1623.0	575.0	1345.0	1194.0	1032.0	1280.0	1392.0	1454.0	1423.0	1590.0
ENST00000383925.1	RNU1-1	555.0	394.0	329.0	526.0	511.0	296.0	574.0	207.0	292.0	279.0	238.0	158.0	216.0	170.0	135.0
ENST00000438607.2	TMA7	279.0	464.0	495.0	1124.0	769.0	1410.0	569.0	1245.0	1161.0	969.0	1231.0	1325.0	1344.0	1309.0	1499.0
ENST00000363120.1	VTRNA1-1	645.0	353.0	446.0	108.0	532.0	157.0	567.0	308.0	270.0	292.0	323.0	194.0	377.0	159.0	248.0
ENST00000507642.5	RPL37	411.0	449.0	484.0	947.0	751.0	1033.0	563.0	922.0	869.0	747.0	874.0	932.0	914.0	946.0	1087.0
ENST00000553110.8	RPL36A	286.0	435.0	507.0	1017.0	770.0	1345.0	560.0	1206.0	1125.0	987.0	1168.0	1313.0	1301.0	1281.0	1424.0
ENST00000555890.5	SLIRP	254.0	399.0	443.0	1018.0	708.0	1178.0	559.0	991.0	897.0	785.0	971.0	1095.0	994.0	1098.0	1280.0
ENST00000384659.1	RNU1-4	597.0	366.0	372.0	507.0	563.0	290.0	553.0	261.0	248.0	286.0	190.0	138.0	123.0	165.0	127.0
ENST00000383906.1	SNORA80B	202.0	300.0	301.0	191.0	286.0	83.0	549.0	242.0	240.0	200.0	270.0	198.0	239.0	213.0	246.0
ENST00000260379.11	RPLP1	244.0	392.0	482.0	1058.0	802.0	1644.0	547.0	1190.0	1038.0	893.0	1078.0	1129.0	1221.0	1126.0	1333.0
ENST00000565420.5	RPS15A	247.0	384.0	468.0	1055.0	743.0	1555.0	546.0	1292.0	1142.0	984.0	1221.0	1328.0	1395.0	1363.0	1514.0
ENST00000457341.6	RPS18	219.0	347.0	480.0	1032.0	804.0	1801.0	539.0	1813.0	1477.0	1374.0	1692.0	1721.0	1900.0	1777.0	2122.0
ENST00000211372.9	RPS18	221.0	347.0	484.0	1035.0	807.0	1802.0	537.0	1813.0	1478.0	1375.0	1693.0	1722.0	1898.0	1778.0	2121.0
ENST00000434122.2	RPS18	219.0	347.0	482.0	1033.0	806.0	1800.0	536.0	1812.0	1479.0	1373.0	1693.0	1721.0	1905.0	1782.0	2122.0
ENST00000454021.6	RPS18	219.0	347.0	484.0	1036.0	806.0	1803.0	536.0	1810.0	1477.0	1373.0	1694.0	1722.0	1906.0	1778.0	2121.0
ENST00000487431.1	RPL35	250.0	377.0	429.0	942.0	714.0	1247.0	533.0	983.0	951.0	808.0	973.0	1071.0	1085.0	1063.0	1252.0
ENST00000516768.1	SCARNA20	389.0	359.0	343.0	324.0	418.0	225.0	524.0	279.0	345.0	370.0	314.0	261.0	249.0	251.0	160.0
ENST00000363046.1	RMRP	417.0	466.0	342.0	419.0	444.0	311.0	517.0	198.0	226.0	212.0	202.0	190.0	185.0	175.0	247.0
ENST00000374072.5	ROMO1	334.0	431.0	490.0	942.0	731.0	1041.0	515.0	959.0	891.0	748.0	934.0	929.0	944.0	977.0	1001.0
MSTRG.5081.2	MSTRG.5081	625.0	418.0	550.0	295.0	532.0	157.0	511.0	226.0	343.0	273.0	252.0	212.0	323.0	288.0	233.0
ENST00000579446.1	RPL36	268.0	395.0	459.0	855.0	706.0	1135.0	510.0	1028.0	931.0	830.0	979.0	1097.0	1056.0	1074.0	1177.0
ENST00000389680.2	MT-RNR1	518.0	507.0	491.0	599.0	562.0	517.0	509.0	459.0	532.0	456.0	467.0	364.0	402.0	419.0	497.0
ENST00000383924.1	Y_RNA	568.0	326.0	361.0	200.0	274.0	129.0	503.0	144.0	95.0	141.0	110.0	79.0	238.0	82.0	110.0
ENST00000643685.1	RNA5S2	783.0	551.0	439.0	264.0	393.0	161.0	502.0	752.0	621.0	709.0	767.0	416.0	456.0	598.0	411.0
ENST00000461690.5	RPL21	182.0	300.0	428.0	1467.0	707.0	2128.0	502.0	1764.0	1572.0	1266.0	1757.0	1796.0	2155.0	2073.0	2334.0
ENST00000599539.5	RPS16	224.0	343.0	425.0	1104.0	749.0	1674.0	501.0	1340.0	1185.0	1046.0	1243.0	1354.0	1454.0	1398.0	1617.0
ENST00000311549.11	RPL21	185.0	301.0	426.0	1452.0	704.0	2098.0	500.0	1742.0	1558.0	1254.0	1736.0	1775.0	2128.0	2048.0	2306.0
ENST00000233609.8	RPS15	57.0	216.0	456.0	329.0	632.0	859.0	498.0	897.0	1014.0	830.0	784.0	543.0	332.0	422.0	906.0
ENST00000504562.1	RPL37	314.0	371.0	427.0	849.0	645.0	963.0	494.0	820.0	775.0	677.0	773.0	859.0	804.0	859.0	979.0
ENST00000365656.1	RNA5S13	953.0	530.0	392.0	182.0	372.0	142.0	492.0	663.0	628.0	809.0	823.0	506.0	365.0	614.0	376.0
ENST00000561491.1	MT2A	297.0	316.0	322.0	924.0	644.0	961.0	491.0	247.0	237.0	202.0	230.0	286.0	299.0	322.0	370.0
ENST00000435983.5	RPL32	233.0	350.0	429.0	947.0	727.0	1445.0	486.0	1247.0	1067.0	964.0	1177.0	1206.0	1323.0	1248.0	1476.0
ENST00000516060.1	SCARNA23	342.0	362.0	547.0	188.0	280.0	54.0	484.0	288.0	265.0	248.0	215.0	150.0	130.0	179.0	183.0
ENST00000363754.1	RNA5S6	685.0	540.0	424.0	182.0	350.0	218.0	481.0	791.0	621.0	730.0	746.0	423.0	228.0	646.0	364.0
ENST00000708575.1	Y_RNA	577.0	326.0	377.0	191.0	274.0	129.0	481.0	124.0	95.0	147.0	110.0	79.0	238.0	82.0	110.0
ENST00000589913.6	RPL27	227.0	336.0	387.0	907.0	642.0	1270.0	480.0	1110.0	1041.0	850.0	1012.0	1115.0	1193.0	1160.0	1327.0
ENST00000614077.4	RPL36A	233.0	357.0	413.0	839.0	633.0	1110.0	461.0	999.0	928.0	817.0	966.0	1089.0	1080.0	1060.0	1181.0
ENST00000591032.1	RPS15	54.0	201.0	428.0	308.0	592.0	797.0	459.0	832.0	938.0	767.0	725.0	501.0	309.0	389.0	846.0
MSTRG.5768.2	MSTRG.5768	998.0	560.0	526.0	431.0	742.0	423.0	456.0	402.0	424.0	442.0	418.0	433.0	413.0	358.0	431.0
ENST00000586686.6	RPS15	53.0	201.0	424.0	307.0	584.0	796.0	456.0	830.0	932.0	764.0	722.0	502.0	311.0	390.0	838.0
MSTRG.5081.1	MSTRG.5081	557.0	367.0	486.0	269.0	475.0	141.0	455.0	201.0	307.0	242.0	227.0	187.0	295.0	252.0	213.0
ENST00000600659.3	RPS28	258.0	379.0	413.0	716.0	601.0	932.0	454.0	906.0	852.0	742.0	850.0	944.0	872.0	853.0	978.0
ENST00000374078.5	ROMO1	261.0	369.0	425.0	831.0	628.0	981.0	452.0	843.0	786.0	651.0	798.0	812.0	845.0	822.0	895.0
ENST00000530797.5	RPLP2	260.0	350.0	375.0	825.0	604.0	1067.0	450.0	849.0	834.0	710.0	804.0	897.0	919.0	867.0	978.0
ENST00000364485.1	RNA5S14	766.0	613.0	486.0	255.0	372.0	247.0	450.0	663.0	667.0	772.0	816.0	582.0	182.0	512.0	364.0
ENST00000251453.8	RPS16	201.0	308.0	382.0	993.0	673.0	1506.0	450.0	1203.0	1064.0	941.0	1120.0	1219.0	1308.0	1258.0	1454.0
ENST00000272274.8	RPL21	167.0	270.0	381.0	1304.0	632.0	1889.0	449.0	1571.0	1404.0	1128.0	1563.0	1598.0	1923.0	1845.0	2079.0
