gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.25288	ENST00000000233.10	47	29	30	52	35	76	21	61	86	87	64	55	13	54	60
MSTRG.5835	ENST00000000412.8	26	15	10	16	19	18	12	11	28	31	17	18	0	9	10
MSTRG.4809	ENST00000000442.11	8	8	4	12	8	2	3	13	13	22	7	11	2	11	6
MSTRG.5702	ENST00000001008.6	40	33	16	32	52	21	30	21	32	51	22	38	2	16	21
MSTRG.15166	ENST00000002125.9	1	0	4	4	3	0	5	0	4	3	4	4	0	0	0
MSTRG.24029	ENST00000002165.11	23	11	8	18	20	19	9	26	42	32	9	16	4	19	11
MSTRG.11167	ENST00000002501.11	11	2	5	3	4	5	2	6	2	10	11	12	2	4	4
MSTRG.19032	ENST00000002829.8	8	2	4	15	15	11	5	12	11	6	17	6	0	6	4
MSTRG.24941	ENST00000003100.13	46	46	41	71	63	55	59	43	105	102	65	42	4	57	52
MSTRG.5438	ENST00000003302.8	3	2	1	0	5	2	5	3	7	4	5	3	1	4	2
MSTRG.615	ENST00000003583.12	0	0	0	2	0	1	0	3	5	0	3	0	0	0	0
MSTRG.616	ENST00000003912.7	0	2	0	6	2	4	0	4	10	3	2	5	0	0	2
MSTRG.25672	ENST00000004531.14	0	0	0	2	0	6	2	0	0	2	0	0	0	3	0
MSTRG.4177	ENST00000005082.13	2	1	2	7	2	9	5	11	6	3	9	14	3	17	7
MSTRG.24614	ENST00000005257.7	142	110	93	183	153	202	135	210	316	303	240	221	46	288	228
MSTRG.25170	ENST00000005259.9	5	4	5	25	2	46	5	20	16	18	20	21	6	22	13
MSTRG.4704	ENST00000005286.8	5	0	0	8	10	2	2	9	6	10	13	3	2	9	7
MSTRG.24536	ENST00000005374.10	9	8	5	18	14	13	14	8	15	12	20	14	2	5	16
MSTRG.6168	ENST00000005386.8	0	5	2	4	1	5	3	3	10	2	5	5	0	9	4
MSTRG.24489	ENST00000006015.4	6	0	2	3	9	1	2	5	5	10	6	2	0	3	0
MSTRG.14403	ENST00000006275.8	5	2	5	3	5	6	6	7	23	12	8	11	4	12	9
MSTRG.12161	ENST00000006658.11	5	2	3	11	2	7	3	4	12	5	3	5	0	0	2
MSTRG.24832	ENST00000006777.11	1	8	3	4	0	15	2	10	8	15	9	11	1	10	9
MSTRG.9954	ENST00000007264.7	13	7	2	13	5	9	7	6	8	16	8	4	0	2	6
MSTRG.9974	ENST00000007390.3	19	14	9	32	40	17	17	12	42	17	24	12	0	13	8
MSTRG.12052	ENST00000007414.8	0	0	0	2	0	7	0	0	3	2	0	0	0	0	0
MSTRG.10277	ENST00000007516.8	58	126	96	375	236	821	168	693	779	887	805	479	88	496	611
MSTRG.12137	ENST00000007708.7	0	0	0	0	0	1	3	4	0	3	8	2	0	4	1
MSTRG.10079	ENST00000008180.13	10	9	5	32	18	42	15	23	24	29	28	43	5	29	34
MSTRG.24605	ENST00000009041.12	19	17	9	26	12	23	13	17	27	34	23	17	4	18	16
MSTRG.5754	ENST00000009180.10	99	55	63	240	107	244	76	125	149	138	136	101	30	121	119
MSTRG.22618	ENST00000009530.13	0	0	0	0	2	2	0	4	6	0	3	4	0	0	2
MSTRG.26054	ENST00000009589.8	2201	2764	2219	9566	5590	14280	3957	10650	13960	15489	14017	13872	2617	13602	10596
MSTRG.5734	ENST00000010132.6	7	9	8	37	18	59	13	46	53	64	56	51	12	54	33
MSTRG.695	ENST00000010299.10	2	0	0	0	0	2	4	2	2	4	0	0	0	0	0
MSTRG.25143	ENST00000011473.6	18	14	9	35	22	40	13	13	21	38	21	28	3	25	11
MSTRG.18891	ENST00000011691.6	14	26	25	151	44	210	32	155	200	206	235	204	42	226	201
MSTRG.466	ENST00000011700.10	6	0	6	5	6	3	1	2	3	5	6	4	0	3	7
MSTRG.5712	ENST00000011898.10	8	2	4	7	7	13	11	10	26	25	15	9	1	11	7
MSTRG.14420	ENST00000012049.10	2	0	9	7	4	8	2	17	15	12	7	7	0	8	3
MSTRG.14447	ENST00000012443.9	9	7	5	9	12	7	12	12	7	15	9	9	0	13	9
MSTRG.12176	ENST00000013034.3	86	68	69	180	133	228	110	177	185	241	194	184	39	258	171
ENSG00000012963.15	ENST00000013070.11	4	7	1	13	5	12	1	2	5	10	5	1	0	1	7
MSTRG.8180	ENST00000013125.9	5	0	6	8	7	7	3	7	14	5	9	4	0	6	0
MSTRG.24532	ENST00000013222.5	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0
MSTRG.14412	ENST00000013807.9	5	16	5	12	10	17	5	22	28	21	34	22	4	22	10
MSTRG.5910	ENST00000014914.6	5	5	4	19	11	14	2	14	18	23	18	13	2	29	6
MSTRG.5915	ENST00000014930.9	28	11	10	21	14	29	8	20	34	37	39	21	3	17	17
MSTRG.28712	ENST00000014935.7	3	3	4	1	6	4	4	6	8	17	7	7	0	13	5
MSTRG.3776	ENST00000016171.6	5	2	2	9	4	4	7	7	3	9	6	2	2	8	3
ENSG00000015568.13	ENST00000016946.8	2	0	2	6	3	4	4	4	5	10	7	5	0	4	2
MSTRG.12148	ENST00000017003.7	6	7	7	4	2	4	5	4	8	15	13	5	0	0	10
MSTRG.28151	ENST00000019019.6	5	10	0	10	6	10	4	6	4	4	3	0	2	3	5
MSTRG.12856	ENST00000019317.8	18	14	13	28	15	17	17	13	38	46	16	22	1	26	11
MSTRG.25972	ENST00000022615.9	25	19	27	48	42	81	26	69	75	64	58	79	22	86	65
MSTRG.17442	ENST00000023939.8	14	19	8	20	10	36	7	24	31	32	33	18	3	29	31
MSTRG.26656	ENST00000024061.7	0	0	0	1	0	0	0	5	3	2	0	5	0	3	2
MSTRG.26020	ENST00000025008.10	5	2	2	0	2	5	5	0	4	3	6	0	0	0	13
MSTRG.5934	ENST00000025399.10	5	4	1	8	5	9	1	5	8	8	3	7	2	6	5
MSTRG.9938	ENST00000026218.9	0	2	0	2	1	0	3	1	3	0	0	3	3	1	0
MSTRG.22843	ENST00000029410.10	13	1	1	4	3	6	5	7	5	7	6	5	0	15	3
MSTRG.8413	ENST00000031146.8	4	7	2	12	4	2	9	8	10	14	7	3	0	7	3
MSTRG.13540	ENST00000034275.12	2	4	6	7	7	9	2	0	11	6	15	7	0	4	5
MSTRG.25538	ENST00000035307.7	21	8	6	10	21	14	13	16	26	20	20	14	4	12	9
MSTRG.10915	ENST00000037243.7	21	21	26	147	68	259	34	200	272	247	237	231	84	279	208
MSTRG.15543	ENST00000037869.8	41	44	40	96	65	135	47	84	155	155	140	134	25	135	111
MSTRG.26065	ENST00000038176.8	6	2	2	3	4	5	6	7	11	8	11	1	0	2	3
MSTRG.4540	ENST00000039989.9	6	0	0	5	5	4	4	2	7	6	9	1	0	5	2
MSTRG.13791	ENST00000040663.8	5	5	6	9	15	7	3	6	6	10	11	8	2	5	8
MSTRG.10722	ENST00000042381.9	13	7	5	7	21	14	6	15	21	22	14	20	4	13	12
MSTRG.9631	ENST00000044462.12	33	32	20	107	72	177	16	105	130	124	138	96	46	144	127
MSTRG.11229	ENST00000046640.9	0	4	6	5	3	2	6	5	3	3	4	5	1	3	2
MSTRG.23841	ENST00000052569.10	4	0	3	10	5	7	5	4	9	5	2	3	0	3	2
MSTRG.11994	ENST00000053867.8	36	27	16	43	45	43	22	41	62	111	50	44	14	62	27
MSTRG.348	ENST00000054650.9	5	8	2	9	6	11	12	11	13	6	9	7	3	4	8
MSTRG.360	ENST00000054666.11	62	56	51	90	92	71	79	86	148	155	121	65	19	113	86
MSTRG.4476	ENST00000054950.4	106	90	51	85	118	66	102	49	115	89	79	49	10	61	36
MSTRG.24805	ENST00000055077.8	9	12	7	15	16	15	3	9	7	21	11	7	0	11	6
MSTRG.24469	ENST00000056233.4	4	6	5	21	8	9	8	3	8	22	10	16	0	13	14
MSTRG.1686	ENST00000060969.6	5	8	6	8	10	17	3	10	18	33	18	7	1	10	9
MSTRG.19982	ENST00000064724.8	93	49	41	95	85	60	69	54	123	104	72	64	8	64	44
MSTRG.5047	ENST00000064778.8	5	4	7	0	2	3	0	2	6	3	5	2	0	2	5
MSTRG.12035	ENST00000066544.8	19	11	10	26	13	10	18	11	24	15	14	18	4	13	15
MSTRG.1167	ENST00000072644.7	6	5	4	1	2	4	3	10	18	14	12	8	0	15	7
MSTRG.25440	ENST00000072869.9	2	3	0	5	3	7	5	9	9	15	7	5	1	2	7
MSTRG.5812	ENST00000075120.12	4	4	4	3	0	6	0	6	4	3	4	11	0	4	5
MSTRG.13325	ENST00000075430.11	11	6	0	15	5	10	7	10	8	11	15	7	2	15	3
MSTRG.6176	ENST00000080059.12	36	13	13	48	36	32	25	37	39	49	43	32	8	30	22
MSTRG.6036	ENST00000081029.8	18	9	7	25	12	25	9	19	28	26	14	20	4	17	25
MSTRG.23171	ENST00000082468.11	0	0	2	3	0	4	0	0	0	4	2	0	0	3	0
MSTRG.12305	ENST00000083182.8	10	2	4	5	7	4	4	1	11	7	6	9	2	8	3
MSTRG.14521	ENST00000084795.9	334	328	231	899	567	1212	381	908	1286	1459	1196	1248	120	1133	988
MSTRG.14525	ENST00000084798.9	2	5	1	4	6	4	4	0	8	4	4	9	0	3	5
MSTRG.14739	ENST00000085079.11	22	17	13	29	27	25	14	23	51	48	25	26	2	23	13
MSTRG.17907	ENST00000155674.9	11	3	1	9	7	4	1	4	8	9	5	10	1	11	2
ENSG00000068308.15	ENST00000156084.8	3	8	3	6	9	10	3	3	11	14	7	12	6	4	4
MSTRG.8936	ENST00000156471.10	8	3	2	12	0	3	4	3	8	8	4	0	2	3	6
MSTRG.13399	ENST00000156825.5	20	17	13	18	18	6	14	7	26	21	23	14	0	10	15
MSTRG.18568	ENST00000157600.8	4	0	4	7	2	0	2	7	16	5	5	6	2	3	2
ENSG00000013275.8	ENST00000157812.7	27	34	20	62	50	46	29	29	46	61	58	34	8	37	37
MSTRG.28717	ENST00000158526.9	0	0	3	2	0	0	0	0	2	4	1	0	0	0	2
ENSG00000072818.12	ENST00000158762.8	1	2	0	1	2	0	0	1	3	2	4	4	0	1	1
MSTRG.11301	ENST00000158771.9	11	7	7	18	11	47	5	24	39	31	39	18	5	43	31
MSTRG.13529	ENST00000159111.9	2	0	3	1	2	1	4	8	7	8	11	5	0	1	1
MSTRG.18504	ENST00000159647.9	0	3	0	4	0	0	0	4	2	3	3	0	0	0	0
MSTRG.13655	ENST00000160262.10	1	0	2	5	1	8	5	20	15	29	11	16	0	21	12
MSTRG.14326	ENST00000160740.7	14	9	11	19	5	20	12	6	18	17	8	15	0	13	8
MSTRG.10367	ENST00000160827.9	3	9	0	15	6	10	4	8	12	16	12	5	4	9	9
MSTRG.22230	ENST00000161863.9	7	4	1	6	3	3	2	1	2	4	1	0	2	7	3
MSTRG.13943	ENST00000162044.14	6	3	2	4	2	2	2	2	8	12	7	2	0	7	3
MSTRG.10912	ENST00000162330.10	38	8	18	21	22	12	23	35	22	31	25	27	5	29	21
MSTRG.5756	ENST00000162749.7	17	15	2	18	16	9	14	20	18	36	9	8	2	8	5
MSTRG.8677	ENST00000163416.7	4	4	0	6	5	3	4	8	8	3	7	2	0	14	8
MSTRG.10134	ENST00000163678.11	5	4	0	3	1	6	3	6	1	12	4	3	0	4	2
MSTRG.14387	ENST00000164227.10	3	3	3	3	3	2	5	3	4	3	0	11	0	3	7
MSTRG.332	ENST00000164247.5	0	0	0	0	1	2	0	0	4	3	3	5	0	2	1
MSTRG.9230	ENST00000164305.10	8	6	5	5	13	5	15	4	9	14	5	3	1	13	0
MSTRG.21493	ENST00000166345.8	16	14	6	7	9	5	8	3	17	19	6	4	1	14	8
MSTRG.22344	ENST00000166534.8	6	5	0	1	2	1	1	2	12	16	2	2	0	2	0
MSTRG.8544	ENST00000167106.9	18	16	12	32	26	24	12	19	48	47	35	23	7	26	45
MSTRG.28206	ENST00000168216.11	17	12	5	23	20	28	9	28	40	55	40	29	8	27	31
MSTRG.20177	ENST00000169298.8	19	10	11	8	13	20	11	12	15	35	17	20	4	11	10
MSTRG.13284	ENST00000169551.11	11	11	6	10	8	22	6	11	12	11	14	11	3	17	9
MSTRG.18645	ENST00000170447.12	2	1	0	8	4	0	1	7	7	4	4	8	0	4	2
MSTRG.10312	ENST00000170630.6	9	5	1	7	12	15	17	12	11	13	1	6	1	9	7
MSTRG.13659	ENST00000171111.10	23	20	5	10	22	15	20	7	38	28	28	18	7	13	14
MSTRG.16628	ENST00000171887.8	6	7	4	9	5	0	2	0	4	22	5	5	0	3	2
MSTRG.14979	ENST00000175091.5	57	39	32	54	53	52	43	41	79	65	36	45	12	42	39
MSTRG.24985	ENST00000175506.8	4	0	0	4	0	3	2	2	6	0	2	2	0	2	0
MSTRG.15967	ENST00000175756.10	10	3	2	7	3	6	5	2	6	11	9	8	1	16	3
MSTRG.11565	ENST00000176643.11	4	0	0	1	0	2	2	2	4	1	5	1	0	1	0
MSTRG.22761	ENST00000176763.10	13	4	3	6	4	7	12	9	4	27	13	11	3	11	9
MSTRG.21040	ENST00000177648.13	0	1	1	0	0	0	0	0	0	4	1	0	0	0	1
MSTRG.9996	ENST00000177742.7	32	21	18	44	45	40	34	23	67	41	39	34	10	31	27
ENSG00000137764.20	ENST00000178640.10	3	3	0	3	6	2	0	2	5	4	2	0	0	0	2
MSTRG.5728	ENST00000179259.6	9	9	2	7	10	16	4	10	19	11	15	7	2	17	7
MSTRG.3035	ENST00000181796.7	26	9	9	26	26	15	15	14	24	23	21	11	3	12	6
MSTRG.24621	ENST00000181839.10	3	0	3	0	2	3	2	2	2	2	0	1	0	2	3
MSTRG.6044	ENST00000182377.8	0	1	2	0	3	1	3	5	2	2	0	0	0	1	0
MSTRG.23463	ENST00000182527.4	25	17	10	24	20	14	16	32	50	49	22	26	6	23	19
MSTRG.19494	ENST00000184266.3	425	619	456	1772	1060	2651	850	2042	2804	2806	2657	2610	513	2607	1858
MSTRG.12291	ENST00000184956.11	3	3	2	3	9	6	0	0	7	11	4	6	0	2	1
MSTRG.15314	ENST00000185150.9	0	2	1	0	2	4	2	1	0	1	1	2	0	3	2
ENSG00000075568.17	ENST00000186436.10	6	5	0	1	6	6	3	2	6	2	1	0	1	3	0
MSTRG.14384	ENST00000187830.2	13	12	4	22	16	10	16	20	25	13	7	19	0	22	9
MSTRG.6823	ENST00000188312.7	4	2	0	4	3	3	0	3	6	8	3	2	0	0	0
MSTRG.6808	ENST00000188376.9	85	51	40	76	76	97	43	59	88	138	84	54	18	86	48
MSTRG.3836	ENST00000189444.11	0	3	0	4	3	0	0	0	4	0	1	0	0	3	0
MSTRG.17331	ENST00000191018.9	3	2	2	5	2	5	1	5	7	6	1	2	1	5	0
MSTRG.23743	ENST00000193322.8	0	0	0	0	0	0	2	0	0	4	1	0	0	0	0
MSTRG.8401	ENST00000193403.10	13	19	5	15	10	16	11	24	16	21	12	12	8	18	14
MSTRG.22540	ENST00000194118.8	3	7	2	7	4	13	7	6	16	8	4	10	0	5	6
MSTRG.1168	ENST00000194214.10	21	25	21	147	58	248	52	151	202	195	211	201	35	215	157
MSTRG.16466	ENST00000194530.8	4	4	0	0	2	0	0	0	3	5	0	0	0	3	0
MSTRG.23535	ENST00000194672.11	0	0	0	0	2	0	0	0	2	5	0	0	0	0	0
MSTRG.460	ENST00000196061.5	36	37	16	44	36	28	24	61	77	95	89	43	7	37	39
MSTRG.7598	ENST00000196169.7	5	4	1	0	5	7	3	3	3	2	0	2	0	4	3
MSTRG.21698	ENST00000196371.10	14	8	3	8	15	11	8	17	13	25	12	7	0	17	7
MSTRG.14836	ENST00000196482.4	0	3	0	2	3	0	4	1	0	0	0	0	0	0	1
MSTRG.14826	ENST00000196551.8	482	594	466	2450	1196	4406	783	3565	4130	4661	4452	4139	920	4479	3856
MSTRG.10209	ENST00000198767.11	5	2	6	7	4	5	7	4	7	9	2	8	1	4	1
MSTRG.13843	ENST00000198939.6	13	6	7	4	8	10	0	8	9	13	3	9	2	4	3
MSTRG.21844	ENST00000199320.9	2	1	1	2	1	4	1	0	6	3	5	2	0	4	2
MSTRG.24327	ENST00000199389.11	15	12	4	16	12	11	11	18	10	13	14	14	1	15	16
MSTRG.9931	ENST00000199706.13	14	5	6	19	18	26	15	25	39	62	24	30	2	26	20
MSTRG.22626	ENST00000199814.9	12	13	2	3	8	4	6	11	11	5	13	11	0	8	10
MSTRG.11010	ENST00000199936.9	0	0	0	8	0	4	0	0	10	2	0	5	0	10	0
MSTRG.5434	ENST00000200135.8	6	1	10	9	6	11	7	5	22	11	5	0	0	5	3
MSTRG.14535	ENST00000200453.6	9	4	3	16	9	11	6	12	17	17	20	11	0	10	3
MSTRG.25067	ENST00000200457.9	27	18	15	26	28	28	15	30	42	33	18	18	3	35	15
MSTRG.28548	ENST00000200639.9	8	6	5	21	16	17	8	16	25	17	26	15	4	23	10
MSTRG.14712	ENST00000201647.11	26	36	25	158	89	262	80	96	96	124	114	96	17	109	92
MSTRG.17116	ENST00000202017.6	3	4	3	6	7	14	5	10	19	14	12	9	6	25	9
MSTRG.17211	ENST00000202028.9	0	0	0	4	0	0	0	2	3	3	0	1	0	4	0
MSTRG.8841	ENST00000202556.14	2	2	0	1	2	2	4	0	3	1	3	3	1	6	5
MSTRG.17042	ENST00000202677.12	9	0	0	3	0	8	0	0	0	4	4	6	0	2	3
MSTRG.6987	ENST00000202773.14	427	397	252	1603	846	3277	336	2195	2480	2774	2569	2187	711	2829	2306
MSTRG.16998	ENST00000202816.5	2	8	4	5	2	9	6	9	7	11	8	5	5	5	0
MSTRG.7004	ENST00000202831.7	2	2	0	2	0	4	7	5	7	6	5	0	0	6	1
MSTRG.16946	ENST00000202834.12	9	8	9	14	12	29	6	19	31	36	32	17	6	28	15
MSTRG.6989	ENST00000202917.10	0	0	0	1	0	0	0	1	0	3	2	3	2	2	3
MSTRG.16954	ENST00000203001.7	2	1	1	5	5	6	4	0	5	0	6	2	0	1	2
ENSG00000249115.9	ENST00000203166.10	0	5	4	4	4	1	3	0	3	0	2	1	0	3	0
MSTRG.18977	ENST00000203407.6	22	35	15	43	46	64	27	48	67	69	52	46	7	41	34
MSTRG.13954	ENST00000203556.9	0	6	0	3	3	0	3	4	4	5	3	4	1	9	2
MSTRG.5781	ENST00000203630.10	12	10	6	26	12	39	11	23	54	34	42	33	5	21	25
MSTRG.10116	ENST00000204517.11	0	0	0	0	0	4	3	7	10	11	10	2	0	4	2
MSTRG.9397	ENST00000204566.7	13	11	5	26	11	5	11	11	20	24	10	14	0	9	17
MSTRG.14559	ENST00000204637.6	0	0	0	2	5	2	0	1	0	2	0	1	0	2	0
MSTRG.9975	ENST00000204679.9	6	4	2	15	5	9	5	6	15	5	5	10	2	10	9
MSTRG.7222	ENST00000204726.9	13	9	9	8	5	7	11	13	26	11	15	9	3	10	8
MSTRG.10895	ENST00000205061.9	16	9	10	11	13	9	13	13	22	17	11	8	0	16	8
MSTRG.14257	ENST00000205135.8	4	2	2	5	3	2	0	4	0	3	0	0	0	0	0
MSTRG.14261	ENST00000205143.4	3	0	2	5	2	2	2	9	14	13	10	6	2	12	14
MSTRG.14731	ENST00000205194.5	24	10	8	15	9	5	5	12	22	27	22	14	2	16	15
MSTRG.20688	ENST00000205214.11	4	3	2	3	0	4	2	0	2	7	3	2	0	0	2
MSTRG.25175	ENST00000205402.10	13	11	5	18	10	13	9	10	19	15	10	11	5	9	6
MSTRG.18796	ENST00000205636.4	16	15	9	17	13	14	10	21	33	22	18	23	5	15	13
MSTRG.11277	ENST00000206020.8	32	26	7	19	23	48	18	35	67	49	58	21	4	30	35
MSTRG.11978	ENST00000206380.8	4	14	8	22	14	12	4	22	25	18	21	10	4	13	19
MSTRG.19408	ENST00000206423.8	16	19	9	15	8	12	12	15	25	6	20	12	0	19	11
ENSG00000092010.15	ENST00000206451.11	38	34	20	172	91	378	45	238	323	289	295	298	80	360	305
MSTRG.7942	ENST00000206474.11	11	6	8	24	12	4	7	6	14	12	14	12	3	8	13
ENSG00000092094.11	ENST00000206542.9	8	5	8	9	10	16	6	4	9	8	3	6	0	7	4
MSTRG.8005	ENST00000206595.11	7	5	5	4	8	5	0	3	0	4	3	0	0	0	0
MSTRG.17976	ENST00000207636.9	13	3	3	7	10	5	9	8	12	17	11	9	0	7	7
MSTRG.18842	ENST00000207870.8	0	3	0	5	1	4	0	4	6	0	2	6	0	2	0
MSTRG.11875	ENST00000209728.9	6	10	4	18	5	10	16	7	3	3	9	3	0	7	4
ENSG00000094914.14	ENST00000209873.9	5	3	3	9	9	17	4	3	15	24	6	5	0	6	4
MSTRG.6364	ENST00000209875.9	29	29	21	63	33	104	23	46	96	66	59	65	18	43	51
MSTRG.2245	ENST00000209884.5	2	5	0	6	3	2	1	0	2	1	6	0	0	7	0
MSTRG.13746	ENST00000210060.12	10	3	2	9	9	22	3	16	27	8	23	16	5	13	21
MSTRG.27504	ENST00000210313.8	4	5	4	8	7	9	8	10	9	18	12	12	0	17	7
MSTRG.27370	ENST00000210444.6	46	27	22	52	31	31	17	37	43	36	30	25	7	31	39
MSTRG.23465	ENST00000211314.5	6	7	12	45	21	93	6	53	76	79	62	54	24	76	67
MSTRG.77	ENST00000211372.9	2253	3030	2797	10275	6683	17172	4647	16594	20459	23863	21789	20625	3763	20446	16352
ENSG00000204463.14	ENST00000211379.9	3	3	1	3	0	3	2	3	2	4	8	3	0	2	0
ENSG00000096171.14	ENST00000211402.10	17	6	5	25	7	7	10	9	12	9	6	21	1	6	8
MSTRG.3545	ENST00000211998.10	27	20	12	34	13	34	17	19	24	28	32	24	4	35	18
ENSG00000096717.12	ENST00000212015.11	3	0	3	5	4	2	0	2	0	0	3	0	0	0	0
MSTRG.26770	ENST00000214893.10	0	0	2	1	0	1	1	1	2	6	1	3	0	1	1
MSTRG.13873	ENST00000215061.9	1	0	0	1	2	0	0	2	4	4	5	2	0	0	0
MSTRG.14231	ENST00000215071.9	40	36	29	137	76	307	39	259	318	300	255	190	56	220	195
MSTRG.10431	ENST00000215115.5	33	16	20	45	21	37	13	23	33	42	41	47	13	29	26
MSTRG.13378	ENST00000215375.7	21	20	18	29	40	26	20	22	32	32	23	21	6	32	15
MSTRG.13609	ENST00000215555.7	9	0	0	0	3	10	7	3	15	12	4	13	2	7	2
MSTRG.13809	ENST00000215565.3	30	30	28	58	53	82	35	79	127	120	102	59	7	57	68
MSTRG.13808	ENST00000215567.10	14	16	7	65	26	106	8	72	82	98	76	76	23	59	60
MSTRG.13422	ENST00000215570.8	240	242	238	560	489	757	345	710	1093	1215	1066	858	131	816	686
MSTRG.13342	ENST00000215574.9	24	12	2	12	17	15	15	11	15	19	17	9	3	15	12
MSTRG.13365	ENST00000215587.11	20	27	9	30	35	47	27	40	66	81	52	31	2	48	25
MSTRG.13438	ENST00000215631.9	15	7	8	13	6	9	4	14	25	6	17	6	1	13	20
MSTRG.18511	ENST00000215659.13	15	5	5	14	7	4	12	2	19	15	13	7	2	9	0
MSTRG.17996	ENST00000215727.10	0	0	0	5	3	8	1	7	5	4	5	4	3	12	12
MSTRG.17997	ENST00000215730.12	17	20	6	22	13	20	13	34	23	44	40	33	3	32	23
MSTRG.18003	ENST00000215742.9	2	3	5	5	7	6	8	0	10	13	5	0	1	2	4
MSTRG.18050	ENST00000215754.8	357	999	1325	1484	2850	5013	2318	5678	8912	9219	6812	3190	243	2049	4656
MSTRG.17934	ENST00000215794.8	13	3	8	15	8	6	7	11	10	16	13	5	0	5	6
MSTRG.18065	ENST00000215829.8	95	156	109	668	277	1019	182	714	930	976	966	865	203	1121	805
MSTRG.18016	ENST00000215832.11	31	16	12	22	21	18	19	13	27	12	23	11	0	21	12
MSTRG.18163	ENST00000215838.8	3	0	1	10	2	5	1	1	8	3	4	2	0	3	1
MSTRG.18178	ENST00000215862.8	3	3	4	0	2	6	3	0	3	7	5	5	0	2	0
MSTRG.17948	ENST00000215882.10	18	6	7	7	9	14	5	19	22	25	24	25	2	7	16
MSTRG.18285	ENST00000215904.7	6	4	4	0	5	8	0	3	0	8	3	2	0	0	4
MSTRG.18287	ENST00000215909.10	4115	5237	4016	15443	9808	23324	7006	16203	21180	23736	21214	18511	3188	18386	15310
MSTRG.18191	ENST00000215912.10	0	5	0	8	0	4	2	0	3	2	5	0	0	0	0
MSTRG.18092	ENST00000215917.11	14	7	7	22	8	0	10	13	11	9	11	5	2	2	11
MSTRG.18194	ENST00000215919.3	0	0	0	2	4	0	0	0	0	0	0	0	1	0	0
MSTRG.18291	ENST00000215941.9	12	2	3	2	2	5	7	7	4	0	3	3	0	4	2
MSTRG.18394	ENST00000215956.10	107	132	99	632	331	872	250	645	909	934	808	811	161	816	643
MSTRG.18294	ENST00000215957.10	8	8	6	11	8	10	18	11	11	15	6	6	2	9	5
MSTRG.18398	ENST00000215980.10	5	7	8	18	21	54	20	39	58	62	35	24	4	16	40
MSTRG.18306	ENST00000216014.9	6	5	2	8	3	2	5	5	10	6	6	4	0	6	6
MSTRG.18307	ENST00000216019.11	3	4	6	0	3	4	4	5	8	5	2	2	0	0	0
MSTRG.18122	ENST00000216027.8	9	6	3	19	12	35	6	25	43	37	26	25	7	21	26
MSTRG.18312	ENST00000216029.8	14	13	0	20	13	17	6	6	20	18	14	18	6	15	10
MSTRG.18315	ENST00000216034.6	45	52	30	110	66	188	60	152	167	209	165	132	24	161	180
MSTRG.18124	ENST00000216037.10	13	4	4	12	12	21	9	11	13	46	21	13	0	15	11
MSTRG.18226	ENST00000216038.6	40	35	23	23	25	50	25	26	45	45	35	22	5	27	17
MSTRG.18316	ENST00000216039.9	23	13	14	15	14	12	4	6	23	24	13	6	0	14	4
MSTRG.18517	ENST00000216061.9	2	2	1	0	0	2	4	3	8	3	5	1	0	0	6
MSTRG.18320	ENST00000216068.9	2	1	1	5	12	1	6	4	4	5	5	3	0	1	0
MSTRG.18516	ENST00000216080.5	9	21	11	13	17	8	12	7	9	20	15	5	3	9	5
MSTRG.18325	ENST00000216083.6	3	3	3	3	4	3	3	8	13	11	7	12	0	8	3
MSTRG.18328	ENST00000216099.13	0	0	4	3	5	6	5	3	8	0	3	7	0	2	2
MSTRG.18241	ENST00000216106.6	7	1	1	2	2	4	1	1	0	2	2	0	2	6	1
MSTRG.18244	ENST00000216117.9	18	9	13	6	3	3	8	15	16	34	11	4	0	4	2
MSTRG.18145	ENST00000216121.12	4	14	9	14	16	7	13	10	20	11	10	19	0	18	19
MSTRG.18243	ENST00000216122.9	20	18	9	25	27	33	14	11	32	17	21	23	2	42	9
MSTRG.18526	ENST00000216124.10	1	2	0	0	0	4	2	3	7	15	7	8	0	8	4
MSTRG.18428	ENST00000216129.7	9	7	4	11	4	8	5	9	31	24	15	13	4	4	6
MSTRG.18341	ENST00000216146.9	672	369	260	895	603	1080	372	786	1070	1219	979	743	229	902	797
MSTRG.18344	ENST00000216160.11	7	3	3	0	3	3	6	8	2	8	6	4	0	10	1
MSTRG.18435	ENST00000216180.8	0	0	0	0	3	3	0	0	0	0	2	0	0	0	0
MSTRG.18255	ENST00000216181.11	158	112	66	166	134	152	119	160	251	280	233	158	29	175	143
MSTRG.18260	ENST00000216185.7	20	12	18	66	40	111	18	69	88	117	82	86	23	110	93
MSTRG.18264	ENST00000216190.13	50	32	41	68	65	52	47	60	98	100	82	54	14	70	52
MSTRG.18355	ENST00000216194.11	6	7	6	6	7	3	5	6	12	8	4	8	0	8	8
ENSG00000100376.12	ENST00000216214.7	0	0	0	2	0	4	0	0	0	0	0	6	0	0	0
MSTRG.18371	ENST00000216218.8	80	65	58	144	94	135	79	100	144	157	157	117	29	163	105
MSTRG.18372	ENST00000216225.9	416	609	566	2385	1266	3304	958	2196	3065	3171	2965	2873	540	3252	2313
