gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.16880	ENST00000697810.1	3	3	2	5	3	0	3	3	4	0	0	0	1	3	1
MSTRG.17536	ENST00000697815.1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
MSTRG.18862	ENST00000697816.1	171	215	107	1005	453	2054	171	1194	1535	1534	1395	1238	441	1653	1419
ENSG00000204351.13	ENST00000697831.1	0	2	2	2	3	2	1	1	4	3	2	3	0	0	1
ENSG00000204351.13	ENST00000697835.1	0	0	0	2	3	0	2	0	4	7	4	3	1	0	1
ENSG00000204351.13	ENST00000697838.1	0	0	0	0	2	2	1	0	5	3	4	2	1	0	2
MSTRG.3475	ENST00000697843.1	1	0	0	0	3	0	0	2	0	2	2	0	0	0	0
ENSG00000137700.19	ENST00000697849.1	0	0	0	0	2	0	0	1	0	3	0	0	0	2	0
ENSG00000137700.19	ENST00000697850.1	0	0	0	1	3	0	0	1	0	3	0	0	0	1	0
MSTRG.24767	ENST00000697860.1	8	11	7	8	11	7	7	10	14	11	12	6	0	8	7
MSTRG.24767	ENST00000697861.1	14	9	6	13	11	8	6	8	14	9	15	7	0	7	5
MSTRG.24767	ENST00000697862.1	10	12	3	9	5	11	7	10	12	12	16	4	0	5	7
MSTRG.24767	ENST00000697863.1	11	7	7	9	10	9	6	9	16	7	10	3	1	5	6
MSTRG.24767	ENST00000697864.1	15	11	7	11	11	12	10	12	19	13	16	7	2	14	12
MSTRG.24767	ENST00000697865.1	6	6	6	11	10	6	8	9	19	10	13	4	0	7	8
MSTRG.24767	ENST00000697866.1	1	1	0	3	2	6	1	2	1	5	0	2	0	5	3
MSTRG.24767	ENST00000697868.1	14	13	6	15	10	7	6	13	15	13	13	4	0	9	8
MSTRG.28169	ENST00000697892.1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
MSTRG.28169	ENST00000697896.1	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0
MSTRG.16607	ENST00000697898.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
MSTRG.16607	ENST00000697899.1	1	0	0	7	3	0	0	0	5	0	1	0	0	5	0
MSTRG.16607	ENST00000697900.1	1	1	0	0	0	0	1	0	0	0	0	0	0	4	0
MSTRG.16607	ENST00000697901.1	1	1	0	4	2	0	1	2	5	0	1	0	0	5	0
MSTRG.16607	ENST00000697903.1	0	2	0	7	4	0	1	0	4	0	1	0	0	5	0
MSTRG.16607	ENST00000697904.1	2	0	0	5	2	0	3	2	4	0	1	0	0	3	0
MSTRG.16607	ENST00000697905.1	0	0	0	6	3	0	2	1	10	0	2	0	0	0	0
MSTRG.16607	ENST00000697906.1	0	1	0	9	3	0	1	0	8	0	3	0	0	0	0
MSTRG.16607	ENST00000697907.1	2	2	0	6	2	0	2	1	5	0	1	0	0	3	0
MSTRG.16607	ENST00000697909.1	0	1	1	5	0	0	0	1	9	0	4	0	0	2	0
MSTRG.16607	ENST00000697910.1	2	0	0	6	0	0	2	2	5	0	4	0	0	1	0
MSTRG.8470	ENST00000697912.1	3	2	0	4	0	2	0	0	5	4	4	1	0	1	1
MSTRG.8470	ENST00000697913.1	2	1	0	0	0	3	1	0	1	3	0	1	0	1	0
MSTRG.8470	ENST00000697915.1	2	0	0	1	0	0	1	0	1	3	0	2	0	0	0
MSTRG.3468	ENST00000697924.1	2	0	0	0	1	0	0	2	4	0	0	1	0	0	0
MSTRG.3468	ENST00000697925.1	0	1	0	0	0	0	0	2	7	0	0	1	0	0	0
MSTRG.3468	ENST00000697926.1	2	1	0	0	2	0	0	2	4	0	0	2	0	0	0
MSTRG.3468	ENST00000697927.1	0	2	0	0	2	0	0	3	5	0	1	0	0	0	0
MSTRG.3468	ENST00000697928.1	0	1	0	0	1	0	0	2	4	0	0	2	0	0	0
MSTRG.3468	ENST00000697930.1	1	1	0	0	1	0	0	3	5	0	0	2	0	1	0
MSTRG.3468	ENST00000697931.1	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0
MSTRG.3468	ENST00000697932.1	0	3	0	0	0	0	0	2	6	0	1	1	0	0	0
MSTRG.17574	ENST00000697948.1	2	0	1	0	0	0	0	1	0	0	0	4	0	0	0
MSTRG.17574	ENST00000697952.1	0	0	1	0	0	0	0	0	0	1	1	3	0	2	0
MSTRG.12366	ENST00000697953.1	7	4	4	12	8	11	9	8	12	7	2	8	3	12	6
MSTRG.8073	ENST00000697954.1	15	10	0	12	21	8	16	7	13	18	10	7	0	7	9
MSTRG.8073	ENST00000697955.1	14	10	0	13	21	8	16	7	13	18	10	7	0	7	9
MSTRG.8073	ENST00000697956.1	15	10	0	13	21	8	16	7	13	18	11	7	0	6	9
MSTRG.8073	ENST00000697957.1	15	10	0	14	21	8	16	7	13	18	11	7	0	7	10
