gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.1881	MSTRG.1881	27	29	9	54	42	60	52	26	34	36	30	37	0	74	17
MSTRG.18810	MSTRG.18810	1	10	18	1	30	1	13	29	37	45	15	19	1	22	55
MSTRG.18811		24	24	15	66	24	12	30	42	36	52	27	18	1	33	15
MSTRG.18813	MSTRG.18813	0	6	1	0	1	0	6	1	5	22	0	2	0	6	1
MSTRG.18814	MSTRG.18814	57	61	18	36	40	62	42	31	82	128	41	35	1	63	56
MSTRG.18815	MSTRG.18815	1	1	0	0	2	1	0	1	1	0	0	3	0	2	13
MSTRG.18817		3	6	1	3	4	3	0	1	0	4	1	1	0	2	1
MSTRG.18818	MSTRG.18818	47	5	15	50	1	50	34	14	19	23	20	39	4	38	10
MSTRG.1882	MSTRG.1882	27	12	15	37	19	43	18	21	13	20	27	6	1	18	9
MSTRG.18820	MSTRG.18820	72	39	41	64	34	63	66	71	136	99	100	35	0	45	21
MSTRG.18825		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.18827		0	0	0	0	0	0	0	0	2	0	1	1	0	0	0
MSTRG.18828		0	0	0	1	0	2	0	2	0	0	0	0	0	1	0
MSTRG.18829	MSTRG.18829	9	30	15	76	74	48	24	18	41	22	72	0	0	1	28
MSTRG.1883		0	0	0	1	0	0	9	4	1	1	5	13	0	6	1
MSTRG.18830		0	0	0	0	0	0	0	0	6	0	1	0	0	0	0
MSTRG.18832	MSTRG.18832	30	14	40	25	14	12	7	29	55	53	20	18	4	15	16
MSTRG.18834		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MSTRG.18835		8	0	0	0	0	0	0	0	24	1	0	0	0	3	0
MSTRG.18836		0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MSTRG.18838		18	22	20	10	35	1	44	71	66	101	34	66	14	37	43
MSTRG.18839	MSTRG.18839	1	1	29	28	0	1	10	7	15	1	16	0	0	17	12
MSTRG.18841	MSTRG.18841	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
MSTRG.18842	MSTRG.18842	9	14	16	36	13	29	16	16	44	39	44	52	1	26	20
MSTRG.18843		23	1	17	23	35	41	9	7	90	48	29	54	1	9	8
MSTRG.18844	MSTRG.18844	16	5	1	21	6	1	1	5	0	9	7	18	0	12	5
MSTRG.18848	MSTRG.18848	18	3	12	0	9	29	0	1	0	35	23	53	10	36	36
MSTRG.18849	MSTRG.18849	0	0	0	4	1	6	0	2	0	6	0	9	0	9	2
MSTRG.1885	MSTRG.1885	0	0	0	0	0	0	0	3	0	0	0	6	0	0	2
MSTRG.18852	MSTRG.18852	20	11	0	23	7	20	20	22	12	8	16	6	0	10	13
