gene_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
ENSG00000000005.6	0	0	0	0	0	0.11969999828829	0	0	0	0	0	0	0	0	0
ENSG00000000938.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233818694178709	0
ENSG00000000971.17	17.5235617109322	6.16675396049495	23.5517843489082	8.18245618452068	10.5519313300408	3.5909999486487	1.0092120879387	3.27402194547146	9.2901995848145	6.32219089002398	9.06600539223336	1.65549757635155	0	5.49473931319967	2.73984195982722
ENSG00000002586.20	160.703883007573	130.324067031793	154.45588805563	120.848583648305	133.155323926705	159.440397720002	128.169935168215	161.915267121498	171.652641165933	146.213208361348	153.782116465758	122.152071169368	167.566776323392	142.278675407745	140.036366835613
ENSG00000002587.10	0	0	0	0.157354926625398	0	0.11969999828829	0.672808058625803	0	0	0	0	0	0	0	0.152213442212623
ENSG00000003096.15	10.2576946600579	4.93340316839596	0	2.83238867925716	0	0.11969999828829	0	1.78583015207534	1.29630691881133	1.20422683619504	0	0	0	0	1.82656130655148
ENSG00000003137.9	0	0	0	0	0.251236460239067	0.11969999828829	0	0	0	0	0	0	0	0	0
ENSG00000004660.15	0	1.64446772279865	0	0	2.00989168191253	0	0	0.297638358679224	0	1.60563578159339	0	0	0	0	0
ENSG00000004776.13	2.56442366501447	1.64446772279865	0.547715915090888	0.157354926625398	0.251236460239067	0.11969999828829	0.336404029312901	0.446457538018836	0.648153459405663	0.200704472699174	0	0.118249826882253	0	0	0
ENSG00000004777.19	0	0.411116930699663	0	0	0	0	0	0	0.10802557656761	0	0.113325067402917	0	0	0	0
ENSG00000004838.14	0	0.411116930699663	0	0	0.251236460239067	0	0	0	0	0.100352236349587	0.113325067402917	0	0	0.116909347089355	0
ENSG00000004948.16	0	0	1.09543183018178	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700.15	8.97548282755063	5.34452009909563	10.9543183018178	1.88825911950477	6.53214796621573	0.11969999828829	5.38246446900642	4.46457538018836	3.67286960329876	0.702465654447109	1.47322587623792	1.53724774946929	2.5680732003585	1.40291216507226	0.152213442212623
ENSG00000005981.13	0.427403944169078	0	1.09543183018178	0	0.251236460239067	0	0	0	0.10802557656761	0	0	0	0	0	0
ENSG00000006071.16	0.427403944169078	0	0	0	0.251236460239067	0	1.34561611725161	0	0	0	0.226650134805834	0	0	0.116909347089355	0.152213442212623
ENSG00000006210.7	0	0	0	0	0	0	0.336404029312901	0	0	0	0	1.06424844194028	0	0.116909347089355	0
