Ensayo de Compresion - Specimen_RawData_1
C10: 3.1803, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
0.99984176 0.00195213
0.99968096 0.00201281
0.99956355 0.00199515
0.99948188 0.00142001
0.99940276 0.00084497
0.99932363 0.00052262
0.99924451 0.00234289
0.99916284 0.00299587
0.99908372 0.00010450
0.99896376 0.00236836
0.99888464 0.00074876
0.99876468 0.00111430
0.99864472 0.00180181
0.99852476 0.00053091
0.99844564 0.00028719
0.99832568 0.00294986
0.99820572 0.00006960
0.99812660 0.00141808
0.99800664 0.00130483
0.99788668 0.00125248
0.99780755 0.00132196
0.99768760 0.00333929
0.99760847 0.00230428
0.99748851 0.00020866
0.99736856 0.00454659
0.99724860 0.00497197
0.99716947 0.00305074
0.99704952 0.00488407
0.99692956 0.00696895
0.99685043 0.00550000
0.99673047 0.00615960
0.99665135 0.00429140
0.99653139 0.00501182
0.99645227 0.00741725
0.99633231 0.01085533
0.99625319 0.00844043
0.99613323 0.01029748
0.99605156 0.00725800
0.99593415 0.00868079
0.99581419 0.00775969
0.99569423 0.00929489
0.99561511 0.01142894
0.99549515 0.01082885
0.99541348 0.01224219
0.99529607 0.01551131
0.99521440 0.01139832
0.99509444 0.01647960
0.99497703 0.01509006
0.99485707 0.01459397
0.99477540 0.01656102
0.99469627 0.01827637
0.99461715 0.01980938
0.99449719 0.01640903
0.99441807 0.01782054
0.99429811 0.01787906
0.99417815 0.01804154
0.99405819 0.01899246
0.99393823 0.01983051
0.99381827 0.02195906
0.99370087 0.02307377
0.99358091 0.02481171
0.99346095 0.02286904
0.99338183 0.02574186
0.99326187 0.02331465
0.99314191 0.02642816
0.99306279 0.02620100
0.99294283 0.02425052
0.99282287 0.02676581
0.99274375 0.02804432
0.99262379 0.02785059
0.99250383 0.02983693
0.99242471 0.02820831
0.99230475 0.02864601
0.99222563 0.03121232
0.99210567 0.03241919
0.99202399 0.03113681
0.99190658 0.03429744
0.99178663 0.03641123
0.99166667 0.03092679
0.99154671 0.03343803
0.99142675 0.03540425
0.99130679 0.03724902
0.99118683 0.03663975
0.99106687 0.03774103
0.99094946 0.03815115
0.99082950 0.04001197
0.99070955 0.04043026
0.99063042 0.03901959
0.99051046 0.03971418
0.99042879 0.04028931
0.99030883 0.04201078
0.99019142 0.04216978
0.99010975 0.04306383
0.98999234 0.04529363
0.98987238 0.04572817
0.98975242 0.04220285
0.98963247 0.04654517
0.98951251 0.04689315
0.98943338 0.04584588
0.98931343 0.04773740
0.98923430 0.04851822
0.98911434 0.04865028
0.98903522 0.04673260
0.98891526 0.04969208
0.98883359 0.05153242
0.98871363 0.04929414
0.98863451 0.05157375
0.98851455 0.04928422
0.98843543 0.05002981
0.98831547 0.05460660
0.98819551 0.05183508
0.98811639 0.05587027
0.98799643 0.05406366
0.98791730 0.05353406
0.98779735 0.05721259
0.98771822 0.05804310
0.98763910 0.05485330
0.98755743 0.05633791
0.98747831 0.05593747
0.98735835 0.05596510
0.98723839 0.05807513
0.98711843 0.05891126
0.98703931 0.06025725
0.98691935 0.06092090
0.98679939 0.06267674
0.98668198 0.06455271
0.98656202 0.06370215
0.98644206 0.06494972
0.98636294 0.06471239
0.98624298 0.06459276
0.98616131 0.06573923
0.98604390 0.06548216
0.98596223 0.06917210
0.98584227 0.06672332
0.98572486 0.06958504
0.98560490 0.07058169
0.98552323 0.07108265
0.98540582 0.07116866
0.98528586 0.07310947
0.98520419 0.07329233
0.98508678 0.07258811
0.98496682 0.07299136
0.98484686 0.07466496
0.98472690 0.07443271
0.98464778 0.07462412
0.98452782 0.07638280
0.98440786 0.07700843
0.98428790 0.08097983
0.98420878 0.08055297
0.98408882 0.08225867
0.98396886 0.07870654
0.98384890 0.08223861
0.98376978 0.08084289
0.98364982 0.07968415
0.98357070 0.08098941
0.98345074 0.08190531
0.98337162 0.08578152
0.98325166 0.08265148
0.98313170 0.08644612
0.98301174 0.08599860
0.98293262 0.08713972
0.98281266 0.08757454
0.98269270 0.09001355
0.98257274 0.08934311
0.98245278 0.08894685
0.98233282 0.09221533
0.98225370 0.09189112
0.98213374 0.09342079
0.98205462 0.09422645
0.98193466 0.09409511
0.98181470 0.09458853
0.98173558 0.09670305
0.98161562 0.09645166
0.98153650 0.09664922
0.98141654 0.09665451
0.98129658 0.10091075
0.98117662 0.09850381
0.98105921 0.10157043
0.98097754 0.10164748
0.98085758 0.10520014
0.98077846 0.10390935
0.98065850 0.10200761
0.98057938 0.10464039
0.98045942 0.10681534
0.98033946 0.10504203
0.98026034 0.10556329
0.98014038 0.10699416
0.98006126 0.10813021
0.97998213 0.10799336
0.97990046 0.11097372
0.97982134 0.11084520
0.97970138 0.10900421
0.97958142 0.11126204
0.97946146 0.11252900
0.97938234 0.11287845
0.97926238 0.11423030
0.97914242 0.11619629
0.97902501 0.11626769
0.97890505 0.11720054
0.97882338 0.11841932
0.97870597 0.11835393
0.97858601 0.11724764
0.97850434 0.12059823
0.97838693 0.12031939
0.97826697 0.12033875
0.97818530 0.12159056
0.97806789 0.12409939
0.97798622 0.12356051
0.97786626 0.12261632
0.97774885 0.12408447
0.97766718 0.12431271
0.97754722 0.12705811
0.97742981 0.12590124
0.97730985 0.12560468
0.97722818 0.12676963
0.97711077 0.12871324
0.97699081 0.13343216
0.97691169 0.13042408
0.97679173 0.13094444
0.97667177 0.13146467
0.97655181 0.13626623
0.97647269 0.13517427
0.97635273 0.13668098
0.97623277 0.13541335
0.97615365 0.14109448
0.97603369 0.13698512
0.97595202 0.13944908
0.97583461 0.14161824
0.97571465 0.14167738
0.97559469 0.14297800
0.97551557 0.14266881
0.97539561 0.14260025
0.97527565 0.14271873
0.97515569 0.14520008
0.97503573 0.14579412
0.97491577 0.14597163
0.97475753 0.14992416
0.97467586 0.14923196
0.97455845 0.14914603
0.97447677 0.14986399
0.97439765 0.15166934
0.97427769 0.15142138
0.97419857 0.15526416
0.97407861 0.15370829
0.97399949 0.15665019
0.97392037 0.15549146
0.97380041 0.15689827
0.97371873 0.15798844
0.97360133 0.15718867
0.97351965 0.15995022
0.97340225 0.16162781
0.97332057 0.16183482
0.97320061 0.16492800
0.97312149 0.16290437
0.97300153 0.16414795
0.97288157 0.16407683
0.97276417 0.16753335
0.97264421 0.16950497
0.97252425 0.17046737
0.97240429 0.17159056
0.97232517 0.17289023
0.97220521 0.17352139
0.97208525 0.17578767
0.97200613 0.17646809
0.97188617 0.17830150
0.97176621 0.17766964
0.97168709 0.17837508
0.97156713 0.18229933
0.97144717 0.18276793
0.97136804 0.18415851
0.97124809 0.18745429
0.97112813 0.18735496
0.97104900 0.18984500
0.97092905 0.19170030
0.97080909 0.19621214
0.97072996 0.19644998
0.97061001 0.19921753
0.97049005 0.20460668
0.97037009 0.20520727
0.97029096 0.21157579
0.97017101 0.21660646
0.97005105 0.22068890
0.96993109 0.22586091
0.96981113 0.22970449
0.96969117 0.23795909
0.96957376 0.24223185
0.96941297 0.24835146
0.96933384 0.25237823
0.96921388 0.25687507
0.96913476 0.26162677
0.96901480 0.26453365
0.96893313 0.26802466
0.96881572 0.27108284
0.96873405 0.27376197
0.96861664 0.27794169
0.96849668 0.28099691
0.96841501 0.28657799
0.96829505 0.29112535
0.96817764 0.29591708
0.96805768 0.29685076
0.96797601 0.30336447
0.96785860 0.30652495
0.96777693 0.30843922
0.96765697 0.31368087
0.96753956 0.31664507
0.96745789 0.31872648
0.96734048 0.32333360
0.96722052 0.32678374
0.96713885 0.33000162
0.96701889 0.33461336
0.96690148 0.33839050
0.96678152 0.34244389
0.96670240 0.34488468
0.96658244 0.35107635
0.96650077 0.35101299
0.96642164 0.35296379
0.96634252 0.35651461
0.96622256 0.35929166
0.96614344 0.36295912
0.96602348 0.36738512
0.96594436 0.36929990
0.96582440 0.37220046
0.96570444 0.37412388
0.96562532 0.37921053
0.96554364 0.38264581
0.96546452 0.38524000
0.96534456 0.38794357
0.96522460 0.39116806
0.96510465 0.39820242
0.96498724 0.39825491
0.96486728 0.40482407
0.96474732 0.40722075
