ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0016469,proton-transporting two-sector ATPase complex,10/254,22/2171,0.454545455,3.885110952,4.949841823,7.26E-05,0.001076555,0.000940469,ATP5MG/RNASEK/ATP5F1C/ATP5MC1/ATP6V0E1/ATP5ME/ATP5PB/ATP6V1G1/ATP5PO/ATP5PD,10,,,
GO:0019866,organelle inner membrane,43/254,198/2171,0.217171717,1.856219677,4.599280802,1.70E-05,0.000289429,0.000252843,NDUFC2/COX6A1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/COX7C/ATP5MG/COX7A2/COX4I1/UQCRB/ATP5F1C/NDUFS4/MRPL43/COX5B/ATP5MC1/MRPL51/MRPL47/MRPL18/NDUFB9/TMEM126A/NDUFB10/ATP5ME/NDUFB8/ATP5PB/UQCC2/NDUFS8/NDUFB4/NDUFAF2/MRPL32/ATP5PO/IFI27/NDUFB5/TMEM14C/COX6B1/NDUFAB1/ATP5PD/MRPL27/NDUFA12/TIMM13/MRPS15,43,,,
GO:0022625,cytosolic large ribosomal subunit,30/254,50/2171,0.6,5.128346457,10.74797069,1.26E-16,1.08E-14,9.40E-15,RPL34/RPL23/RPL17/RPLP2/RPL14/RPL7/RPL6/RPL26/RPL18A/RPL23A/RPL21/RPL5/RPL27/RPL28/RPL15/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/RPL7A/RPL35A/RPL18/RPL10A/RPL19/UBA52/RPL4,30,,,
GO:0022626,cytosolic ribosome,53/254,89/2171,0.595505618,5.089931876,14.33858793,6.75E-29,2.30E-26,2.01E-26,RPL34/RPS9/RPS20/RPL23/RPL17/RPLP2/RPS11/RPS3/RPL14/RPL7/RPL6/RPL26/RPL18A/RPS25/RPS16/RPL23A/RPL21/RPL5/RPS24/RPS18/RPS29/RPS5/RPS17/RPL27/RPS3A/RPL28/RPS7/RPL15/RACK1/RPS15A/RPS6/RPS13/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/RPS8/RPL7A/RPL35A/RPL18/RPS27L/RPS28/RPS27A/RPL10A/RPL19/UBA52/RPS27/FAU/RPL4,53,,,
GO:0022627,cytosolic small ribosomal subunit,23/254,35/2171,0.657142857,5.616760405,10.0208925,3.36E-14,1.91E-12,1.67E-12,RPS9/RPS20/RPS11/RPS3/RPS25/RPS16/RPS24/RPS18/RPS29/RPS5/RPS17/RPS3A/RPS7/RACK1/RPS15A/RPS6/RPS13/RPS8/RPS27L/RPS28/RPS27A/RPS27/FAU,23,,,
GO:0030054,cell junction,65/254,411/2171,0.158150852,1.351753932,2.882300167,0.003272505,0.030997899,0.027079504,RPL34/RPS9/RPS20/RPL23/RPLP2/RPS11/RPS3/CD59/RPL14/RPL7/NEDD8/RPL6/RPL26/RPS25/B2M/RAB11A/PSMA3/RPS16/GTF2A2/CALM3/RPL5/FABP5/RPS18/RPS29/TPM4/RPS5/RPS17/RPL27/RPS3A/RPL28/RPS7/RPL15/ARPC3/HSPB1/RPS15A/RPS13/ANXA5/RPL27A/RPLP1/RPL31/RPL37/RPL12/RPL30/RPS8/RPL7A/RPL35A/RPL18/PARK7/RPS28/RPS27A/S100A11/GABARAP/PPIB/RPL10A/ATP6V1G1/RPL19/CDC42/ARL2/HSPA8/NQO1/NPM1/YWHAE/ACTG1/RPS27/RPL4,65,,,
GO:0030055,cell-substrate junction,40/254,178/2171,0.224719101,1.92072901,4.665775599,1.48E-05,0.00026496,0.000231467,RPS9/RPL23/RPLP2/RPS11/RPS3/CD59/RPL7/RPL6/B2M/RPS16/RPL5/RPS18/RPS29/TPM4/RPS5/RPS17/RPL27/RPS3A/RPS7/ARPC3/HSPB1/RPS13/ANXA5/RPLP1/RPL31/RPL12/RPL30/RPS8/RPL7A/RPL18/PPIB/RPL10A/RPL19/CDC42/ARL2/HSPA8/NPM1/YWHAE/ACTG1/RPL4,40,,,
GO:0030684,preribosome,16/254,35/2171,0.457142857,3.907311586,6.310454589,4.06E-07,9.22E-06,8.06E-06,RPS9/RPS11/RPS16/SNU13/RPS24/RPS5/RPS17/RPS3A/RPS7/RPS15A/RPS6/RPS13/RPS8/RPS28/RPS27A/RPS27,16,,,
GO:0030964,NADH dehydrogenase complex,12/254,31/2171,0.387096774,3.308610617,4.711512175,9.29E-05,0.001266781,0.001106649,NDUFC2/NDUFB11/NDUFV2/NDUFS4/NDUFB9/NDUFB10/NDUFB8/NDUFS8/NDUFB4/NDUFB5/NDUFAB1/NDUFA12,12,,,
GO:0031966,mitochondrial membrane,52/254,245/2171,0.212244898,1.814108951,4.923490442,3.80E-06,8.09E-05,7.07E-05,TMEM14B/NDUFC2/COX6A1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/UBB/COX7C/FIS1/ATP5MG/COX7A2/COX4I1/UQCRB/ATP5F1C/NDUFS4/MRPL43/MGST3/COX5B/ATP5MC1/MRPL51/MGST1/MRPL47/CISD1/MRPL18/NDUFB9/TMEM126A/NDUFB10/ATP5ME/NDUFB8/RPS27A/ATP5PB/UQCC2/NDUFS8/NDUFB4/NDUFAF2/MRPL32/ATP5PO/IFI27/UBA52/NDUFB5/YWHAE/TMEM14C/COX6B1/NDUFAB1/ATP5PD/MRPL27/NDUFA12/TIMM13/MRPS15,52,,,
GO:0031967,organelle envelope,63/254,341/2171,0.184750733,1.579109613,4.23885038,4.03E-05,0.000624886,0.000545895,TMEM14B/NDUFC2/ENY2/COX6A1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/UBB/COX7C/FIS1/ATP5MG/COX7A2/COX4I1/UQCRB/COA6/SOD1/ATP5F1C/NDUFS4/MRPL43/MGST3/COX5B/ATP5MC1/MRPL51/MGST1/MRPL47/CLIC1/CISD1/MRPL18/NDUFB9/S100A6/TMEM126A/NDUFB10/ATP5ME/NDUFB8/PARK7/RPS27A/ATP5PB/UQCC2/NDUFS8/NDUFB4/GAPDH/NDUFAF2/MRPL32/ATP5PO/IFI27/UBA52/NDUFB5/ARL2/YWHAE/TMEM14C/COX6B1/NDUFAB1/ATP5PD/MRPL27/GPX4/TUBB/NDUFA12/TIMM13/MRPS15/BLOC1S1,63,,,
GO:0032040,small-subunit processome,16/254,30/2171,0.533333333,4.558530184,7.142637613,2.52E-08,7.15E-07,6.24E-07,RPS9/RPS11/RPS16/SNU13/RPS24/RPS5/RPS17/RPS3A/RPS7/RPS15A/RPS6/RPS13/RPS8/RPS28/RPS27A/RPS27,16,,,
GO:0034702,monoatomic ion channel complex,9/254,26/2171,0.346153846,2.958661417,3.656520924,0.001839852,0.018641154,0.016284756,ATP5MG/CALM3/ATP5F1C/ATP5MC1/CLIC1/ATP5ME/ATP5PB/ATP5PO/ATP5PD,9,,,
GO:0034703,cation channel complex,8/254,22/2171,0.363636364,3.108088762,3.616743374,0.002314338,0.022548261,0.019697971,ATP5MG/CALM3/ATP5F1C/ATP5MC1/ATP5ME/ATP5PB/ATP5PO/ATP5PD,8,,,
GO:0044391,ribosomal subunit,61/254,132/2171,0.462121212,3.949862801,12.72670094,3.75E-25,6.39E-23,5.58E-23,RPL34/RPS9/RPS20/RPL23/RPL17/RPLP2/RPS11/RPS3/RPL14/RPL7/RPL6/RPL26/RPL18A/RPS25/RPS16/MRPL13/RPL23A/RPL21/RPL5/RPS24/RPS18/RPS29/RPS5/MRPL43/RPS17/RPL27/RPS3A/RPL28/RPS7/RPL15/MRPL51/RACK1/RPS15A/RPS6/MRPL47/RPS13/MRPL18/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/RPS8/RPL7A/RPL35A/RPL18/RPS27L/RPS28/RPS27A/RPL10A/MRPL32/RPL19/UBA52/MRPL27/RPS27/FAU/RPL4/MRPS15,61,,,
GO:0045259,proton-transporting ATP synthase complex,7/254,14/2171,0.5,4.273622047,4.472013964,0.000459532,0.006026935,0.00526508,ATP5MG/ATP5F1C/ATP5MC1/ATP5ME/ATP5PB/ATP5PO/ATP5PD,7,,,
GO:0045271,respiratory chain complex I,12/254,31/2171,0.387096774,3.308610617,4.711512175,9.29E-05,0.001266781,0.001106649,NDUFC2/NDUFB11/NDUFV2/NDUFS4/NDUFB9/NDUFB10/NDUFB8/NDUFS8/NDUFB4/NDUFB5/NDUFAB1/NDUFA12,12,,,
GO:0045277,respiratory chain complex IV,6/254,nov-71,0.545454545,4.662133142,4.431382778,0.000671968,0.008302691,0.007253162,COX6A1/COX7C/COX7A2/COX4I1/COX5B/COX6B1,6,,,
GO:0070069,cytochrome complex,8/254,19/2171,0.421052632,3.598839619,4.140671858,0.000749594,0.008814196,0.007700007,COX6A1/UQCRH/COX7C/COX7A2/COX4I1/UQCRB/COX5B/COX6B1,8,,,
GO:0070161,anchoring junction,42/254,232/2171,0.181034483,1.547345914,3.210351878,0.001575824,0.016792372,0.014669675,RPS9/RPL23/RPLP2/RPS11/RPS3/CD59/RPL7/RPL6/B2M/RPS16/RPL5/RPS18/RPS29/TPM4/RPS5/RPS17/RPL27/RPS3A/RPS7/ARPC3/HSPB1/RPS13/ANXA5/RPLP1/RPL31/RPL12/RPL30/RPS8/RPL7A/RPL18/PARK7/S100A11/PPIB/RPL10A/RPL19/CDC42/ARL2/HSPA8/NPM1/YWHAE/ACTG1/RPL4,42,,,
GO:0098803,respiratory chain complex,27/254,67/2171,0.402985075,3.444411799,7.396471255,1.05E-09,3.25E-08,2.84E-08,NDUFC2/COX6A1/NDUFB11/NDUFV2/UQCRH/COX7C/ATP5MG/COX7A2/COX4I1/UQCRB/ATP5F1C/NDUFS4/COX5B/ATP5MC1/NDUFB9/NDUFB10/ATP5ME/NDUFB8/ATP5PB/NDUFS8/NDUFB4/ATP5PO/NDUFB5/COX6B1/NDUFAB1/ATP5PD/NDUFA12,27,,,
GO:1902494,catalytic complex,68/254,418/2171,0.162679426,1.390460762,3.233033829,0.001145254,0.013017725,0.011372175,NDUFC2/SNRPD2/ENY2/SNRPD1/COX6A1/NDUFB11/HINT1/NDUFV2/UQCRH/PSMA3/PSMB3/COX7C/GTF2A2/ATP5MG/COX7A2/CALM3/RNASEK/COX4I1/UQCRB/PSMA7/ATP5F1C/PSMA4/NDUFS4/PSMB6/COX5B/ATP5MC1/HSPB1/UBE2L3/PSMB5/PSMB4/EXOSC1/POLR1D/RTRAF/ATP6V0E1/RBX1/PSMB2/MED31/NDUFB9/GTF2H5/NDUFB10/CWC15/ATP5ME/NDUFB8/OSTC/DAD1/ATP5PB/NDUFS8/DYNLT1/TRMT112/NDUFB4/SEM1/PSMA2/SNRPE/ATP6V1G1/DYNLRB1/PSMB7/CARHSP1/PSMA6/ATP5PO/ANAPC16/SNRPG/NDUFB5/ACTG1/COX6B1/NDUFAB1/ATP5PD/NDUFA12/NOP10,68,,,
GO:1902495,transmembrane transporter complex,32/254,87/2171,0.367816092,3.14381392,7.42734375,4.34E-10,1.85E-08,1.62E-08,NDUFC2/COX6A1/NDUFB11/NDUFV2/UQCRH/COX7C/ATP5MG/COX7A2/CALM3/RNASEK/COX4I1/UQCRB/ATP5F1C/NDUFS4/COX5B/ATP5MC1/CLIC1/ATP6V0E1/NDUFB9/NDUFB10/ATP5ME/NDUFB8/ATP5PB/NDUFS8/NDUFB4/ATP6V1G1/ATP5PO/NDUFB5/COX6B1/NDUFAB1/ATP5PD/NDUFA12,32,,,
GO:1990204,oxidoreductase complex,20/254,67/2171,0.298507463,2.551416148,4.694382896,3.91E-05,0.000624886,0.000545895,NDUFC2/COX6A1/NDUFB11/NDUFV2/UQCRH/COX7C/COX7A2/COX4I1/UQCRB/NDUFS4/COX5B/NDUFB9/NDUFB10/NDUFB8/NDUFS8/NDUFB4/NDUFB5/COX6B1/NDUFAB1/NDUFA12,20,,,
GO:1990351,transporter complex,33/254,94/2171,0.35106383,3.000628246,7.216851076,9.39E-10,3.20E-08,2.80E-08,NDUFC2/COX6A1/NDUFB11/NDUFV2/UQCRH/COX7C/ATP5MG/COX7A2/CALM3/RNASEK/COX4I1/UQCRB/ATP5F1C/NDUFS4/COX5B/ATP5MC1/CLIC1/ATP6V0E1/NDUFB9/NDUFB10/ATP5ME/NDUFB8/ATP5PB/NDUFS8/NDUFB4/ATP6V1G1/ATP5PO/NDUFB5/COX6B1/NDUFAB1/ATP5PD/NDUFA12/TIMM13,33,,,
GO:1990904,ribonucleoprotein complex,76/254,296/2171,0.256756757,2.194562673,8.048034479,2.72E-13,1.33E-11,1.16E-11,RPL34/RPS9/RPS20/RPL23/RPL17/EIF3K/SNRPD2/SNRPD1/RPLP2/RPS11/RPS3/RPL14/RPL7/RPL6/RPL26/RPL18A/RPS25/RPS16/MRPL13/RPL23A/RPL21/SNU13/RPL5/RPS24/RPS18/RPS29/RPS5/MRPL43/RPS17/RPL27/RPS3A/RPL28/RPS7/RPL15/SLIRP/MRPL51/RACK1/RPS15A/RPS6/MRPL47/RPS13/EIF1/SRP14/MRPL18/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/CWC15/RPS8/RPL7A/RPL35A/RPL18/RPS27L/RPS28/RPS27A/RPL22L1/RPL10A/GAPDH/MRPL32/SNRPE/RPL19/UBA52/SNRPG/HSPA8/NPM1/MRPL27/RPS27/FAU/RPL4/NOP10/MRPS15,76,,,
