Ensayo de Compresion - Specimen_RawData_1
C10: 4.2307, C20: 0.7475, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.97618640 0.15488316
0.97608333 0.15558012
0.97601535 0.15591442
0.97591228 0.15793017
0.97580921 0.15879530
0.97574123 0.15952031
0.97563816 0.16125144
0.97553509 0.16115008
0.97546711 0.16179807
0.97536404 0.16126745
0.97526096 0.16321996
0.97515789 0.16356287
0.97508991 0.16554366
0.97498684 0.16639957
0.97488377 0.16703313
0.97478070 0.16756698
0.97467982 0.16664587
0.97457675 0.16874959
0.97447368 0.17055421
0.97437061 0.17163107
0.97426754 0.17289144
0.97416447 0.17322528
0.97409649 0.17384851
0.97399342 0.17513124
0.97389035 0.17740091
0.97382237 0.17657738
0.97375439 0.17840148
0.97365132 0.17880340
0.97358333 0.17845430
0.97348026 0.17913917
0.97337719 0.18052759
0.97327412 0.18082969
0.97317105 0.18165938
0.97310307 0.18414715
0.97300000 0.18564153
0.97289693 0.18553777
0.97282895 0.18532605
0.97272588 0.18664406
0.97262281 0.18741150
0.97255482 0.18958412
0.97245175 0.19051922
0.97234868 0.18927651
0.97228070 0.19125737
0.97217763 0.18964046
0.97207456 0.19257649
0.97200658 0.19246373
0.97190351 0.19390967
0.97183553 0.19187238
0.97176535 0.19395847
0.97166447 0.19371690
0.97159430 0.19663468
0.97152632 0.19591857
0.97142325 0.19802752
0.97135526 0.19736487
0.97125219 0.19818346
0.97114912 0.19868899
0.97108114 0.19798831
0.97097807 0.19812752
0.97091009 0.20185971
0.97084211 0.20119712
0.97073904 0.20317432
0.97063596 0.20224510
0.97053289 0.20204821
0.97042982 0.20484062
0.97032675 0.20444525
0.97022368 0.20657352
0.97015570 0.20966943
0.97005263 0.20800828
0.96994956 0.20762795
0.96988158 0.21019703
0.96977851 0.21249134
0.96971053 0.21128773
0.96960746 0.21183671
0.96950439 0.21380259
0.96943640 0.21395519
0.96933333 0.21534921
0.96923026 0.21499120
0.96912719 0.21665135
0.96905921 0.21901961
0.96895614 0.21881358
0.96885307 0.21958970
0.96878509 0.21828012
0.96868202 0.22309809
0.96857895 0.22242741
0.96847588 0.22381925
0.96837500 0.22349917
0.96830482 0.22542326
0.96820175 0.22399936
0.96810088 0.22727001
0.96796272 0.22833288
0.96785965 0.23001980
0.96775658 0.23233754
0.96768860 0.23217674
0.96758553 0.23101152
0.96751754 0.23358783
0.96741447 0.23429274
0.96734649 0.23391901
0.96724342 0.23664551
0.96717544 0.23588407
0.96707237 0.23765236
0.96696930 0.23728510
0.96690132 0.23910712
0.96679825 0.24098851
0.96669518 0.24088685
0.96659211 0.24339048
0.96648904 0.24259746
0.96638596 0.24410555
0.96628509 0.24472548
0.96621491 0.24652992
0.96611184 0.24519025
0.96604386 0.24680511
0.96597588 0.24603626
0.96590789 0.24550282
0.96580482 0.24719940
0.96570175 0.24818988
0.96563377 0.24840005
0.96553070 0.25164360
0.96546053 0.25150393
0.96535965 0.25140937
0.96525658 0.25317259
0.96518640 0.25262328
0.96511842 0.25367482
0.96501535 0.25401930
0.96494737 0.25472175
0.96487939 0.25518147
0.96477632 0.25736035
0.96470833 0.25979079
0.96460526 0.25779226
0.96450219 0.26030371
0.96439912 0.25977572
0.96429605 0.26275621
0.96419298 0.26385705
0.96412500 0.26532337
0.96402193 0.26330270
0.96391886 0.26533481
0.96385088 0.26648249
0.96374781 0.26624194
0.96364474 0.26936356
0.96357675 0.26889782
0.96347368 0.26924761
0.96340570 0.26901664
0.96330263 0.27031255
0.96319956 0.27087400
0.96309649 0.27444740
0.96299342 0.27387319
0.96289254 0.27464654
0.96278947 0.27499542
0.96271930 0.27524016
0.96261842 0.27967424
0.96251535 0.27799546
0.96244518 0.27715840
0.96234430 0.28164394
0.96224123 0.27967051
0.96217105 0.28051961
0.96207018 0.28286403
0.96196711 0.28365011
0.96186404 0.28364240
0.96176096 0.28514618
0.96169298 0.28427964
0.96158991 0.28613823
0.96152193 0.28680556
0.96141886 0.28827823
