Ensayo de Compresion - Specimen_RawData_1
C10: 1.8382, C20: 0.3784, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
0.99981141 0.00290617
0.99966151 0.00221582
0.99954787 0.00370074
0.99943424 0.00369220
0.99935928 0.00604502
0.99924565 0.00499773
0.99917070 0.00636027
0.99909333 0.00674104
0.99901838 0.00657019
0.99890474 0.00879170
0.99879110 0.00850687
0.99871615 0.00790618
0.99860251 0.00997281
0.99848888 0.01270375
0.99837766 0.01263749
0.99826402 0.01328447
0.99815039 0.01269134
0.99807302 0.01305502
0.99796180 0.01466602
0.99784816 0.01707870
0.99777079 0.01481714
0.99765957 0.01754529
0.99754594 0.01673335
0.99747099 0.01933181
0.99735735 0.02007461
0.99727998 0.01957102
0.99716876 0.02354414
0.99709139 0.02304847
0.99697776 0.02339392
0.99690280 0.02251799
0.99678917 0.02379416
0.99671422 0.02418891
0.99660058 0.02654084
0.99648694 0.02595528
0.99641199 0.02722349
0.99629836 0.02658942
0.99622340 0.02734775
0.99614845 0.02726482
0.99607108 0.03167034
0.99595745 0.03044567
0.99588250 0.02983694
0.99576886 0.03133733
0.99565522 0.03299099
0.99554400 0.03318130
0.99543037 0.03519807
0.99531673 0.03478998
0.99524178 0.03549846
0.99512814 0.03609231
0.99501451 0.03807559
0.99493956 0.03892093
0.99482592 0.04050772
0.99471228 0.03988929
0.99459865 0.03817273
0.99452369 0.04031776
0.99441006 0.04009516
0.99429642 0.04298879
0.99422147 0.04268687
0.99410783 0.04144706
0.99399420 0.04417017
0.99388056 0.04355183
0.99380561 0.04253184
0.99369197 0.04509264
0.99357834 0.04523269
0.99346470 0.04608254
0.99335106 0.04845654
0.99327611 0.04854966
0.99316248 0.04865700
0.99304884 0.05116706
0.99293520 0.04990353
0.99286025 0.05033508
0.99274662 0.05132881
0.99267166 0.05346885
0.99255803 0.05218136
0.99244439 0.05483452
0.99233075 0.05506995
0.99225580 0.05366397
0.99214217 0.05332755
0.99206721 0.05729459
0.99195358 0.05789208
0.99183994 0.05873102
0.99176499 0.05828370
0.99165135 0.06041873
0.99153772 0.06102365
0.99142650 0.06069482
0.99131286 0.06224933
0.99123549 0.06439333
0.99112186 0.06451470
0.99101064 0.06519945
0.99093327 0.06544377
0.99081963 0.06772903
0.99074468 0.06679883
0.99063104 0.06782070
0.99051741 0.06793356
0.99044246 0.06889342
0.99032882 0.06845936
0.99025387 0.07152553
0.99014023 0.07070535
0.99002660 0.07367143
0.98995164 0.07065974
0.98983801 0.07085254
0.98976306 0.07241424
0.98964942 0.07307285
0.98957447 0.07396720
0.98946083 0.07421579
0.98938588 0.07547940
0.98927224 0.07594464
0.98919729 0.07924791
0.98908366 0.07935123
0.98900629 0.07839748
0.98893133 0.08069599
0.98885638 0.07995122
0.98874275 0.07988584
0.98862911 0.08148205
0.98851547 0.08173755
0.98840426 0.08168020
0.98829062 0.08427067
0.98817698 0.08502319
0.98809961 0.08469563
0.98798839 0.08850447
0.98787476 0.08836596
0.98776112 0.08611021
0.98764749 0.08529840
0.98757253 0.08974215
0.98745890 0.08856928
0.98738395 0.09130434
0.98727031 0.09112549
0.98719294 0.09179965
0.98708172 0.09246253
0.98696809 0.09108157
0.98689072 0.09336611
0.98677950 0.09462149
0.98666586 0.09360120
0.98655222 0.09520846
0.98643859 0.09795267
0.98636364 0.09829760
0.98625000 0.09961555
0.98617505 0.10059285
0.98606141 0.09908411
0.98594778 0.10061770
0.98583414 0.10108636
0.98572050 0.10330765
0.98564555 0.10412408
0.98553191 0.10242369
0.98541828 0.10423609
0.98530464 0.10408807
0.98519101 0.10639580
0.98507737 0.10581566
0.98496615 0.10874670
0.98485251 0.10786255
0.98473888 0.10888152
0.98466393 0.10878529
0.98455029 0.11177044
0.98447292 0.11179363
0.98436170 0.11204474
0.98424807 0.11182403
0.98413443 0.11367291
0.98405948 0.11297712
0.98394584 0.11390677
0.98383221 0.11373386
0.98371857 0.11643634
0.98364362 0.11733794
0.98352998 0.11614251
0.98345503 0.11721163
0.98334139 0.11822005
0.98326402 0.12100495
0.98315280 0.12000143
0.98307544 0.12133295
0.98296180 0.11885280
0.98288685 0.12048769
0.98281190 0.12095729
0.98269826 0.12250716
0.98262331 0.12369455
0.98250967 0.12410304
0.98243472 0.12559320
0.98235977 0.12433934
0.98224613 0.12476360
0.98216876 0.12935508
0.98205754 0.12846333
0.98198017 0.12872429
0.98186654 0.12796002
0.98175290 0.12913291
0.98164168 0.13154125
0.98152805 0.13067330
0.98141441 0.13239529
0.98133946 0.13348473
0.98122582 0.13302313
0.98111219 0.13253773
0.98103723 0.13408085
0.98092360 0.13548299
0.98080996 0.13678924
0.98073501 0.13821211
0.98062137 0.13884898
0.98050774 0.13759096
0.98043279 0.13784314
0.98031915 0.14161590
0.98020551 0.14218046
0.98009188 0.14223559
0.98001692 0.14060147
0.97990329 0.14135692
0.97978965 0.14314636
0.97971470 0.14541839
0.97960106 0.14618893
0.97948743 0.14668095
0.97941248 0.14687649
0.97929884 0.14791696
0.97918520 0.14882998
0.97911025 0.14875499
0.97899662 0.14940543
0.97888298 0.14916554
0.97876934 0.15173893
0.97865571 0.15224575
0.97850580 0.15346977
0.97839217 0.15639912
0.97831721 0.15571991
0.97820358 0.15657548
0.97808994 0.15657317
0.97797631 0.15557830
0.97790135 0.15730521
0.97778772 0.15709640
0.97767408 0.16145201
0.97759913 0.15971720
0.97748549 0.16040499
0.97737186 0.16163223
0.97729691 0.16345282
0.97721954 0.16076600
0.97710832 0.16369101
0.97703095 0.16506630
0.97691973 0.16250136
0.97680609 0.16590865
0.97672872 0.16703748
0.97661509 0.16620924
0.97650387 0.16851338
0.97639023 0.16846206
